generation,time_elapsed,population,mean_fitness,best_fitness,best_sample
0,226.99113368988037,32,-23.909583333333334,-9.453333333333333,"([-0.03023818221779015, 8.056560112520838, 1.5393704372094485, 10.76255527739724, -0.6302743212355949, -5.091032263474462, 8.68868503070157, 16.039967322361026, -4.714934584746147, 0.641594660378686, -11.367147832066182, 6.619812399862547, 0.4110701409657081, -0.02852456475441099, 3.3031864730881715, 3.413369527145991, 1.2116175055060874, -3.207846405563935, 20.926365418206025, -12.164237473096213, -0.3533858014093721], ['Sunfury Protector', 'Sunfury Protector', 'Secretkeeper', 'Secretkeeper', 'Pint-Sized Summoner', 'Pint-Sized Summoner', 'Alarm-o-Bot', 'Alarm-o-Bot', 'Harvest Golem', 'Harvest Golem', 'Gurubashi Berserker', 'Gurubashi Berserker', 'Azure Drake', 'Azure Drake', 'Faceless Manipulator', 'Faceless Manipulator', 'Lord of the Arena', 'Lord of the Arena', 'Master Swordsmith', 'Master Swordsmith', 'Knife Juggler', 'Knife Juggler', ""Gladiator's Longbow"", ""Gladiator's Longbow"", ""Hunter's Mark"", ""Hunter's Mark"", 'Ironforge Rifleman', 'Ironforge Rifleman', 'Magma Rager', 'Magma Rager'])"
1,224.35810351371765,49,-23.005170068027212,-8.973333333333333,"([-1.4886927405717982, -0.9757928328077463, -6.4658091828723325, -4.240464410595181, -22.550726255174528, -4.6328396224512165, 2.662738325813247, -0.6272436020831834, 6.771215078376424, -9.30400646224021, 1.8253277282186748, 4.261395819816982, -9.922413463188889, 16.2078724730529, 9.783453541490353, 1.7348493505644198, -5.990190393701393, 3.514555815730837, -3.729348480029207, -8.255288929794348, -4.238596237019282], ['Starving Buzzard', 'Starving Buzzard', 'Molten Giant', 'Molten Giant', 'Injured Blademaster', 'Injured Blademaster', 'Grimscale Oracle', 'Grimscale Oracle', 'Abomination', 'Abomination', 'Acolyte of Pain', 'Acolyte of Pain', 'Sunfury Protector', 'Sunfury Protector', 'Imp Master', 'Imp Master', 'Fen Creeper', 'Fen Creeper', 'Ancient Mage', 'Ancient Mage', 'Scarlet Crusader', 'Scarlet Crusader', 'Frost Elemental', 'Frost Elemental', 'Razorfen Hunter', 'Razorfen Hunter', 'Savannah Highmane', 'Savannah Highmane', 'Elven Archer', 'Elven Archer'])"
2,211.34391498565674,65,-22.978666666666665,-8.973333333333333,"([-1.4886927405717982, -0.9757928328077463, -6.4658091828723325, -4.240464410595181, -22.550726255174528, -4.6328396224512165, 2.662738325813247, -0.6272436020831834, 6.771215078376424, -9.30400646224021, 1.8253277282186748, 4.261395819816982, -9.922413463188889, 16.2078724730529, 9.783453541490353, 1.7348493505644198, -5.990190393701393, 3.514555815730837, -3.729348480029207, -8.255288929794348, -4.238596237019282], ['Starving Buzzard', 'Starving Buzzard', 'Molten Giant', 'Molten Giant', 'Injured Blademaster', 'Injured Blademaster', 'Grimscale Oracle', 'Grimscale Oracle', 'Abomination', 'Abomination', 'Acolyte of Pain', 'Acolyte of Pain', 'Sunfury Protector', 'Sunfury Protector', 'Imp Master', 'Imp Master', 'Fen Creeper', 'Fen Creeper', 'Ancient Mage', 'Ancient Mage', 'Scarlet Crusader', 'Scarlet Crusader', 'Frost Elemental', 'Frost Elemental', 'Razorfen Hunter', 'Razorfen Hunter', 'Savannah Highmane', 'Savannah Highmane', 'Elven Archer', 'Elven Archer'])"
3,189.1693093776703,86,-22.92387596899225,-8.973333333333333,"([-1.4886927405717982, -0.9757928328077463, -6.4658091828723325, -4.240464410595181, -22.550726255174528, -4.6328396224512165, 2.662738325813247, -0.6272436020831834, 6.771215078376424, -9.30400646224021, 1.8253277282186748, 4.261395819816982, -9.922413463188889, 16.2078724730529, 9.783453541490353, 1.7348493505644198, -5.990190393701393, 3.514555815730837, -3.729348480029207, -8.255288929794348, -4.238596237019282], ['Starving Buzzard', 'Starving Buzzard', 'Molten Giant', 'Molten Giant', 'Injured Blademaster', 'Injured Blademaster', 'Grimscale Oracle', 'Grimscale Oracle', 'Murloc Tidecaller', 'Murloc Tidecaller', 'Acolyte of Pain', 'Acolyte of Pain', 'Sunfury Protector', 'Sunfury Protector', 'Imp Master', 'Imp Master', 'Fen Creeper', 'Fen Creeper', 'Ancient Mage', 'Ancient Mage', 'Scarlet Crusader', 'Scarlet Crusader', 'Frost Elemental', 'Frost Elemental', 'Razorfen Hunter', 'Razorfen Hunter', 'Savannah Highmane', 'Savannah Highmane', 'Ravenholdt Assassin', 'Ravenholdt Assassin'])"
4,250.20910716056824,107,-22.453582554517133,-7.613333333333333,"([-0.35723481775997756, 6.901821009362577, 1.3314802560783494, 9.727355296508694, -0.32812767813887467, -5.5298616521290525, 9.920470612239141, 16.651717184068172, -5.0272391850415055, -0.36322776345583757, -11.10435374332496, 7.262634292072519, 1.8323481552759087, -0.307604996335169, 3.963039957638957, 3.875788287921144, 0.21445733350316404, -3.2342481273307766, 19.761257292116785, -13.25731977441292, -1.678345033274996], ['Sunfury Protector', 'Sunfury Protector', 'Secretkeeper', 'Secretkeeper', 'Pint-Sized Summoner', 'Pint-Sized Summoner', 'Alarm-o-Bot', 'Alarm-o-Bot', 'Mogushan Warden', 'Mogushan Warden', 'Gurubashi Berserker', 'Gurubashi Berserker', 'Arcane Golem', 'Arcane Golem', 'Faceless Manipulator', 'Faceless Manipulator', 'Lord of the Arena', 'Lord of the Arena', 'Master Swordsmith', 'Master Swordsmith', 'Knife Juggler', 'Knife Juggler', ""Gladiator's Longbow"", ""Gladiator's Longbow"", ""Hunter's Mark"", ""Hunter's Mark"", 'Ironforge Rifleman', 'Ironforge Rifleman', 'Cult Master', 'Cult Master'])"
5,175.13670873641968,122,-22.181311475409835,-0.42666666666666675,"([-1.2327646896099012, -2.1543455562080975, -8.043272205145314, -5.600936378347753, -21.577990434270806, -4.781559736088891, 2.074583566010779, 0.22749710191942757, 7.027229833886221, -9.10416432233248, 3.5031212979483257, 3.7494065026616576, -10.014792106047402, 15.977753013585003, 9.611590639943742, 4.744217208172943, -4.4773660308343075, 3.3199172103768895, -2.577088721599327, -8.070705212872028, -5.1314957137129795], [""Sen'jin Shieldmasta"", ""Sen'jin Shieldmasta"", 'Molten Giant', 'Molten Giant', 'Injured Blademaster', 'Injured Blademaster', 'Abomination', 'Abomination', 'Mana Addict', 'Mana Addict', 'Acolyte of Pain', 'Acolyte of Pain', 'Sunfury Protector', 'Sunfury Protector', 'Snipe', 'Snipe', 'Fen Creeper', 'Fen Creeper', 'Ancient Mage', 'Ancient Mage', 'Scarlet Crusader', 'Scarlet Crusader', 'Frost Elemental', 'Frost Elemental', 'River Crocolisk', 'River Crocolisk', 'Savannah Highmane', 'Savannah Highmane', 'Ravenholdt Assassin', 'Ravenholdt Assassin'])"
6,199.47914600372314,139,-22.150887290167866,-0.42666666666666675,"([-1.2327646896099012, -2.1543455562080975, -8.043272205145314, -5.600936378347753, -21.577990434270806, -4.781559736088891, 2.074583566010779, 0.22749710191942757, 7.027229833886221, -9.10416432233248, 3.5031212979483257, 3.7494065026616576, -10.014792106047402, 15.977753013585003, 9.611590639943742, 4.744217208172943, -4.4773660308343075, 3.3199172103768895, -2.577088721599327, -8.070705212872028, -5.1314957137129795], [""Sen'jin Shieldmasta"", ""Sen'jin Shieldmasta"", 'Molten Giant', 'Molten Giant', 'Injured Blademaster', 'Injured Blademaster', 'Abomination', 'Abomination', 'Mana Addict', 'Mana Addict', 'Acolyte of Pain', 'Acolyte of Pain', 'Sunfury Protector', 'Sunfury Protector', 'Snipe', 'Snipe', 'Fen Creeper', 'Fen Creeper', 'Ancient Mage', 'Ancient Mage', 'Scarlet Crusader', 'Scarlet Crusader', 'Frost Elemental', 'Frost Elemental', 'River Crocolisk', 'River Crocolisk', 'Savannah Highmane', 'Savannah Highmane', 'Ravenholdt Assassin', 'Ravenholdt Assassin'])"
7,251.35816073417664,153,-21.727320261437907,-0.42666666666666675,"([-1.2327646896099012, -2.1543455562080975, -8.043272205145314, -5.600936378347753, -21.577990434270806, -4.781559736088891, 2.074583566010779, 0.22749710191942757, 7.027229833886221, -9.10416432233248, 3.5031212979483257, 3.7494065026616576, -10.014792106047402, 15.977753013585003, 9.611590639943742, 4.744217208172943, -4.4773660308343075, 3.3199172103768895, -2.577088721599327, -8.070705212872028, -5.1314957137129795], [""Sen'jin Shieldmasta"", ""Sen'jin Shieldmasta"", 'Molten Giant', 'Molten Giant', 'Injured Blademaster', 'Injured Blademaster', 'Abomination', 'Abomination', 'Mana Addict', 'Mana Addict', 'Acolyte of Pain', 'Acolyte of Pain', 'Thrallmar Farseer', 'Thrallmar Farseer', 'Snipe', 'Snipe', 'Kobold Geomancer', 'Kobold Geomancer', 'Ancient Mage', 'Ancient Mage', 'Scarlet Crusader', 'Scarlet Crusader', 'Frost Elemental', 'Frost Elemental', 'Oasis Snapjaw', 'Oasis Snapjaw', 'Savannah Highmane', 'Savannah Highmane', 'Sunwalker', 'Sunwalker'])"
8,280.89140367507935,165,-21.21947474747475,-0.42666666666666675,"([-1.2327646896099012, -2.1543455562080975, -8.043272205145314, -5.600936378347753, -21.577990434270806, -4.781559736088891, 2.074583566010779, 0.22749710191942757, 7.027229833886221, -9.10416432233248, 3.5031212979483257, 3.7494065026616576, -10.014792106047402, 15.977753013585003, 9.611590639943742, 4.744217208172943, -4.4773660308343075, 3.3199172103768895, -2.577088721599327, -8.070705212872028, -5.1314957137129795], [""Sen'jin Shieldmasta"", ""Sen'jin Shieldmasta"", 'Molten Giant', 'Molten Giant', 'Injured Blademaster', 'Injured Blademaster', 'Abomination', 'Abomination', 'Mana Addict', 'Mana Addict', 'Acolyte of Pain', 'Acolyte of Pain', 'Thrallmar Farseer', 'Thrallmar Farseer', 'Snipe', 'Snipe', 'Kobold Geomancer', 'Kobold Geomancer', 'Ancient Mage', 'Ancient Mage', 'Scavenging Hyena', 'Scavenging Hyena', 'Frost Elemental', 'Frost Elemental', 'Oasis Snapjaw', 'Oasis Snapjaw', 'Savannah Highmane', 'Savannah Highmane', 'Chillwind Yeti', 'Chillwind Yeti'])"
9,257.5011978149414,184,-21.040869565217392,-0.42666666666666675,"([-1.2327646896099012, -2.1543455562080975, -8.043272205145314, -5.600936378347753, -21.577990434270806, -4.781559736088891, 2.074583566010779, 0.22749710191942757, 7.027229833886221, -9.10416432233248, 3.5031212979483257, 3.7494065026616576, -10.014792106047402, 15.977753013585003, 9.611590639943742, 4.744217208172943, -4.4773660308343075, 3.3199172103768895, -2.577088721599327, -8.070705212872028, -5.1314957137129795], [""Sen'jin Shieldmasta"", ""Sen'jin Shieldmasta"", 'Molten Giant', 'Molten Giant', 'Injured Blademaster', 'Injured Blademaster', 'Abomination', 'Abomination', 'Mana Addict', 'Mana Addict', 'Acolyte of Pain', 'Acolyte of Pain', 'Thrallmar Farseer', 'Thrallmar Farseer', 'Snipe', 'Snipe', 'Kobold Geomancer', 'Kobold Geomancer', 'Ancient Mage', 'Ancient Mage', 'Scavenging Hyena', 'Scavenging Hyena', 'Frost Elemental', 'Frost Elemental', 'Oasis Snapjaw', 'Oasis Snapjaw', 'Savannah Highmane', 'Savannah Highmane', 'Chillwind Yeti', 'Chillwind Yeti'])"
