generation,time_elapsed,population,mean_fitness,best_fitness,best_sample
0,305.3808467388153,32,-22.072916666666668,4.906666666666666,"([2.141552612130568, -2.8556090407575927, -0.8952807128592895, 6.5125444536278705, -5.382690687113829, 3.310956139854204, 5.709459279543698, 2.3086438098644226, 12.337052664986874, -15.04795630987582, -4.906707542043558, 6.772084970974943, -1.5391549186537434, -4.46453508574711, 4.513356533320989, 8.305843716631173, 3.0492928731413524, -18.027158822963067, -5.251578431691863, 0.7487088566094362, -5.119919654290614], ['Mana Wraith', 'Mana Wraith', 'Multi-Shot', 'Multi-Shot', 'Master Swordsmith', 'Master Swordsmith', 'Wolfrider', 'Wolfrider', 'Molten Giant', 'Molten Giant', 'Coldlight Seer', 'Coldlight Seer', 'Argent Squire', 'Argent Squire', 'Murloc Tidecaller', 'Murloc Tidecaller', 'Oasis Snapjaw', 'Oasis Snapjaw', 'Reckless Rocketeer', 'Reckless Rocketeer', 'Stormwind Champion', 'Stormwind Champion', 'Tracking', 'Tracking', 'Lord of the Arena', 'Lord of the Arena', 'Abusive Sergeant', 'Abusive Sergeant', 'Lightwarden', 'Lightwarden'])"
1,270.49737095832825,48,-21.697222222222223,4.906666666666666,"([2.141552612130568, -2.8556090407575927, -0.8952807128592895, 6.5125444536278705, -5.382690687113829, 3.310956139854204, 5.709459279543698, 2.3086438098644226, 12.337052664986874, -15.04795630987582, -4.906707542043558, 6.772084970974943, -1.5391549186537434, -4.46453508574711, 4.513356533320989, 8.305843716631173, 3.0492928731413524, -18.027158822963067, -5.251578431691863, 0.7487088566094362, -5.119919654290614], ['Mana Wraith', 'Mana Wraith', 'Multi-Shot', 'Multi-Shot', 'Eaglehorn Bow', 'Eaglehorn Bow', 'Wolfrider', 'Wolfrider', 'Molten Giant', 'Molten Giant', 'Blood Knight', 'Blood Knight', 'Argent Squire', 'Argent Squire', 'Murloc Tidecaller', 'Murloc Tidecaller', 'Oasis Snapjaw', 'Oasis Snapjaw', 'Reckless Rocketeer', 'Reckless Rocketeer', 'Razorfen Hunter', 'Razorfen Hunter', 'Tracking', 'Tracking', 'Lord of the Arena', 'Lord of the Arena', 'Abusive Sergeant', 'Abusive Sergeant', 'Lightwarden', 'Lightwarden'])"
2,274.32731771469116,72,-21.331296296296298,4.906666666666666,"([2.141552612130568, -2.8556090407575927, -0.8952807128592895, 6.5125444536278705, -5.382690687113829, 3.310956139854204, 5.709459279543698, 2.3086438098644226, 12.337052664986874, -15.04795630987582, -4.906707542043558, 6.772084970974943, -1.5391549186537434, -4.46453508574711, 4.513356533320989, 8.305843716631173, 3.0492928731413524, -18.027158822963067, -5.251578431691863, 0.7487088566094362, -5.119919654290614], ['Mana Wraith', 'Mana Wraith', 'Multi-Shot', 'Multi-Shot', 'Eaglehorn Bow', 'Eaglehorn Bow', 'Wolfrider', 'Wolfrider', 'Molten Giant', 'Molten Giant', 'Blood Knight', 'Blood Knight', 'Argent Squire', 'Argent Squire', 'Murloc Tidecaller', 'Murloc Tidecaller', 'Oasis Snapjaw', 'Oasis Snapjaw', 'Reckless Rocketeer', 'Reckless Rocketeer', 'Razorfen Hunter', 'Razorfen Hunter', 'Tracking', 'Tracking', 'Lord of the Arena', 'Lord of the Arena', 'Abusive Sergeant', 'Abusive Sergeant', 'Lightwarden', 'Lightwarden'])"
3,293.4559962749481,93,-19.997275985663084,4.906666666666666,"([2.141552612130568, -2.8556090407575927, -0.8952807128592895, 6.5125444536278705, -5.382690687113829, 3.310956139854204, 5.709459279543698, 2.3086438098644226, 12.337052664986874, -15.04795630987582, -4.906707542043558, 6.772084970974943, -1.5391549186537434, -4.46453508574711, 4.513356533320989, 8.305843716631173, 3.0492928731413524, -18.027158822963067, -5.251578431691863, 0.7487088566094362, -5.119919654290614], ['Mana Wraith', 'Mana Wraith', 'Multi-Shot', 'Multi-Shot', 'Eaglehorn Bow', 'Eaglehorn Bow', 'Wolfrider', 'Wolfrider', 'Molten Giant', 'Molten Giant', 'Blood Knight', 'Blood Knight', 'Argent Squire', 'Argent Squire', 'Murloc Tidecaller', 'Murloc Tidecaller', 'Oasis Snapjaw', 'Oasis Snapjaw', 'Reckless Rocketeer', 'Reckless Rocketeer', 'Razorfen Hunter', 'Razorfen Hunter', 'Ironforge Rifleman', 'Ironforge Rifleman', 'Lord of the Arena', 'Lord of the Arena', 'Abusive Sergeant', 'Abusive Sergeant', 'Bloodsail Corsair', 'Bloodsail Corsair'])"
4,263.00838470458984,112,-19.337857142857143,5.04,"([3.250846111252543, -3.795627245863547, 0.14862784225987213, 6.264299478368997, -4.976824670874951, 3.4974543314032394, 6.809439156979337, 0.6462481648096701, 12.46241256543682, -15.994505953114762, -6.726315663792677, 5.963825701654273, -1.926648883580456, -4.008118121057819, 3.6954187419601006, 6.864528678036161, 2.68925102697889, -17.797441840221172, -3.617579236154305, 0.39952788344453266, -5.647845557574677], ['Venture Co. Mercenary', 'Venture Co. Mercenary', 'Multi-Shot', 'Multi-Shot', 'Shieldbearer', 'Shieldbearer', 'Archmage', 'Archmage', 'Molten Giant', 'Molten Giant', 'Blood Knight', 'Blood Knight', 'Argent Squire', 'Argent Squire', 'Murloc Tidecaller', 'Murloc Tidecaller', 'Oasis Snapjaw', 'Oasis Snapjaw', 'Reckless Rocketeer', 'Reckless Rocketeer', 'Razorfen Hunter', 'Razorfen Hunter', 'Scavenging Hyena', 'Scavenging Hyena', 'Lord of the Arena', 'Lord of the Arena', 'Abusive Sergeant', 'Abusive Sergeant', 'Bloodsail Corsair', 'Bloodsail Corsair'])"
5,316.2569353580475,136,-19.147058823529413,5.04,"([3.250846111252543, -3.795627245863547, 0.14862784225987213, 6.264299478368997, -4.976824670874951, 3.4974543314032394, 6.809439156979337, 0.6462481648096701, 12.46241256543682, -15.994505953114762, -6.726315663792677, 5.963825701654273, -1.926648883580456, -4.008118121057819, 3.6954187419601006, 6.864528678036161, 2.68925102697889, -17.797441840221172, -3.617579236154305, 0.39952788344453266, -5.647845557574677], ['Venture Co. Mercenary', 'Venture Co. Mercenary', 'Multi-Shot', 'Multi-Shot', 'Shieldbearer', 'Shieldbearer', 'Archmage', 'Archmage', 'Molten Giant', 'Molten Giant', 'Blood Knight', 'Blood Knight', 'Argent Squire', 'Argent Squire', 'Murloc Tidecaller', 'Murloc Tidecaller', 'Oasis Snapjaw', 'Oasis Snapjaw', 'Reckless Rocketeer', 'Reckless Rocketeer', 'Razorfen Hunter', 'Razorfen Hunter', 'Scavenging Hyena', 'Scavenging Hyena', 'Lord of the Arena', 'Lord of the Arena', 'Spellbreaker', 'Spellbreaker', 'Bloodsail Corsair', 'Bloodsail Corsair'])"
6,356.4344127178192,156,-18.84777777777778,5.04,"([3.250846111252543, -3.795627245863547, 0.14862784225987213, 6.264299478368997, -4.976824670874951, 3.4974543314032394, 6.809439156979337, 0.6462481648096701, 12.46241256543682, -15.994505953114762, -6.726315663792677, 5.963825701654273, -1.926648883580456, -4.008118121057819, 3.6954187419601006, 6.864528678036161, 2.68925102697889, -17.797441840221172, -3.617579236154305, 0.39952788344453266, -5.647845557574677], ['Venture Co. Mercenary', 'Venture Co. Mercenary', 'Multi-Shot', 'Multi-Shot', 'Shieldbearer', 'Shieldbearer', 'Archmage', 'Archmage', 'Molten Giant', 'Molten Giant', 'Blood Knight', 'Blood Knight', 'Argent Squire', 'Argent Squire', 'Murloc Tidecaller', 'Murloc Tidecaller', 'Animal Companion', 'Animal Companion', 'Cult Master', 'Cult Master', 'Razorfen Hunter', 'Razorfen Hunter', 'Scavenging Hyena', 'Scavenging Hyena', 'Lord of the Arena', 'Lord of the Arena', 'River Crocolisk', 'River Crocolisk', 'Bloodsail Corsair', 'Bloodsail Corsair'])"
7,246.05995678901672,170,-18.71443137254902,5.04,"([3.250846111252543, -3.795627245863547, 0.14862784225987213, 6.264299478368997, -4.976824670874951, 3.4974543314032394, 6.809439156979337, 0.6462481648096701, 12.46241256543682, -15.994505953114762, -6.726315663792677, 5.963825701654273, -1.926648883580456, -4.008118121057819, 3.6954187419601006, 6.864528678036161, 2.68925102697889, -17.797441840221172, -3.617579236154305, 0.39952788344453266, -5.647845557574677], ['Venture Co. Mercenary', 'Venture Co. Mercenary', 'Multi-Shot', 'Multi-Shot', 'Shieldbearer', 'Shieldbearer', 'Archmage', 'Archmage', 'Molten Giant', 'Molten Giant', 'Blood Knight', 'Blood Knight', 'Argent Squire', 'Argent Squire', 'Mogushan Warden', 'Mogushan Warden', 'Animal Companion', 'Animal Companion', 'Cult Master', 'Cult Master', 'Razorfen Hunter', 'Razorfen Hunter', 'Scavenging Hyena', 'Scavenging Hyena', 'Lord of the Arena', 'Lord of the Arena', 'River Crocolisk', 'River Crocolisk', 'Bloodsail Corsair', 'Bloodsail Corsair'])"
8,306.71087765693665,185,-18.35762162162162,5.04,"([3.250846111252543, -3.795627245863547, 0.14862784225987213, 6.264299478368997, -4.976824670874951, 3.4974543314032394, 6.809439156979337, 0.6462481648096701, 12.46241256543682, -15.994505953114762, -6.726315663792677, 5.963825701654273, -1.926648883580456, -4.008118121057819, 3.6954187419601006, 6.864528678036161, 2.68925102697889, -17.797441840221172, -3.617579236154305, 0.39952788344453266, -5.647845557574677], ['Venture Co. Mercenary', 'Venture Co. Mercenary', 'Multi-Shot', 'Multi-Shot', 'Shieldbearer', 'Shieldbearer', 'Archmage', 'Archmage', 'Molten Giant', 'Molten Giant', 'Blood Knight', 'Blood Knight', 'Argent Squire', 'Argent Squire', 'Mogushan Warden', 'Mogushan Warden', 'Animal Companion', 'Animal Companion', 'Cult Master', 'Cult Master', 'Razorfen Hunter', 'Razorfen Hunter', 'Scavenging Hyena', 'Scavenging Hyena', 'Lord of the Arena', 'Lord of the Arena', 'River Crocolisk', 'River Crocolisk', 'Bloodsail Corsair', 'Bloodsail Corsair'])"
9,251.22978115081787,202,-18.7213201320132,5.04,"([3.250846111252543, -3.795627245863547, 0.14862784225987213, 6.264299478368997, -4.976824670874951, 3.4974543314032394, 6.809439156979337, 0.6462481648096701, 12.46241256543682, -15.994505953114762, -6.726315663792677, 5.963825701654273, -1.926648883580456, -4.008118121057819, 3.6954187419601006, 6.864528678036161, 2.68925102697889, -17.797441840221172, -3.617579236154305, 0.39952788344453266, -5.647845557574677], ['Venture Co. Mercenary', 'Venture Co. Mercenary', 'Multi-Shot', 'Multi-Shot', 'Shieldbearer', 'Shieldbearer', 'Archmage', 'Archmage', 'Molten Giant', 'Molten Giant', 'Blood Knight', 'Blood Knight', 'Argent Squire', 'Argent Squire', 'Mogushan Warden', 'Mogushan Warden', 'Shattered Sun Cleric', 'Shattered Sun Cleric', 'Cult Master', 'Cult Master', 'Razorfen Hunter', 'Razorfen Hunter', 'Scavenging Hyena', 'Scavenging Hyena', 'Lord of the Arena', 'Lord of the Arena', 'River Crocolisk', 'River Crocolisk', 'Bloodsail Corsair', 'Bloodsail Corsair'])"
