generation,time_elapsed,population,mean_fitness,best_fitness,best_sample
0,206.8577537536621,34,-23.41372549019608,-6.506666666666667,"([-11.840726860868507, -3.5167585298402186, -9.972256313601644, 3.3971204578830694, 11.521529378788694, -16.57901732186085, 12.40555231647797, 7.356197602626129, 8.347171958967394, -11.369113421576076, 11.477506785691128, -0.677514493147896, -10.723391500334987, -7.855159683843062, 8.450447922926637, 13.301382508615589, -11.935372956949285, -10.292430623405732, -2.1582896794436577, -7.581706396836042, -14.919311167154572], ['Ironfur Grizzly', 'Ironfur Grizzly', 'Bluegill Warrior', 'Bluegill Warrior', 'Arcane Golem', 'Arcane Golem', 'Frostwolf Warlord', 'Frostwolf Warlord', ""Hunter's Mark"", ""Hunter's Mark"", 'Scarlet Crusader', 'Scarlet Crusader', 'Violet Teacher', 'Violet Teacher', 'Windfury Harpy', 'Windfury Harpy', 'Grimscale Oracle', 'Grimscale Oracle', 'Twilight Drake', 'Twilight Drake', 'Core Hound', 'Core Hound', 'Fen Creeper', 'Fen Creeper', 'Sea Giant', 'Sea Giant', 'Ironforge Rifleman', 'Ironforge Rifleman', 'Mana Wraith', 'Mana Wraith'])"
1,180.93586921691895,51,-23.17516339869281,-6.506666666666667,"([-11.840726860868507, -3.5167585298402186, -9.972256313601644, 3.3971204578830694, 11.521529378788694, -16.57901732186085, 12.40555231647797, 7.356197602626129, 8.347171958967394, -11.369113421576076, 11.477506785691128, -0.677514493147896, -10.723391500334987, -7.855159683843062, 8.450447922926637, 13.301382508615589, -11.935372956949285, -10.292430623405732, -2.1582896794436577, -7.581706396836042, -14.919311167154572], ['Ironfur Grizzly', 'Ironfur Grizzly', 'Bluegill Warrior', 'Bluegill Warrior', 'Arcane Golem', 'Arcane Golem', 'Frostwolf Warlord', 'Frostwolf Warlord', ""Hunter's Mark"", ""Hunter's Mark"", 'Scarlet Crusader', 'Scarlet Crusader', 'Violet Teacher', 'Violet Teacher', 'Windfury Harpy', 'Windfury Harpy', 'Grimscale Oracle', 'Grimscale Oracle', 'Twilight Drake', 'Twilight Drake', 'Core Hound', 'Core Hound', 'Fen Creeper', 'Fen Creeper', 'Sea Giant', 'Sea Giant', 'Ironforge Rifleman', 'Ironforge Rifleman', 'Mana Wraith', 'Mana Wraith'])"
2,205.6240291595459,76,-23.11719298245614,3.0133333333333336,"([-12.179093889081328, -1.891043874690371, -8.940079085349588, 3.074352874393074, 11.475376042900171, -16.96072189479791, 12.207007288641003, 7.181969684503819, 8.631643811081515, -11.276336323909113, 12.244228766953746, 0.005750236014894124, -9.78757837471373, -8.136677367095636, 9.121603197800926, 12.05645405010407, -12.900985212104208, -9.865273441071592, -2.6789519114395377, -6.492111749396735, -14.812051780696079], ['Ironfur Grizzly', 'Ironfur Grizzly', 'Bluegill Warrior', 'Bluegill Warrior', 'Arcane Golem', 'Arcane Golem', 'Frostwolf Warlord', 'Frostwolf Warlord', ""Hunter's Mark"", ""Hunter's Mark"", 'Scarlet Crusader', 'Scarlet Crusader', 'Crazed Alchemist', 'Crazed Alchemist', 'Mountain Giant', 'Mountain Giant', 'Reckless Rocketeer', 'Reckless Rocketeer', 'Twilight Drake', 'Twilight Drake', 'Murloc Warleader', 'Murloc Warleader', 'Fen Creeper', 'Fen Creeper', 'Sea Giant', 'Sea Giant', 'Multi-Shot', 'Multi-Shot', 'Mana Wraith', 'Mana Wraith'])"
3,174.71728253364563,91,-22.57098901098901,3.0133333333333336,"([-12.179093889081328, -1.891043874690371, -8.940079085349588, 3.074352874393074, 11.475376042900171, -16.96072189479791, 12.207007288641003, 7.181969684503819, 8.631643811081515, -11.276336323909113, 12.244228766953746, 0.005750236014894124, -9.78757837471373, -8.136677367095636, 9.121603197800926, 12.05645405010407, -12.900985212104208, -9.865273441071592, -2.6789519114395377, -6.492111749396735, -14.812051780696079], ['Ironfur Grizzly', 'Ironfur Grizzly', 'Bluegill Warrior', 'Bluegill Warrior', 'Wisp', 'Wisp', 'Southsea Captain', 'Southsea Captain', ""Hunter's Mark"", ""Hunter's Mark"", 'Scarlet Crusader', 'Scarlet Crusader', 'Crazed Alchemist', 'Crazed Alchemist', 'Mountain Giant', 'Mountain Giant', 'Reckless Rocketeer', 'Reckless Rocketeer', 'Twilight Drake', 'Twilight Drake', 'Murloc Warleader', 'Murloc Warleader', 'Fen Creeper', 'Fen Creeper', 'Sea Giant', 'Sea Giant', 'Multi-Shot', 'Multi-Shot', 'Mana Wraith', 'Mana Wraith'])"
4,207.15738368034363,109,-22.780672782874618,3.0133333333333336,"([-12.179093889081328, -1.891043874690371, -8.940079085349588, 3.074352874393074, 11.475376042900171, -16.96072189479791, 12.207007288641003, 7.181969684503819, 8.631643811081515, -11.276336323909113, 12.244228766953746, 0.005750236014894124, -9.78757837471373, -8.136677367095636, 9.121603197800926, 12.05645405010407, -12.900985212104208, -9.865273441071592, -2.6789519114395377, -6.492111749396735, -14.812051780696079], ['Ironfur Grizzly', 'Ironfur Grizzly', 'Bluegill Warrior', 'Bluegill Warrior', 'Wisp', 'Wisp', 'Southsea Captain', 'Southsea Captain', ""Hunter's Mark"", ""Hunter's Mark"", 'Scarlet Crusader', 'Scarlet Crusader', 'Crazed Alchemist', 'Crazed Alchemist', 'Mountain Giant', 'Mountain Giant', 'Reckless Rocketeer', 'Reckless Rocketeer', 'Twilight Drake', 'Twilight Drake', 'Murloc Warleader', 'Murloc Warleader', 'Fen Creeper', 'Fen Creeper', 'Sea Giant', 'Sea Giant', 'Multi-Shot', 'Multi-Shot', 'Mana Wraith', 'Mana Wraith'])"
5,216.57961058616638,129,-22.16454780361757,3.6399999999999997,"([-11.726607839449962, -1.8057233211168358, -8.132487206767703, 2.949143110089665, 12.072372603340396, -16.299225125254612, 12.976556208066699, 7.865562124386744, 9.544658675364689, -11.140071694862712, 12.353294901649864, 1.318521166643659, -10.262761418305614, -7.744224442654828, 9.772151719114415, 12.145806464208796, -13.28874527532879, -9.331637261646739, -2.6471160988464466, -6.762159988078242, -14.023117863668627], ['Ironfur Grizzly', 'Ironfur Grizzly', 'Bluegill Warrior', 'Bluegill Warrior', 'Wisp', 'Wisp', 'Priestess of Elune', 'Priestess of Elune', ""Hunter's Mark"", ""Hunter's Mark"", 'Scarlet Crusader', 'Scarlet Crusader', 'Crazed Alchemist', 'Crazed Alchemist', 'Mountain Giant', 'Mountain Giant', 'Reckless Rocketeer', 'Reckless Rocketeer', 'Twilight Drake', 'Twilight Drake', 'Murloc Warleader', 'Murloc Warleader', 'Fen Creeper', 'Fen Creeper', 'Sea Giant', 'Sea Giant', 'Multi-Shot', 'Multi-Shot', 'Mana Wraith', 'Mana Wraith'])"
6,209.54145073890686,138,-21.56550724637681,3.6399999999999997,"([-11.726607839449962, -1.8057233211168358, -8.132487206767703, 2.949143110089665, 12.072372603340396, -16.299225125254612, 12.976556208066699, 7.865562124386744, 9.544658675364689, -11.140071694862712, 12.353294901649864, 1.318521166643659, -10.262761418305614, -7.744224442654828, 9.772151719114415, 12.145806464208796, -13.28874527532879, -9.331637261646739, -2.6471160988464466, -6.762159988078242, -14.023117863668627], ['Ironfur Grizzly', 'Ironfur Grizzly', 'Core Hound', 'Core Hound', 'Wisp', 'Wisp', 'Priestess of Elune', 'Priestess of Elune', ""Hunter's Mark"", ""Hunter's Mark"", 'Scarlet Crusader', 'Scarlet Crusader', 'Crazed Alchemist', 'Crazed Alchemist', 'Emperor Cobra', 'Emperor Cobra', 'Reckless Rocketeer', 'Reckless Rocketeer', 'Twilight Drake', 'Twilight Drake', 'Murloc Warleader', 'Murloc Warleader', 'Fen Creeper', 'Fen Creeper', 'Argent Squire', 'Argent Squire', 'Multi-Shot', 'Multi-Shot', 'Beastial Wrath', 'Beastial Wrath'])"
7,194.824364900589,151,-21.195496688741724,3.6399999999999997,"([-11.726607839449962, -1.8057233211168358, -8.132487206767703, 2.949143110089665, 12.072372603340396, -16.299225125254612, 12.976556208066699, 7.865562124386744, 9.544658675364689, -11.140071694862712, 12.353294901649864, 1.318521166643659, -10.262761418305614, -7.744224442654828, 9.772151719114415, 12.145806464208796, -13.28874527532879, -9.331637261646739, -2.6471160988464466, -6.762159988078242, -14.023117863668627], ['Ironfur Grizzly', 'Ironfur Grizzly', 'Core Hound', 'Core Hound', 'Wisp', 'Wisp', 'Wolfrider', 'Wolfrider', ""Hunter's Mark"", ""Hunter's Mark"", 'Scarlet Crusader', 'Scarlet Crusader', 'Crazed Alchemist', 'Crazed Alchemist', 'Emperor Cobra', 'Emperor Cobra', 'Reckless Rocketeer', 'Reckless Rocketeer', 'Twilight Drake', 'Twilight Drake', 'Murloc Warleader', 'Murloc Warleader', 'Fen Creeper', 'Fen Creeper', 'Shieldbearer', 'Shieldbearer', 'Multi-Shot', 'Multi-Shot', 'Beastial Wrath', 'Beastial Wrath'])"
8,242.80068516731262,167,-20.88630738522954,3.6399999999999997,"([-11.726607839449962, -1.8057233211168358, -8.132487206767703, 2.949143110089665, 12.072372603340396, -16.299225125254612, 12.976556208066699, 7.865562124386744, 9.544658675364689, -11.140071694862712, 12.353294901649864, 1.318521166643659, -10.262761418305614, -7.744224442654828, 9.772151719114415, 12.145806464208796, -13.28874527532879, -9.331637261646739, -2.6471160988464466, -6.762159988078242, -14.023117863668627], ['Freezing Trap', 'Freezing Trap', 'Core Hound', 'Core Hound', 'Master Swordsmith', 'Master Swordsmith', 'Wolfrider', 'Wolfrider', ""Hunter's Mark"", ""Hunter's Mark"", 'War Golem', 'War Golem', 'Crazed Alchemist', 'Crazed Alchemist', 'Emperor Cobra', 'Emperor Cobra', 'Reckless Rocketeer', 'Reckless Rocketeer', 'Twilight Drake', 'Twilight Drake', 'Murloc Warleader', 'Murloc Warleader', 'Fen Creeper', 'Fen Creeper', 'Shieldbearer', 'Shieldbearer', 'Multi-Shot', 'Multi-Shot', 'Beastial Wrath', 'Beastial Wrath'])"
9,207.6945400238037,176,-20.359545454545454,3.6399999999999997,"([-11.726607839449962, -1.8057233211168358, -8.132487206767703, 2.949143110089665, 12.072372603340396, -16.299225125254612, 12.976556208066699, 7.865562124386744, 9.544658675364689, -11.140071694862712, 12.353294901649864, 1.318521166643659, -10.262761418305614, -7.744224442654828, 9.772151719114415, 12.145806464208796, -13.28874527532879, -9.331637261646739, -2.6471160988464466, -6.762159988078242, -14.023117863668627], ['Freezing Trap', 'Freezing Trap', 'Core Hound', 'Core Hound', 'Master Swordsmith', 'Master Swordsmith', 'Wolfrider', 'Wolfrider', ""Hunter's Mark"", ""Hunter's Mark"", 'War Golem', 'War Golem', 'Crazed Alchemist', 'Crazed Alchemist', 'Emperor Cobra', 'Emperor Cobra', 'Reckless Rocketeer', 'Reckless Rocketeer', 'Twilight Drake', 'Twilight Drake', 'Murloc Warleader', 'Murloc Warleader', 'Youthful Brewmaster', 'Youthful Brewmaster', 'Shieldbearer', 'Shieldbearer', 'Multi-Shot', 'Multi-Shot', 'Beastial Wrath', 'Beastial Wrath'])"
