generation,time_elapsed,population,mean_fitness,best_fitness,best_sample
0,175.76304125785828,32,-22.849166666666665,-5.533333333333333,"([6.989885404027486, 9.425046345702425, -10.10551083911955, 6.180721571414224, 28.60279002071677, -5.490428120544318, 12.155413589735454, 9.203801909945444, 17.618892471836116, -1.0844366289403156, 5.440074569173723, -4.94302692179564, -17.481921099071123, 11.072866299695352, -5.497947217076629, 1.058102451721326, 12.77304780020466, -8.877116237068337, 3.1292222969377335, -2.5206408660070974, 6.7005693954550845], ['Water Elemental', 'Water Elemental', 'Secretkeeper', 'Secretkeeper', 'Stonetusk Boar', 'Stonetusk Boar', 'Pyroblast', 'Pyroblast', 'Mountain Giant', 'Mountain Giant', 'Acolyte of Pain', 'Acolyte of Pain', 'Frostwolf Warlord', 'Frostwolf Warlord', 'Coldlight Oracle', 'Coldlight Oracle', 'Argent Commander', 'Argent Commander', 'Archmage', 'Archmage', 'Bloodfen Raptor', 'Bloodfen Raptor', 'Young Priestess', 'Young Priestess', 'Loot Hoarder', 'Loot Hoarder', 'Stampeding Kodo', 'Stampeding Kodo', 'Cult Master', 'Cult Master'])"
1,179.00476169586182,44,-22.794848484848483,-4.92,"([7.884699971199436, 9.230413261857915, -9.498536195183721, 5.845142264145345, 28.667889170640905, -5.618728833409184, 11.56517413262935, 9.116230778675778, 17.169468144039598, -1.3559049630575126, 6.422307934296373, -5.048244654403366, -16.32440722165423, 11.433857316030116, -4.8781291914712686, 0.2104776772790491, 12.30285014577988, -7.882200496439594, 2.975704592489611, -2.9358149204396855, 6.681563827055665], ['Water Elemental', 'Water Elemental', 'Secretkeeper', 'Secretkeeper', 'Stonetusk Boar', 'Stonetusk Boar', 'Pyroblast', 'Pyroblast', 'Mountain Giant', 'Mountain Giant', 'Acolyte of Pain', 'Acolyte of Pain', 'Frostwolf Warlord', 'Frostwolf Warlord', 'Coldlight Oracle', 'Coldlight Oracle', 'Argent Commander', 'Argent Commander', 'Archmage', 'Archmage', 'Bloodfen Raptor', 'Bloodfen Raptor', 'Young Priestess', 'Young Priestess', 'Loot Hoarder', 'Loot Hoarder', 'Stampeding Kodo', 'Stampeding Kodo', 'Cult Master', 'Cult Master'])"
2,188.06771612167358,56,-23.146190476190476,-4.92,"([7.884699971199436, 9.230413261857915, -9.498536195183721, 5.845142264145345, 28.667889170640905, -5.618728833409184, 11.56517413262935, 9.116230778675778, 17.169468144039598, -1.3559049630575126, 6.422307934296373, -5.048244654403366, -16.32440722165423, 11.433857316030116, -4.8781291914712686, 0.2104776772790491, 12.30285014577988, -7.882200496439594, 2.975704592489611, -2.9358149204396855, 6.681563827055665], ['Water Elemental', 'Water Elemental', 'Secretkeeper', 'Secretkeeper', 'Stonetusk Boar', 'Stonetusk Boar', 'Pyroblast', 'Pyroblast', 'Mountain Giant', 'Mountain Giant', 'Acolyte of Pain', 'Acolyte of Pain', 'Frostwolf Warlord', 'Frostwolf Warlord', 'Coldlight Oracle', 'Coldlight Oracle', 'Argent Commander', 'Argent Commander', 'Archmage', 'Archmage', 'Bloodfen Raptor', 'Bloodfen Raptor', 'Young Priestess', 'Young Priestess', 'Loot Hoarder', 'Loot Hoarder', 'Stampeding Kodo', 'Stampeding Kodo', 'Cult Master', 'Cult Master'])"
3,211.5605719089508,67,-22.94766169154229,-4.92,"([7.884699971199436, 9.230413261857915, -9.498536195183721, 5.845142264145345, 28.667889170640905, -5.618728833409184, 11.56517413262935, 9.116230778675778, 17.169468144039598, -1.3559049630575126, 6.422307934296373, -5.048244654403366, -16.32440722165423, 11.433857316030116, -4.8781291914712686, 0.2104776772790491, 12.30285014577988, -7.882200496439594, 2.975704592489611, -2.9358149204396855, 6.681563827055665], ['Water Elemental', 'Water Elemental', 'Secretkeeper', 'Secretkeeper', 'Stonetusk Boar', 'Stonetusk Boar', 'Pyroblast', 'Pyroblast', 'Mountain Giant', 'Mountain Giant', 'Acolyte of Pain', 'Acolyte of Pain', 'Frostwolf Warlord', 'Frostwolf Warlord', 'Coldlight Oracle', 'Coldlight Oracle', 'Argent Commander', 'Argent Commander', 'Archmage', 'Archmage', 'Bloodfen Raptor', 'Bloodfen Raptor', 'Young Priestess', 'Young Priestess', 'Loot Hoarder', 'Loot Hoarder', 'Stampeding Kodo', 'Stampeding Kodo', 'Cult Master', 'Cult Master'])"
4,183.71978878974915,77,-22.756190476190476,-4.92,"([7.884699971199436, 9.230413261857915, -9.498536195183721, 5.845142264145345, 28.667889170640905, -5.618728833409184, 11.56517413262935, 9.116230778675778, 17.169468144039598, -1.3559049630575126, 6.422307934296373, -5.048244654403366, -16.32440722165423, 11.433857316030116, -4.8781291914712686, 0.2104776772790491, 12.30285014577988, -7.882200496439594, 2.975704592489611, -2.9358149204396855, 6.681563827055665], ['Water Elemental', 'Water Elemental', 'Secretkeeper', 'Secretkeeper', 'Stonetusk Boar', 'Stonetusk Boar', 'Pyroblast', 'Pyroblast', 'Mountain Giant', 'Mountain Giant', 'Acolyte of Pain', 'Acolyte of Pain', 'Frostwolf Warlord', 'Frostwolf Warlord', 'Coldlight Oracle', 'Coldlight Oracle', 'Argent Commander', 'Argent Commander', 'Archmage', 'Archmage', 'Bloodfen Raptor', 'Bloodfen Raptor', 'Young Priestess', 'Young Priestess', 'Loot Hoarder', 'Loot Hoarder', 'Stampeding Kodo', 'Stampeding Kodo', 'Cult Master', 'Cult Master'])"
5,211.09840393066406,89,-22.931685393258427,-4.92,"([7.884699971199436, 9.230413261857915, -9.498536195183721, 5.845142264145345, 28.667889170640905, -5.618728833409184, 11.56517413262935, 9.116230778675778, 17.169468144039598, -1.3559049630575126, 6.422307934296373, -5.048244654403366, -16.32440722165423, 11.433857316030116, -4.8781291914712686, 0.2104776772790491, 12.30285014577988, -7.882200496439594, 2.975704592489611, -2.9358149204396855, 6.681563827055665], ['Water Elemental', 'Water Elemental', 'Secretkeeper', 'Secretkeeper', 'Stonetusk Boar', 'Stonetusk Boar', 'Pyroblast', 'Pyroblast', 'Mountain Giant', 'Mountain Giant', 'Acolyte of Pain', 'Acolyte of Pain', 'Frostwolf Warlord', 'Frostwolf Warlord', 'Coldlight Oracle', 'Coldlight Oracle', 'Argent Commander', 'Argent Commander', 'Archmage', 'Archmage', 'Bloodfen Raptor', 'Bloodfen Raptor', 'Young Priestess', 'Young Priestess', 'Loot Hoarder', 'Loot Hoarder', 'Stampeding Kodo', 'Stampeding Kodo', 'Cult Master', 'Cult Master'])"
6,223.5602958202362,101,-23.04871287128713,-3.12,"([7.642640529733961, 9.667037435057189, -9.588872838883166, 5.231721376131573, 29.49300716412598, -5.2152923005276115, 12.486519608415987, 8.336727030318484, 17.812613708413075, -1.2306317123668284, 4.847483593545672, -4.562883933968961, -17.156973489557924, 11.010166034622284, -5.045866371716824, 0.7931252439774249, 13.241126859317063, -9.399416016904068, 3.351708852001071, -2.231701220522533, 6.437579720597239], ['Water Elemental', 'Water Elemental', 'Secretkeeper', 'Secretkeeper', 'Stonetusk Boar', 'Stonetusk Boar', 'Pyroblast', 'Pyroblast', 'Mountain Giant', 'Mountain Giant', 'Acolyte of Pain', 'Acolyte of Pain', 'Frostwolf Warlord', 'Frostwolf Warlord', 'Coldlight Oracle', 'Coldlight Oracle', 'Argent Commander', 'Argent Commander', 'Archmage', 'Archmage', 'Bloodfen Raptor', 'Bloodfen Raptor', 'Young Priestess', 'Young Priestess', 'Loot Hoarder', 'Loot Hoarder', 'Stampeding Kodo', 'Stampeding Kodo', 'Cult Master', 'Cult Master'])"
7,220.00263166427612,111,-22.954594594594596,-3.12,"([7.642640529733961, 9.667037435057189, -9.588872838883166, 5.231721376131573, 29.49300716412598, -5.2152923005276115, 12.486519608415987, 8.336727030318484, 17.812613708413075, -1.2306317123668284, 4.847483593545672, -4.562883933968961, -17.156973489557924, 11.010166034622284, -5.045866371716824, 0.7931252439774249, 13.241126859317063, -9.399416016904068, 3.351708852001071, -2.231701220522533, 6.437579720597239], ['Water Elemental', 'Water Elemental', 'Secretkeeper', 'Secretkeeper', 'Stonetusk Boar', 'Stonetusk Boar', 'Pyroblast', 'Pyroblast', 'Mountain Giant', 'Mountain Giant', 'Acolyte of Pain', 'Acolyte of Pain', 'Frostwolf Warlord', 'Frostwolf Warlord', 'Coldlight Oracle', 'Coldlight Oracle', 'Argent Commander', 'Argent Commander', 'Archmage', 'Archmage', 'Bloodfen Raptor', 'Bloodfen Raptor', 'Young Priestess', 'Young Priestess', 'Loot Hoarder', 'Loot Hoarder', 'Stampeding Kodo', 'Stampeding Kodo', 'Cult Master', 'Cult Master'])"
8,227.83978128433228,120,-22.924666666666667,-3.12,"([7.642640529733961, 9.667037435057189, -9.588872838883166, 5.231721376131573, 29.49300716412598, -5.2152923005276115, 12.486519608415987, 8.336727030318484, 17.812613708413075, -1.2306317123668284, 4.847483593545672, -4.562883933968961, -17.156973489557924, 11.010166034622284, -5.045866371716824, 0.7931252439774249, 13.241126859317063, -9.399416016904068, 3.351708852001071, -2.231701220522533, 6.437579720597239], ['Water Elemental', 'Water Elemental', 'Secretkeeper', 'Secretkeeper', 'Stonetusk Boar', 'Stonetusk Boar', 'Pyroblast', 'Pyroblast', 'Mountain Giant', 'Mountain Giant', 'Acolyte of Pain', 'Acolyte of Pain', 'Frostwolf Warlord', 'Frostwolf Warlord', 'Coldlight Oracle', 'Coldlight Oracle', 'Argent Commander', 'Argent Commander', 'Archmage', 'Archmage', 'Bloodfen Raptor', 'Bloodfen Raptor', 'Young Priestess', 'Young Priestess', 'Loot Hoarder', 'Loot Hoarder', 'Stampeding Kodo', 'Stampeding Kodo', 'Cult Master', 'Cult Master'])"
9,198.62819647789001,128,-23.032083333333333,-3.12,"([7.642640529733961, 9.667037435057189, -9.588872838883166, 5.231721376131573, 29.49300716412598, -5.2152923005276115, 12.486519608415987, 8.336727030318484, 17.812613708413075, -1.2306317123668284, 4.847483593545672, -4.562883933968961, -17.156973489557924, 11.010166034622284, -5.045866371716824, 0.7931252439774249, 13.241126859317063, -9.399416016904068, 3.351708852001071, -2.231701220522533, 6.437579720597239], ['Water Elemental', 'Water Elemental', 'Secretkeeper', 'Secretkeeper', 'Stonetusk Boar', 'Stonetusk Boar', 'Pyroblast', 'Pyroblast', 'Mountain Giant', 'Mountain Giant', 'Acolyte of Pain', 'Acolyte of Pain', 'Frostwolf Warlord', 'Frostwolf Warlord', 'Coldlight Oracle', 'Coldlight Oracle', 'Argent Commander', 'Argent Commander', 'Archmage', 'Archmage', 'Bloodfen Raptor', 'Bloodfen Raptor', 'Young Priestess', 'Young Priestess', 'Loot Hoarder', 'Loot Hoarder', 'Stampeding Kodo', 'Stampeding Kodo', 'Cult Master', 'Cult Master'])"
