generation,time_elapsed,population,mean_fitness,best_fitness,best_sample
0,263.3428330421448,29,-23.6616091954023,1.9733333333333334,"([-7.524708813916588, -0.7533773047229113, 1.075451564296261, 5.095051056369578, 14.420600006387971, 11.904290068168715, 7.359712781009255, 19.978079934540503, 10.727092421023825, 12.662279116229291, -1.0752734504740256, -8.149214920019155, -0.043219680579592135, -6.253380671457726, 10.754034129206513, -1.6918603101226637, 4.591668084285786, 4.08819238163624, -6.650874479354151, -10.463687880530504, -1.8339996093627262], ['Ancient Mage', 'Ancient Mage', 'Southsea Captain', 'Southsea Captain', 'Cone of Cold', 'Cone of Cold', 'Amani Berserker', 'Amani Berserker', 'War Golem', 'War Golem', 'Ancient Brewmaster', 'Ancient Brewmaster', 'Murloc Tidehunter', 'Murloc Tidehunter', 'Grimscale Oracle', 'Grimscale Oracle', 'Leper Gnome', 'Leper Gnome', 'Silverback Patriarch', 'Silverback Patriarch', 'Questing Adventurer', 'Questing Adventurer', 'Mad Bomber', 'Mad Bomber', 'Twilight Drake', 'Twilight Drake', 'Dread Corsair', 'Dread Corsair', 'Faerie Dragon', 'Faerie Dragon'])"
1,167.87636137008667,29,-23.6616091954023,1.9733333333333334,"([-7.524708813916588, -0.7533773047229113, 1.075451564296261, 5.095051056369578, 14.420600006387971, 11.904290068168715, 7.359712781009255, 19.978079934540503, 10.727092421023825, 12.662279116229291, -1.0752734504740256, -8.149214920019155, -0.043219680579592135, -6.253380671457726, 10.754034129206513, -1.6918603101226637, 4.591668084285786, 4.08819238163624, -6.650874479354151, -10.463687880530504, -1.8339996093627262], ['Ancient Mage', 'Ancient Mage', 'Southsea Captain', 'Southsea Captain', 'Cone of Cold', 'Cone of Cold', 'Amani Berserker', 'Amani Berserker', 'War Golem', 'War Golem', 'Ancient Brewmaster', 'Ancient Brewmaster', 'Murloc Tidehunter', 'Murloc Tidehunter', 'Grimscale Oracle', 'Grimscale Oracle', 'Leper Gnome', 'Leper Gnome', 'Silverback Patriarch', 'Silverback Patriarch', 'Questing Adventurer', 'Questing Adventurer', 'Mad Bomber', 'Mad Bomber', 'Twilight Drake', 'Twilight Drake', 'Dread Corsair', 'Dread Corsair', 'Faerie Dragon', 'Faerie Dragon'])"
2,273.1293351650238,29,-23.6616091954023,1.9733333333333334,"([-7.524708813916588, -0.7533773047229113, 1.075451564296261, 5.095051056369578, 14.420600006387971, 11.904290068168715, 7.359712781009255, 19.978079934540503, 10.727092421023825, 12.662279116229291, -1.0752734504740256, -8.149214920019155, -0.043219680579592135, -6.253380671457726, 10.754034129206513, -1.6918603101226637, 4.591668084285786, 4.08819238163624, -6.650874479354151, -10.463687880530504, -1.8339996093627262], ['Ancient Mage', 'Ancient Mage', 'Southsea Captain', 'Southsea Captain', 'Cone of Cold', 'Cone of Cold', 'Amani Berserker', 'Amani Berserker', 'War Golem', 'War Golem', 'Ancient Brewmaster', 'Ancient Brewmaster', 'Murloc Tidehunter', 'Murloc Tidehunter', 'Grimscale Oracle', 'Grimscale Oracle', 'Leper Gnome', 'Leper Gnome', 'Silverback Patriarch', 'Silverback Patriarch', 'Questing Adventurer', 'Questing Adventurer', 'Mad Bomber', 'Mad Bomber', 'Twilight Drake', 'Twilight Drake', 'Dread Corsair', 'Dread Corsair', 'Faerie Dragon', 'Faerie Dragon'])"
3,166.44776725769043,29,-23.6616091954023,1.9733333333333334,"([-7.524708813916588, -0.7533773047229113, 1.075451564296261, 5.095051056369578, 14.420600006387971, 11.904290068168715, 7.359712781009255, 19.978079934540503, 10.727092421023825, 12.662279116229291, -1.0752734504740256, -8.149214920019155, -0.043219680579592135, -6.253380671457726, 10.754034129206513, -1.6918603101226637, 4.591668084285786, 4.08819238163624, -6.650874479354151, -10.463687880530504, -1.8339996093627262], ['Ancient Mage', 'Ancient Mage', 'Southsea Captain', 'Southsea Captain', 'Cone of Cold', 'Cone of Cold', 'Amani Berserker', 'Amani Berserker', 'War Golem', 'War Golem', 'Ancient Brewmaster', 'Ancient Brewmaster', 'Murloc Tidehunter', 'Murloc Tidehunter', 'Grimscale Oracle', 'Grimscale Oracle', 'Leper Gnome', 'Leper Gnome', 'Silverback Patriarch', 'Silverback Patriarch', 'Questing Adventurer', 'Questing Adventurer', 'Mad Bomber', 'Mad Bomber', 'Twilight Drake', 'Twilight Drake', 'Dread Corsair', 'Dread Corsair', 'Faerie Dragon', 'Faerie Dragon'])"
4,225.63564586639404,29,-23.6616091954023,1.9733333333333334,"([-7.524708813916588, -0.7533773047229113, 1.075451564296261, 5.095051056369578, 14.420600006387971, 11.904290068168715, 7.359712781009255, 19.978079934540503, 10.727092421023825, 12.662279116229291, -1.0752734504740256, -8.149214920019155, -0.043219680579592135, -6.253380671457726, 10.754034129206513, -1.6918603101226637, 4.591668084285786, 4.08819238163624, -6.650874479354151, -10.463687880530504, -1.8339996093627262], ['Ancient Mage', 'Ancient Mage', 'Southsea Captain', 'Southsea Captain', 'Cone of Cold', 'Cone of Cold', 'Amani Berserker', 'Amani Berserker', 'War Golem', 'War Golem', 'Ancient Brewmaster', 'Ancient Brewmaster', 'Murloc Tidehunter', 'Murloc Tidehunter', 'Grimscale Oracle', 'Grimscale Oracle', 'Leper Gnome', 'Leper Gnome', 'Silverback Patriarch', 'Silverback Patriarch', 'Questing Adventurer', 'Questing Adventurer', 'Mad Bomber', 'Mad Bomber', 'Twilight Drake', 'Twilight Drake', 'Dread Corsair', 'Dread Corsair', 'Faerie Dragon', 'Faerie Dragon'])"
5,254.25235629081726,29,-23.6616091954023,1.9733333333333334,"([-7.524708813916588, -0.7533773047229113, 1.075451564296261, 5.095051056369578, 14.420600006387971, 11.904290068168715, 7.359712781009255, 19.978079934540503, 10.727092421023825, 12.662279116229291, -1.0752734504740256, -8.149214920019155, -0.043219680579592135, -6.253380671457726, 10.754034129206513, -1.6918603101226637, 4.591668084285786, 4.08819238163624, -6.650874479354151, -10.463687880530504, -1.8339996093627262], ['Ancient Mage', 'Ancient Mage', 'Southsea Captain', 'Southsea Captain', 'Cone of Cold', 'Cone of Cold', 'Amani Berserker', 'Amani Berserker', 'War Golem', 'War Golem', 'Ancient Brewmaster', 'Ancient Brewmaster', 'Murloc Tidehunter', 'Murloc Tidehunter', 'Grimscale Oracle', 'Grimscale Oracle', 'Leper Gnome', 'Leper Gnome', 'Silverback Patriarch', 'Silverback Patriarch', 'Questing Adventurer', 'Questing Adventurer', 'Mad Bomber', 'Mad Bomber', 'Twilight Drake', 'Twilight Drake', 'Dread Corsair', 'Dread Corsair', 'Faerie Dragon', 'Faerie Dragon'])"
6,273.12028765678406,29,-23.6616091954023,1.9733333333333334,"([-7.524708813916588, -0.7533773047229113, 1.075451564296261, 5.095051056369578, 14.420600006387971, 11.904290068168715, 7.359712781009255, 19.978079934540503, 10.727092421023825, 12.662279116229291, -1.0752734504740256, -8.149214920019155, -0.043219680579592135, -6.253380671457726, 10.754034129206513, -1.6918603101226637, 4.591668084285786, 4.08819238163624, -6.650874479354151, -10.463687880530504, -1.8339996093627262], ['Ancient Mage', 'Ancient Mage', 'Southsea Captain', 'Southsea Captain', 'Cone of Cold', 'Cone of Cold', 'Amani Berserker', 'Amani Berserker', 'War Golem', 'War Golem', 'Ancient Brewmaster', 'Ancient Brewmaster', 'Murloc Tidehunter', 'Murloc Tidehunter', 'Grimscale Oracle', 'Grimscale Oracle', 'Leper Gnome', 'Leper Gnome', 'Silverback Patriarch', 'Silverback Patriarch', 'Questing Adventurer', 'Questing Adventurer', 'Mad Bomber', 'Mad Bomber', 'Twilight Drake', 'Twilight Drake', 'Dread Corsair', 'Dread Corsair', 'Faerie Dragon', 'Faerie Dragon'])"
7,189.67654633522034,29,-23.6616091954023,1.9733333333333334,"([-7.524708813916588, -0.7533773047229113, 1.075451564296261, 5.095051056369578, 14.420600006387971, 11.904290068168715, 7.359712781009255, 19.978079934540503, 10.727092421023825, 12.662279116229291, -1.0752734504740256, -8.149214920019155, -0.043219680579592135, -6.253380671457726, 10.754034129206513, -1.6918603101226637, 4.591668084285786, 4.08819238163624, -6.650874479354151, -10.463687880530504, -1.8339996093627262], ['Ancient Mage', 'Ancient Mage', 'Southsea Captain', 'Southsea Captain', 'Cone of Cold', 'Cone of Cold', 'Amani Berserker', 'Amani Berserker', 'War Golem', 'War Golem', 'Ancient Brewmaster', 'Ancient Brewmaster', 'Murloc Tidehunter', 'Murloc Tidehunter', 'Grimscale Oracle', 'Grimscale Oracle', 'Leper Gnome', 'Leper Gnome', 'Silverback Patriarch', 'Silverback Patriarch', 'Questing Adventurer', 'Questing Adventurer', 'Mad Bomber', 'Mad Bomber', 'Twilight Drake', 'Twilight Drake', 'Dread Corsair', 'Dread Corsair', 'Faerie Dragon', 'Faerie Dragon'])"
8,262.765296459198,29,-23.6616091954023,1.9733333333333334,"([-7.524708813916588, -0.7533773047229113, 1.075451564296261, 5.095051056369578, 14.420600006387971, 11.904290068168715, 7.359712781009255, 19.978079934540503, 10.727092421023825, 12.662279116229291, -1.0752734504740256, -8.149214920019155, -0.043219680579592135, -6.253380671457726, 10.754034129206513, -1.6918603101226637, 4.591668084285786, 4.08819238163624, -6.650874479354151, -10.463687880530504, -1.8339996093627262], ['Ancient Mage', 'Ancient Mage', 'Southsea Captain', 'Southsea Captain', 'Cone of Cold', 'Cone of Cold', 'Amani Berserker', 'Amani Berserker', 'War Golem', 'War Golem', 'Ancient Brewmaster', 'Ancient Brewmaster', 'Murloc Tidehunter', 'Murloc Tidehunter', 'Grimscale Oracle', 'Grimscale Oracle', 'Leper Gnome', 'Leper Gnome', 'Silverback Patriarch', 'Silverback Patriarch', 'Questing Adventurer', 'Questing Adventurer', 'Mad Bomber', 'Mad Bomber', 'Twilight Drake', 'Twilight Drake', 'Dread Corsair', 'Dread Corsair', 'Faerie Dragon', 'Faerie Dragon'])"
9,222.49887490272522,29,-23.6616091954023,1.9733333333333334,"([-7.524708813916588, -0.7533773047229113, 1.075451564296261, 5.095051056369578, 14.420600006387971, 11.904290068168715, 7.359712781009255, 19.978079934540503, 10.727092421023825, 12.662279116229291, -1.0752734504740256, -8.149214920019155, -0.043219680579592135, -6.253380671457726, 10.754034129206513, -1.6918603101226637, 4.591668084285786, 4.08819238163624, -6.650874479354151, -10.463687880530504, -1.8339996093627262], ['Ancient Mage', 'Ancient Mage', 'Southsea Captain', 'Southsea Captain', 'Cone of Cold', 'Cone of Cold', 'Amani Berserker', 'Amani Berserker', 'War Golem', 'War Golem', 'Ancient Brewmaster', 'Ancient Brewmaster', 'Murloc Tidehunter', 'Murloc Tidehunter', 'Grimscale Oracle', 'Grimscale Oracle', 'Leper Gnome', 'Leper Gnome', 'Silverback Patriarch', 'Silverback Patriarch', 'Questing Adventurer', 'Questing Adventurer', 'Mad Bomber', 'Mad Bomber', 'Twilight Drake', 'Twilight Drake', 'Dread Corsair', 'Dread Corsair', 'Faerie Dragon', 'Faerie Dragon'])"
