generation,time_elapsed,population,mean_fitness,best_fitness,best_sample
0,278.0972685813904,69,-25.3762077294686,-5.0,"([-3.85092436194898, -3.522853186417974, -2.807351994432306, 6.531284067091953, -2.299990845679309, 8.901761626168451, -0.2429685715340888, 2.9480101009022164, -4.024478489967695, 2.054600247504876, -2.8607743938403978, 3.0158397164472994, 6.934189718659212, -3.2060599969161903, -8.051542454419652, -4.0374745773985605, -3.368068960821895, 2.9578028429732797, -8.703802865329411, 8.447336277768514, -0.4242573068780491], ['Youthful Brewmaster', 'Youthful Brewmaster', 'Thrallmar Farseer', 'Thrallmar Farseer', 'Mind Control Tech', 'Mind Control Tech', 'Raid Leader', 'Raid Leader', 'Molten Giant', 'Molten Giant', ""Captain's Parrot"", ""Captain's Parrot"", 'Spellbreaker', 'Spellbreaker', 'Frost Nova', 'Frost Nova', ""Sen'jin Shieldmasta"", ""Sen'jin Shieldmasta"", 'Venture Co. Mercenary', 'Venture Co. Mercenary', 'Vaporize', 'Vaporize', 'Argent Squire', 'Argent Squire', 'Amani Berserker', 'Amani Berserker', 'Ironforge Rifleman', 'Ironforge Rifleman', 'Sunfury Protector', 'Sunfury Protector'])"
1,289.0369164943695,110,-24.928030303030305,-5.0,"([-3.85092436194898, -3.522853186417974, -2.807351994432306, 6.531284067091953, -2.299990845679309, 8.901761626168451, -0.2429685715340888, 2.9480101009022164, -4.024478489967695, 2.054600247504876, -2.8607743938403978, 3.0158397164472994, 6.934189718659212, -3.2060599969161903, -8.051542454419652, -4.0374745773985605, -3.368068960821895, 2.9578028429732797, -8.703802865329411, 8.447336277768514, -0.4242573068780491], ['Youthful Brewmaster', 'Youthful Brewmaster', 'Thrallmar Farseer', 'Thrallmar Farseer', 'Mind Control Tech', 'Mind Control Tech', 'Raid Leader', 'Raid Leader', 'Molten Giant', 'Molten Giant', ""Captain's Parrot"", ""Captain's Parrot"", 'Spellbreaker', 'Spellbreaker', 'Frost Nova', 'Frost Nova', ""Sen'jin Shieldmasta"", ""Sen'jin Shieldmasta"", 'Venture Co. Mercenary', 'Venture Co. Mercenary', 'Vaporize', 'Vaporize', 'Argent Squire', 'Argent Squire', 'Amani Berserker', 'Amani Berserker', 'Ironforge Rifleman', 'Ironforge Rifleman', 'Sunfury Protector', 'Sunfury Protector'])"
2,299.8651487827301,164,-24.097052845528456,2.125,"([-6.1773161935342, 3.663711493525966, -9.694795026511136, -4.53327219655506, 8.264390020774101, -7.7308882045518645, 9.897521377761226, 4.458626124692264, -5.495173723090061, -4.268390370252657, -8.418063912832526, 0.9312955490413373, 7.587202358896683, -7.8189332176885795, 3.8155104802651714, -2.9102987085387655, 1.211201992278351, 8.301457042931247, 2.443681710452484, 9.625979517358875, 5.881541593770272], ['Counterspell', 'Counterspell', 'Knife Juggler', 'Knife Juggler', 'Stormwind Champion', 'Stormwind Champion', 'Injured Blademaster', 'Injured Blademaster', 'Ancient Brewmaster', 'Ancient Brewmaster', 'Demolisher', 'Demolisher', 'Faerie Dragon', 'Faerie Dragon', 'Nightblade', 'Nightblade', 'Booty Bay Bodyguard', 'Booty Bay Bodyguard', 'Novice Engineer', 'Novice Engineer', 'War Golem', 'War Golem', 'Hungry Crab', 'Hungry Crab', 'Fireball', 'Fireball', 'Wolfrider', 'Wolfrider', 'Faceless Manipulator', 'Faceless Manipulator'])"
3,364.90381026268005,206,-23.618729773462782,5.291666666666667,"([-6.1773161935342, 3.663711493525966, -9.694795026511136, -4.53327219655506, 8.264390020774101, -7.7308882045518645, 9.897521377761226, 4.458626124692264, -5.495173723090061, -4.268390370252657, -8.418063912832526, 0.9312955490413373, 7.587202358896683, -7.8189332176885795, 3.8155104802651714, -2.9102987085387655, 1.211201992278351, 8.301457042931247, 2.443681710452484, 9.625979517358875, 5.881541593770272], ['Ironforge Rifleman', 'Ironforge Rifleman', 'Knife Juggler', 'Knife Juggler', 'Ancient Brewmaster', 'Ancient Brewmaster', 'Injured Blademaster', 'Injured Blademaster', ""Sen'jin Shieldmasta"", ""Sen'jin Shieldmasta"", 'Demolisher', 'Demolisher', 'Faerie Dragon', 'Faerie Dragon', 'Nightblade', 'Nightblade', 'Booty Bay Bodyguard', 'Booty Bay Bodyguard', 'Novice Engineer', 'Novice Engineer', 'War Golem', 'War Golem', 'Hungry Crab', 'Hungry Crab', 'Fireball', 'Fireball', 'Wolfrider', 'Wolfrider', 'Faceless Manipulator', 'Faceless Manipulator'])"
4,321.3746781349182,243,-23.25034293552812,6.875,"([-6.1773161935342, 3.663711493525966, -9.694795026511136, -4.53327219655506, 8.264390020774101, -7.7308882045518645, 9.897521377761226, 4.458626124692264, -5.495173723090061, -4.268390370252657, -8.418063912832526, 0.9312955490413373, 7.587202358896683, -7.8189332176885795, 3.8155104802651714, -2.9102987085387655, 1.211201992278351, 8.301457042931247, 2.443681710452484, 9.625979517358875, 5.881541593770272], ['Ironforge Rifleman', 'Ironforge Rifleman', 'Knife Juggler', 'Knife Juggler', 'Ancient Brewmaster', 'Ancient Brewmaster', 'Big Game Hunter', 'Big Game Hunter', ""Sen'jin Shieldmasta"", ""Sen'jin Shieldmasta"", 'Demolisher', 'Demolisher', 'Faerie Dragon', 'Faerie Dragon', 'Nightblade', 'Nightblade', 'Booty Bay Bodyguard', 'Booty Bay Bodyguard', 'Novice Engineer', 'Novice Engineer', 'War Golem', 'War Golem', 'Hungry Crab', 'Hungry Crab', 'Fireball', 'Fireball', 'Wolfrider', 'Wolfrider', 'Loot Hoarder', 'Loot Hoarder'])"
5,305.11075019836426,279,-22.74537037037037,6.875,"([-6.1773161935342, 3.663711493525966, -9.694795026511136, -4.53327219655506, 8.264390020774101, -7.7308882045518645, 9.897521377761226, 4.458626124692264, -5.495173723090061, -4.268390370252657, -8.418063912832526, 0.9312955490413373, 7.587202358896683, -7.8189332176885795, 3.8155104802651714, -2.9102987085387655, 1.211201992278351, 8.301457042931247, 2.443681710452484, 9.625979517358875, 5.881541593770272], ['Ironforge Rifleman', 'Ironforge Rifleman', 'Knife Juggler', 'Knife Juggler', 'Ancient Brewmaster', 'Ancient Brewmaster', 'Big Game Hunter', 'Big Game Hunter', ""Sen'jin Shieldmasta"", ""Sen'jin Shieldmasta"", 'Demolisher', 'Demolisher', 'Faerie Dragon', 'Faerie Dragon', 'Nightblade', 'Nightblade', 'Booty Bay Bodyguard', 'Booty Bay Bodyguard', 'Novice Engineer', 'Novice Engineer', 'War Golem', 'War Golem', 'Hungry Crab', 'Hungry Crab', 'Fireball', 'Fireball', 'Wolfrider', 'Wolfrider', 'Loot Hoarder', 'Loot Hoarder'])"
6,250.47388744354248,307,-22.512214983713356,6.875,"([-6.1773161935342, 3.663711493525966, -9.694795026511136, -4.53327219655506, 8.264390020774101, -7.7308882045518645, 9.897521377761226, 4.458626124692264, -5.495173723090061, -4.268390370252657, -8.418063912832526, 0.9312955490413373, 7.587202358896683, -7.8189332176885795, 3.8155104802651714, -2.9102987085387655, 1.211201992278351, 8.301457042931247, 2.443681710452484, 9.625979517358875, 5.881541593770272], ['Ironforge Rifleman', 'Ironforge Rifleman', 'Jungle Panther', 'Jungle Panther', 'Ancient Brewmaster', 'Ancient Brewmaster', 'Big Game Hunter', 'Big Game Hunter', 'Faceless Manipulator', 'Faceless Manipulator', 'Demolisher', 'Demolisher', 'Ironforge Rifleman', 'Ironforge Rifleman', 'Nightblade', 'Nightblade', 'Southsea Deckhand', 'Southsea Deckhand', 'Novice Engineer', 'Novice Engineer', 'War Golem', 'War Golem', 'Hungry Crab', 'Hungry Crab', 'Fireball', 'Fireball', 'Wolfrider', 'Wolfrider', 'Loot Hoarder', 'Loot Hoarder'])"
7,388.3398940563202,329,-22.15438196555218,6.875,"([-6.1773161935342, 3.663711493525966, -9.694795026511136, -4.53327219655506, 8.264390020774101, -7.7308882045518645, 9.897521377761226, 4.458626124692264, -5.495173723090061, -4.268390370252657, -8.418063912832526, 0.9312955490413373, 7.587202358896683, -7.8189332176885795, 3.8155104802651714, -2.9102987085387655, 1.211201992278351, 8.301457042931247, 2.443681710452484, 9.625979517358875, 5.881541593770272], ['Counterspell', 'Counterspell', 'Arcane Golem', 'Arcane Golem', 'Ancient Brewmaster', 'Ancient Brewmaster', 'Big Game Hunter', 'Big Game Hunter', 'Faceless Manipulator', 'Faceless Manipulator', 'Demolisher', 'Demolisher', 'Ironforge Rifleman', 'Ironforge Rifleman', 'Nightblade', 'Nightblade', 'Southsea Deckhand', 'Southsea Deckhand', 'Novice Engineer', 'Novice Engineer', 'War Golem', 'War Golem', 'Hungry Crab', 'Hungry Crab', 'Fireball', 'Fireball', 'Wolfrider', 'Wolfrider', 'Ice Block', 'Ice Block'])"
8,352.9179003238678,356,-21.882022471910112,6.875,"([-6.1773161935342, 3.663711493525966, -9.694795026511136, -4.53327219655506, 8.264390020774101, -7.7308882045518645, 9.897521377761226, 4.458626124692264, -5.495173723090061, -4.268390370252657, -8.418063912832526, 0.9312955490413373, 7.587202358896683, -7.8189332176885795, 3.8155104802651714, -2.9102987085387655, 1.211201992278351, 8.301457042931247, 2.443681710452484, 9.625979517358875, 5.881541593770272], ['Counterspell', 'Counterspell', 'Arcane Golem', 'Arcane Golem', 'Ancient Brewmaster', 'Ancient Brewmaster', 'Big Game Hunter', 'Big Game Hunter', 'Faceless Manipulator', 'Faceless Manipulator', 'Demolisher', 'Demolisher', 'Mana Addict', 'Mana Addict', 'Nightblade', 'Nightblade', 'Southsea Deckhand', 'Southsea Deckhand', 'Novice Engineer', 'Novice Engineer', 'War Golem', 'War Golem', 'Hungry Crab', 'Hungry Crab', 'Fireball', 'Fireball', 'Wolfrider', 'Wolfrider', 'Ice Block', 'Ice Block'])"
9,489.41900539398193,379,-21.154133685136323,11.333333333333334,"([-1.8985764251025046, -2.6407827871765317, -6.452267429071538, -3.9284674000862836, 1.76218005637514, 7.705449240362821, 5.0090518632132675, -1.5768082694185281, -6.820305243493721, -6.037948360942367, -2.0659975102137444, 7.083362629710383, 6.781504810047416, 1.7349258802826721, 2.115936552192508, -2.3085785693663734, -2.0434637673722804, -3.813941398625868, 1.519442631336986, -9.826602596009282, -8.860126955671479], ['Bloodsail Raider', 'Bloodsail Raider', 'Lightwarden', 'Lightwarden', 'Flamestrike', 'Flamestrike', 'Lightwarden', 'Lightwarden', 'Stormpike Commando', 'Stormpike Commando', 'Hungry Crab', 'Hungry Crab', 'Lightwarden', 'Lightwarden', 'Arcane Explosion', 'Arcane Explosion', 'Injured Blademaster', 'Injured Blademaster', 'Emperor Cobra', 'Emperor Cobra', 'Razorfen Hunter', 'Razorfen Hunter', 'Dragonling Mechanic', 'Dragonling Mechanic', 'Defender of Argus', 'Defender of Argus', 'Southsea Captain', 'Southsea Captain', 'Mad Bomber', 'Mad Bomber'])"
