generation,time_elapsed,population,mean_fitness,best_fitness,best_sample
0,250.0028202533722,37,-25.452972972972972,-1.4133333333333333,"([-16.361762467628925, 20.252853666949797, 1.123463849096125, 18.271947660077725, 2.2861213262908224, 6.432817332963649, 16.062110209949367, -5.707614315052292, 7.75637133666194, -6.270008015536846, 11.204066457680566, 1.6670015429263376, -19.126357530771593, 8.557397773874849, -12.375972208948522, 3.3935466049998944, -15.526955654124308, -8.275347945068702, -15.023757375260574, -21.41621814337034, -6.077068759403139], ['Stormwind Champion', 'Stormwind Champion', 'Ice Block', 'Ice Block', 'Frostbolt', 'Frostbolt', 'Big Game Hunter', 'Big Game Hunter', 'Chillwind Yeti', 'Chillwind Yeti', 'Darkscale Healer', 'Darkscale Healer', 'Wild Pyromancer', 'Wild Pyromancer', 'Thrallmar Farseer', 'Thrallmar Farseer', 'Murloc Tidecaller', 'Murloc Tidecaller', 'Arcane Missiles', 'Arcane Missiles', 'Harvest Golem', 'Harvest Golem', 'Fireball', 'Fireball', 'Shattered Sun Cleric', 'Shattered Sun Cleric', 'Master Swordsmith', 'Master Swordsmith', 'Spellbreaker', 'Spellbreaker'])"
1,261.978497505188,55,-24.932121212121213,-1.3866666666666667,"([-16.131722118317644, 19.615712340298206, 1.1931280701994404, 18.073923361842823, 2.0044584672086834, 5.961446693205614, 16.0661616733348, -5.58010879830018, 8.416237544198452, -5.790142132295674, 10.249080352862308, 1.5894069372448452, -19.57361503176136, 9.213196920860753, -12.836918200721215, 2.9646655479151045, -15.711712328073903, -8.489248147807624, -15.034244261788665, -21.009760219163788, -6.2073820314976205], ['Stormwind Champion', 'Stormwind Champion', 'Ice Block', 'Ice Block', 'Frostbolt', 'Frostbolt', 'Big Game Hunter', 'Big Game Hunter', 'Chillwind Yeti', 'Chillwind Yeti', 'Darkscale Healer', 'Darkscale Healer', 'Wild Pyromancer', 'Wild Pyromancer', 'Thrallmar Farseer', 'Thrallmar Farseer', 'Murloc Tidecaller', 'Murloc Tidecaller', 'Arcane Missiles', 'Arcane Missiles', 'Harvest Golem', 'Harvest Golem', 'Fireball', 'Fireball', 'Shattered Sun Cleric', 'Shattered Sun Cleric', 'Master Swordsmith', 'Master Swordsmith', 'Spellbreaker', 'Spellbreaker'])"
2,280.1564965248108,77,-23.685887445887445,4.213333333333334,"([-15.916925130083103, 20.003062225054528, 0.9965486351869548, 18.18356234667799, 2.0653489927894175, 5.732531226217223, 16.168575381135426, -5.641674040620337, 7.947791592237047, -5.503617596004274, 9.659567752154645, 1.1096079000420407, -19.50358905271097, 9.34923427391557, -12.399955901937844, 4.018126333459252, -15.420932326714977, -8.601085348165066, -14.560490515596276, -21.010921782761802, -6.434119995356057], ['Stormwind Champion', 'Stormwind Champion', 'Mana Wyrm', 'Mana Wyrm', 'Frostbolt', 'Frostbolt', 'Big Game Hunter', 'Big Game Hunter', 'Ironbeak Owl', 'Ironbeak Owl', 'Darkscale Healer', 'Darkscale Healer', 'Wild Pyromancer', 'Wild Pyromancer', 'Thrallmar Farseer', 'Thrallmar Farseer', 'Murloc Tidecaller', 'Murloc Tidecaller', 'Arcane Missiles', 'Arcane Missiles', 'Harvest Golem', 'Harvest Golem', 'Fireball', 'Fireball', 'Shattered Sun Cleric', 'Shattered Sun Cleric', 'Master Swordsmith', 'Master Swordsmith', 'Gurubashi Berserker', 'Gurubashi Berserker'])"
3,300.590500831604,97,-22.990378006872852,4.213333333333334,"([-15.916925130083103, 20.003062225054528, 0.9965486351869548, 18.18356234667799, 2.0653489927894175, 5.732531226217223, 16.168575381135426, -5.641674040620337, 7.947791592237047, -5.503617596004274, 9.659567752154645, 1.1096079000420407, -19.50358905271097, 9.34923427391557, -12.399955901937844, 4.018126333459252, -15.420932326714977, -8.601085348165066, -14.560490515596276, -21.010921782761802, -6.434119995356057], ['Stormwind Champion', 'Stormwind Champion', 'Mana Wyrm', 'Mana Wyrm', 'Frostbolt', 'Frostbolt', 'Big Game Hunter', 'Big Game Hunter', 'Ironbeak Owl', 'Ironbeak Owl', 'Darkscale Healer', 'Darkscale Healer', 'Wild Pyromancer', 'Wild Pyromancer', 'Thrallmar Farseer', 'Thrallmar Farseer', 'Murloc Tidecaller', 'Murloc Tidecaller', 'Arcane Missiles', 'Arcane Missiles', 'Harvest Golem', 'Harvest Golem', 'Fireball', 'Fireball', 'Shattered Sun Cleric', 'Shattered Sun Cleric', 'Master Swordsmith', 'Master Swordsmith', 'Gurubashi Berserker', 'Gurubashi Berserker'])"
4,270.18105030059814,110,-22.51430303030303,4.213333333333334,"([-15.916925130083103, 20.003062225054528, 0.9965486351869548, 18.18356234667799, 2.0653489927894175, 5.732531226217223, 16.168575381135426, -5.641674040620337, 7.947791592237047, -5.503617596004274, 9.659567752154645, 1.1096079000420407, -19.50358905271097, 9.34923427391557, -12.399955901937844, 4.018126333459252, -15.420932326714977, -8.601085348165066, -14.560490515596276, -21.010921782761802, -6.434119995356057], ['Razorfen Hunter', 'Razorfen Hunter', 'Mana Wyrm', 'Mana Wyrm', 'Frostbolt', 'Frostbolt', 'Big Game Hunter', 'Big Game Hunter', 'Ironbeak Owl', 'Ironbeak Owl', 'Darkscale Healer', 'Darkscale Healer', 'Wild Pyromancer', 'Wild Pyromancer', 'Thrallmar Farseer', 'Thrallmar Farseer', 'Murloc Tidecaller', 'Murloc Tidecaller', 'Arcane Missiles', 'Arcane Missiles', 'Harvest Golem', 'Harvest Golem', 'Fireball', 'Fireball', 'Frost Nova', 'Frost Nova', 'Master Swordsmith', 'Master Swordsmith', 'Gurubashi Berserker', 'Gurubashi Berserker'])"
5,328.78638339042664,124,-21.851397849462366,4.213333333333334,"([-15.916925130083103, 20.003062225054528, 0.9965486351869548, 18.18356234667799, 2.0653489927894175, 5.732531226217223, 16.168575381135426, -5.641674040620337, 7.947791592237047, -5.503617596004274, 9.659567752154645, 1.1096079000420407, -19.50358905271097, 9.34923427391557, -12.399955901937844, 4.018126333459252, -15.420932326714977, -8.601085348165066, -14.560490515596276, -21.010921782761802, -6.434119995356057], ['Razorfen Hunter', 'Razorfen Hunter', 'Mana Wyrm', 'Mana Wyrm', 'Frostbolt', 'Frostbolt', 'Big Game Hunter', 'Big Game Hunter', 'Ironbeak Owl', 'Ironbeak Owl', 'Darkscale Healer', 'Darkscale Healer', 'Wild Pyromancer', 'Wild Pyromancer', 'Thrallmar Farseer', 'Thrallmar Farseer', 'Murloc Tidecaller', 'Murloc Tidecaller', 'Arcane Missiles', 'Arcane Missiles', 'Harvest Golem', 'Harvest Golem', 'Fireball', 'Fireball', 'Frost Nova', 'Frost Nova', 'Master Swordsmith', 'Master Swordsmith', 'Gurubashi Berserker', 'Gurubashi Berserker'])"
6,257.8298547267914,138,-21.51072463768116,4.213333333333334,"([-15.916925130083103, 20.003062225054528, 0.9965486351869548, 18.18356234667799, 2.0653489927894175, 5.732531226217223, 16.168575381135426, -5.641674040620337, 7.947791592237047, -5.503617596004274, 9.659567752154645, 1.1096079000420407, -19.50358905271097, 9.34923427391557, -12.399955901937844, 4.018126333459252, -15.420932326714977, -8.601085348165066, -14.560490515596276, -21.010921782761802, -6.434119995356057], ['Razorfen Hunter', 'Razorfen Hunter', 'Mana Wyrm', 'Mana Wyrm', 'Stormpike Commando', 'Stormpike Commando', 'Big Game Hunter', 'Big Game Hunter', 'Ironbeak Owl', 'Ironbeak Owl', 'Darkscale Healer', 'Darkscale Healer', 'Wild Pyromancer', 'Wild Pyromancer', 'Thrallmar Farseer', 'Thrallmar Farseer', 'Murloc Tidecaller', 'Murloc Tidecaller', 'Arcane Missiles', 'Arcane Missiles', 'Harvest Golem', 'Harvest Golem', 'Fireball', 'Fireball', 'Frost Nova', 'Frost Nova', 'Master Swordsmith', 'Master Swordsmith', 'Gurubashi Berserker', 'Gurubashi Berserker'])"
7,340.7167649269104,159,-21.013249475890987,4.213333333333334,"([-15.916925130083103, 20.003062225054528, 0.9965486351869548, 18.18356234667799, 2.0653489927894175, 5.732531226217223, 16.168575381135426, -5.641674040620337, 7.947791592237047, -5.503617596004274, 9.659567752154645, 1.1096079000420407, -19.50358905271097, 9.34923427391557, -12.399955901937844, 4.018126333459252, -15.420932326714977, -8.601085348165066, -14.560490515596276, -21.010921782761802, -6.434119995356057], ['Razorfen Hunter', 'Razorfen Hunter', 'Mana Wyrm', 'Mana Wyrm', 'Stormpike Commando', 'Stormpike Commando', 'Big Game Hunter', 'Big Game Hunter', 'Ironbeak Owl', 'Ironbeak Owl', 'Darkscale Healer', 'Darkscale Healer', 'Wild Pyromancer', 'Wild Pyromancer', 'Thrallmar Farseer', 'Thrallmar Farseer', 'Murloc Tidecaller', 'Murloc Tidecaller', 'Arcane Missiles', 'Arcane Missiles', 'Harvest Golem', 'Harvest Golem', 'Fireball', 'Fireball', 'Frost Nova', 'Frost Nova', 'Master Swordsmith', 'Master Swordsmith', 'Gurubashi Berserker', 'Gurubashi Berserker'])"
8,319.5656614303589,180,-20.65851851851852,4.213333333333334,"([-15.916925130083103, 20.003062225054528, 0.9965486351869548, 18.18356234667799, 2.0653489927894175, 5.732531226217223, 16.168575381135426, -5.641674040620337, 7.947791592237047, -5.503617596004274, 9.659567752154645, 1.1096079000420407, -19.50358905271097, 9.34923427391557, -12.399955901937844, 4.018126333459252, -15.420932326714977, -8.601085348165066, -14.560490515596276, -21.010921782761802, -6.434119995356057], ['Razorfen Hunter', 'Razorfen Hunter', 'Mana Wyrm', 'Mana Wyrm', 'Stormpike Commando', 'Stormpike Commando', 'Big Game Hunter', 'Big Game Hunter', 'Ironbeak Owl', 'Ironbeak Owl', 'Darkscale Healer', 'Darkscale Healer', 'Wild Pyromancer', 'Wild Pyromancer', 'Thrallmar Farseer', 'Thrallmar Farseer', 'Murloc Tidecaller', 'Murloc Tidecaller', 'Arcane Missiles', 'Arcane Missiles', 'Harvest Golem', 'Harvest Golem', 'Fireball', 'Fireball', 'Frost Nova', 'Frost Nova', 'Silverback Patriarch', 'Silverback Patriarch', 'Gurubashi Berserker', 'Gurubashi Berserker'])"
9,395.6360991001129,198,-20.396632996632995,4.213333333333334,"([-15.916925130083103, 20.003062225054528, 0.9965486351869548, 18.18356234667799, 2.0653489927894175, 5.732531226217223, 16.168575381135426, -5.641674040620337, 7.947791592237047, -5.503617596004274, 9.659567752154645, 1.1096079000420407, -19.50358905271097, 9.34923427391557, -12.399955901937844, 4.018126333459252, -15.420932326714977, -8.601085348165066, -14.560490515596276, -21.010921782761802, -6.434119995356057], ['Razorfen Hunter', 'Razorfen Hunter', 'Mana Wyrm', 'Mana Wyrm', 'Stormpike Commando', 'Stormpike Commando', 'Big Game Hunter', 'Big Game Hunter', 'Ironbeak Owl', 'Ironbeak Owl', 'Darkscale Healer', 'Darkscale Healer', 'Wild Pyromancer', 'Wild Pyromancer', 'Thrallmar Farseer', 'Thrallmar Farseer', 'Murloc Tidecaller', 'Murloc Tidecaller', 'Arcane Missiles', 'Arcane Missiles', 'Harvest Golem', 'Harvest Golem', 'Fireball', 'Fireball', 'Frost Nova', 'Frost Nova', 'Silverback Patriarch', 'Silverback Patriarch', 'Gurubashi Berserker', 'Gurubashi Berserker'])"
