generation,time_elapsed,population,mean_fitness,best_fitness,best_sample
0,255.0584683418274,31,-19.287741935483872,3.6,"([-20.46833320111857, -21.21763153174619, 8.585228477909292, 12.295777238901689, -11.011162997703144, 4.093687779359613, 8.647791435405937, 2.012987830590937, 4.745397626775941, -9.873262463803544, -10.798461717898514, 4.887545255098041, -9.589018059622335, 1.8562249025029618, 9.468265431704078, 3.7657213225633908, 9.281537883685882, 1.5283546677040245, -17.192466319615903, -11.901348257952183, -13.15057762995731], ['Azure Drake', 'Azure Drake', 'Elven Archer', 'Elven Archer', 'Hungry Crab', 'Hungry Crab', 'Worgen Infiltrator', 'Worgen Infiltrator', 'Kobold Geomancer', 'Kobold Geomancer', 'Bloodsail Raider', 'Bloodsail Raider', 'Ironfur Grizzly', 'Ironfur Grizzly', 'Earthen Ring Farseer', 'Earthen Ring Farseer', 'Goldshire Footman', 'Goldshire Footman', 'Voodoo Doctor', 'Voodoo Doctor', 'Southsea Captain', 'Southsea Captain', 'Cleave', 'Cleave', 'Tauren Warrior', 'Tauren Warrior', 'Chillwind Yeti', 'Chillwind Yeti', 'Acolyte of Pain', 'Acolyte of Pain'])"
1,265.85359025001526,52,-18.826410256410256,3.6,"([-20.46833320111857, -21.21763153174619, 8.585228477909292, 12.295777238901689, -11.011162997703144, 4.093687779359613, 8.647791435405937, 2.012987830590937, 4.745397626775941, -9.873262463803544, -10.798461717898514, 4.887545255098041, -9.589018059622335, 1.8562249025029618, 9.468265431704078, 3.7657213225633908, 9.281537883685882, 1.5283546677040245, -17.192466319615903, -11.901348257952183, -13.15057762995731], ['Azure Drake', 'Azure Drake', 'Elven Archer', 'Elven Archer', 'Hungry Crab', 'Hungry Crab', 'Worgen Infiltrator', 'Worgen Infiltrator', 'Kobold Geomancer', 'Kobold Geomancer', 'Bloodsail Raider', 'Bloodsail Raider', 'Ironfur Grizzly', 'Ironfur Grizzly', 'Earthen Ring Farseer', 'Earthen Ring Farseer', 'Goldshire Footman', 'Goldshire Footman', 'Voodoo Doctor', 'Voodoo Doctor', 'Mind Control Tech', 'Mind Control Tech', 'War Golem', 'War Golem', 'Tauren Warrior', 'Tauren Warrior', 'Chillwind Yeti', 'Chillwind Yeti', 'Acolyte of Pain', 'Acolyte of Pain'])"
2,390.3693103790283,74,-18.30108108108108,3.6,"([-20.46833320111857, -21.21763153174619, 8.585228477909292, 12.295777238901689, -11.011162997703144, 4.093687779359613, 8.647791435405937, 2.012987830590937, 4.745397626775941, -9.873262463803544, -10.798461717898514, 4.887545255098041, -9.589018059622335, 1.8562249025029618, 9.468265431704078, 3.7657213225633908, 9.281537883685882, 1.5283546677040245, -17.192466319615903, -11.901348257952183, -13.15057762995731], ['Azure Drake', 'Azure Drake', 'Elven Archer', 'Elven Archer', 'Hungry Crab', 'Hungry Crab', 'Defender of Argus', 'Defender of Argus', 'Kobold Geomancer', 'Kobold Geomancer', 'Bloodsail Raider', 'Bloodsail Raider', 'Ironfur Grizzly', 'Ironfur Grizzly', 'Earthen Ring Farseer', 'Earthen Ring Farseer', 'Goldshire Footman', 'Goldshire Footman', 'Voodoo Doctor', 'Voodoo Doctor', 'Mind Control Tech', 'Mind Control Tech', 'War Golem', 'War Golem', 'Tauren Warrior', 'Tauren Warrior', 'Chillwind Yeti', 'Chillwind Yeti', 'Acolyte of Pain', 'Acolyte of Pain'])"
3,330.48738980293274,92,-17.959710144927538,3.6,"([-20.46833320111857, -21.21763153174619, 8.585228477909292, 12.295777238901689, -11.011162997703144, 4.093687779359613, 8.647791435405937, 2.012987830590937, 4.745397626775941, -9.873262463803544, -10.798461717898514, 4.887545255098041, -9.589018059622335, 1.8562249025029618, 9.468265431704078, 3.7657213225633908, 9.281537883685882, 1.5283546677040245, -17.192466319615903, -11.901348257952183, -13.15057762995731], ['Azure Drake', 'Azure Drake', ""Kor'kron Elite"", ""Kor'kron Elite"", 'Hungry Crab', 'Hungry Crab', 'Defender of Argus', 'Defender of Argus', 'Kobold Geomancer', 'Kobold Geomancer', 'Bloodsail Raider', 'Bloodsail Raider', 'Ironfur Grizzly', 'Ironfur Grizzly', 'Earthen Ring Farseer', 'Earthen Ring Farseer', 'Goldshire Footman', 'Goldshire Footman', 'Voodoo Doctor', 'Voodoo Doctor', 'Mind Control Tech', 'Mind Control Tech', 'War Golem', 'War Golem', 'Tauren Warrior', 'Tauren Warrior', 'Chillwind Yeti', 'Chillwind Yeti', 'Acolyte of Pain', 'Acolyte of Pain'])"
4,306.7462134361267,115,-17.260289855072465,3.6,"([-20.46833320111857, -21.21763153174619, 8.585228477909292, 12.295777238901689, -11.011162997703144, 4.093687779359613, 8.647791435405937, 2.012987830590937, 4.745397626775941, -9.873262463803544, -10.798461717898514, 4.887545255098041, -9.589018059622335, 1.8562249025029618, 9.468265431704078, 3.7657213225633908, 9.281537883685882, 1.5283546677040245, -17.192466319615903, -11.901348257952183, -13.15057762995731], ['Azure Drake', 'Azure Drake', ""Kor'kron Elite"", ""Kor'kron Elite"", 'Hungry Crab', 'Hungry Crab', 'Spiteful Smith', 'Spiteful Smith', 'Murloc Warleader', 'Murloc Warleader', 'Bloodsail Raider', 'Bloodsail Raider', 'Ironfur Grizzly', 'Ironfur Grizzly', 'Earthen Ring Farseer', 'Earthen Ring Farseer', 'Goldshire Footman', 'Goldshire Footman', 'Voodoo Doctor', 'Voodoo Doctor', 'Mind Control Tech', 'Mind Control Tech', 'War Golem', 'War Golem', 'Tauren Warrior', 'Tauren Warrior', 'Chillwind Yeti', 'Chillwind Yeti', 'Acolyte of Pain', 'Acolyte of Pain'])"
5,304.35467743873596,133,-17.91498746867168,3.6,"([-20.46833320111857, -21.21763153174619, 8.585228477909292, 12.295777238901689, -11.011162997703144, 4.093687779359613, 8.647791435405937, 2.012987830590937, 4.745397626775941, -9.873262463803544, -10.798461717898514, 4.887545255098041, -9.589018059622335, 1.8562249025029618, 9.468265431704078, 3.7657213225633908, 9.281537883685882, 1.5283546677040245, -17.192466319615903, -11.901348257952183, -13.15057762995731], ['Azure Drake', 'Azure Drake', ""Kor'kron Elite"", ""Kor'kron Elite"", ""Kor'kron Elite"", ""Kor'kron Elite"", 'Spiteful Smith', 'Spiteful Smith', 'Murloc Warleader', 'Murloc Warleader', ""Captain's Parrot"", ""Captain's Parrot"", 'Ironfur Grizzly', 'Ironfur Grizzly', 'Earthen Ring Farseer', 'Earthen Ring Farseer', 'Dread Corsair', 'Dread Corsair', 'Scarlet Crusader', 'Scarlet Crusader', 'Mind Control Tech', 'Mind Control Tech', 'War Golem', 'War Golem', 'Tauren Warrior', 'Tauren Warrior', 'Chillwind Yeti', 'Chillwind Yeti', 'Acolyte of Pain', 'Acolyte of Pain'])"
6,329.49919271469116,154,-18.024415584415586,3.6,"([-20.46833320111857, -21.21763153174619, 8.585228477909292, 12.295777238901689, -11.011162997703144, 4.093687779359613, 8.647791435405937, 2.012987830590937, 4.745397626775941, -9.873262463803544, -10.798461717898514, 4.887545255098041, -9.589018059622335, 1.8562249025029618, 9.468265431704078, 3.7657213225633908, 9.281537883685882, 1.5283546677040245, -17.192466319615903, -11.901348257952183, -13.15057762995731], ['Azure Drake', 'Azure Drake', ""Kor'kron Elite"", ""Kor'kron Elite"", ""Kor'kron Elite"", ""Kor'kron Elite"", 'Spiteful Smith', 'Spiteful Smith', 'Murloc Warleader', 'Murloc Warleader', ""Captain's Parrot"", ""Captain's Parrot"", 'Ironfur Grizzly', 'Ironfur Grizzly', 'Earthen Ring Farseer', 'Earthen Ring Farseer', 'Dread Corsair', 'Dread Corsair', 'Scarlet Crusader', 'Scarlet Crusader', 'Silverback Patriarch', 'Silverback Patriarch', 'War Golem', 'War Golem', 'Tauren Warrior', 'Tauren Warrior', 'Chillwind Yeti', 'Chillwind Yeti', 'Acolyte of Pain', 'Acolyte of Pain'])"
7,335.31155943870544,173,-18.077456647398844,3.6,"([-20.46833320111857, -21.21763153174619, 8.585228477909292, 12.295777238901689, -11.011162997703144, 4.093687779359613, 8.647791435405937, 2.012987830590937, 4.745397626775941, -9.873262463803544, -10.798461717898514, 4.887545255098041, -9.589018059622335, 1.8562249025029618, 9.468265431704078, 3.7657213225633908, 9.281537883685882, 1.5283546677040245, -17.192466319615903, -11.901348257952183, -13.15057762995731], ['Azure Drake', 'Azure Drake', ""Kor'kron Elite"", ""Kor'kron Elite"", ""Kor'kron Elite"", ""Kor'kron Elite"", 'Spiteful Smith', 'Spiteful Smith', 'Murloc Warleader', 'Murloc Warleader', ""Captain's Parrot"", ""Captain's Parrot"", 'Ironfur Grizzly', 'Ironfur Grizzly', 'Earthen Ring Farseer', 'Earthen Ring Farseer', 'Dread Corsair', 'Dread Corsair', 'Scarlet Crusader', 'Scarlet Crusader', 'Silverback Patriarch', 'Silverback Patriarch', 'War Golem', 'War Golem', 'Tauren Warrior', 'Tauren Warrior', 'Commanding Shout', 'Commanding Shout', 'Acolyte of Pain', 'Acolyte of Pain'])"
8,295.97040724754333,192,-17.636111111111113,3.6,"([-20.46833320111857, -21.21763153174619, 8.585228477909292, 12.295777238901689, -11.011162997703144, 4.093687779359613, 8.647791435405937, 2.012987830590937, 4.745397626775941, -9.873262463803544, -10.798461717898514, 4.887545255098041, -9.589018059622335, 1.8562249025029618, 9.468265431704078, 3.7657213225633908, 9.281537883685882, 1.5283546677040245, -17.192466319615903, -11.901348257952183, -13.15057762995731], ['Azure Drake', 'Azure Drake', ""Kor'kron Elite"", ""Kor'kron Elite"", ""Kor'kron Elite"", ""Kor'kron Elite"", 'Oasis Snapjaw', 'Oasis Snapjaw', 'Murloc Warleader', 'Murloc Warleader', ""Captain's Parrot"", ""Captain's Parrot"", 'Ironfur Grizzly', 'Ironfur Grizzly', 'Earthen Ring Farseer', 'Earthen Ring Farseer', 'Young Priestess', 'Young Priestess', 'Scarlet Crusader', 'Scarlet Crusader', 'Silverback Patriarch', 'Silverback Patriarch', 'War Golem', 'War Golem', 'Tauren Warrior', 'Tauren Warrior', 'Commanding Shout', 'Commanding Shout', 'Acolyte of Pain', 'Acolyte of Pain'])"
9,276.62830901145935,208,-17.09032051282051,3.6,"([-20.46833320111857, -21.21763153174619, 8.585228477909292, 12.295777238901689, -11.011162997703144, 4.093687779359613, 8.647791435405937, 2.012987830590937, 4.745397626775941, -9.873262463803544, -10.798461717898514, 4.887545255098041, -9.589018059622335, 1.8562249025029618, 9.468265431704078, 3.7657213225633908, 9.281537883685882, 1.5283546677040245, -17.192466319615903, -11.901348257952183, -13.15057762995731], ['Silvermoon Guardian', 'Silvermoon Guardian', ""Kor'kron Elite"", ""Kor'kron Elite"", ""Kor'kron Elite"", ""Kor'kron Elite"", 'Oasis Snapjaw', 'Oasis Snapjaw', 'Murloc Warleader', 'Murloc Warleader', ""Captain's Parrot"", ""Captain's Parrot"", 'Ironfur Grizzly', 'Ironfur Grizzly', 'Stranglethorn Tiger', 'Stranglethorn Tiger', 'Young Priestess', 'Young Priestess', 'Scarlet Crusader', 'Scarlet Crusader', 'Silverback Patriarch', 'Silverback Patriarch', 'Ironforge Rifleman', 'Ironforge Rifleman', 'Tauren Warrior', 'Tauren Warrior', 'Stormpike Commando', 'Stormpike Commando', 'Imp Master', 'Imp Master'])"
