generation,time_elapsed,population,mean_fitness,best_fitness,best_sample
0,642.7650773525238,31,-17.83440860215054,7.173333333333334,"([-1.8379819017957184, -9.758776375705951, -8.508439176448762, 0.9162956192269762, 4.419137664997439, 0.7893364086671513, 18.499799530559937, 6.3921445362841665, 5.993817291424231, -8.867571410506907, -14.450834093385172, -3.9040304098135437, -2.413708039800991, -16.586893998547, 13.151880323755806, 11.061480783806342, -1.2494530027000543, 4.596252089759323, -1.3066003718363661, -1.6893371998360884, 11.18531569438372], ['Angry Chicken', 'Angry Chicken', 'Bloodsail Corsair', 'Bloodsail Corsair', 'Big Game Hunter', 'Big Game Hunter', 'Fiery War Axe', 'Fiery War Axe', 'Bluegill Warrior', 'Bluegill Warrior', 'Stormpike Commando', 'Stormpike Commando', 'Wisp', 'Wisp', 'Silver Hand Knight', 'Silver Hand Knight', 'Faceless Manipulator', 'Faceless Manipulator', 'Southsea Captain', 'Southsea Captain', 'Ironbeak Owl', 'Ironbeak Owl', 'Reckless Rocketeer', 'Reckless Rocketeer', 'Arcane Golem', 'Arcane Golem', 'Battle Rage', 'Battle Rage', 'Mogushan Warden', 'Mogushan Warden'])"
1,534.0047085285187,52,-16.998461538461537,7.173333333333334,"([-1.8379819017957184, -9.758776375705951, -8.508439176448762, 0.9162956192269762, 4.419137664997439, 0.7893364086671513, 18.499799530559937, 6.3921445362841665, 5.993817291424231, -8.867571410506907, -14.450834093385172, -3.9040304098135437, -2.413708039800991, -16.586893998547, 13.151880323755806, 11.061480783806342, -1.2494530027000543, 4.596252089759323, -1.3066003718363661, -1.6893371998360884, 11.18531569438372], ['Boulderfist Ogre', 'Boulderfist Ogre', 'Twilight Drake', 'Twilight Drake', 'Big Game Hunter', 'Big Game Hunter', 'Fiery War Axe', 'Fiery War Axe', 'Bluegill Warrior', 'Bluegill Warrior', 'Stormpike Commando', 'Stormpike Commando', 'Wisp', 'Wisp', 'Silver Hand Knight', 'Silver Hand Knight', 'Faceless Manipulator', 'Faceless Manipulator', 'Southsea Captain', 'Southsea Captain', 'Ironbeak Owl', 'Ironbeak Owl', 'Reckless Rocketeer', 'Reckless Rocketeer', 'Arcane Golem', 'Arcane Golem', 'Battle Rage', 'Battle Rage', 'Mogushan Warden', 'Mogushan Warden'])"
2,311.2495758533478,75,-15.980622222222221,7.173333333333334,"([-1.8379819017957184, -9.758776375705951, -8.508439176448762, 0.9162956192269762, 4.419137664997439, 0.7893364086671513, 18.499799530559937, 6.3921445362841665, 5.993817291424231, -8.867571410506907, -14.450834093385172, -3.9040304098135437, -2.413708039800991, -16.586893998547, 13.151880323755806, 11.061480783806342, -1.2494530027000543, 4.596252089759323, -1.3066003718363661, -1.6893371998360884, 11.18531569438372], ['Boulderfist Ogre', 'Boulderfist Ogre', 'Twilight Drake', 'Twilight Drake', 'Big Game Hunter', 'Big Game Hunter', 'Fiery War Axe', 'Fiery War Axe', 'Bluegill Warrior', 'Bluegill Warrior', 'Stormpike Commando', 'Stormpike Commando', 'Wisp', 'Wisp', 'Silver Hand Knight', 'Silver Hand Knight', ""Captain's Parrot"", ""Captain's Parrot"", 'Southsea Captain', 'Southsea Captain', 'Ironbeak Owl', 'Ironbeak Owl', 'Reckless Rocketeer', 'Reckless Rocketeer', 'Arcane Golem', 'Arcane Golem', 'Battle Rage', 'Battle Rage', 'Mogushan Warden', 'Mogushan Warden'])"
3,479.0071086883545,102,-15.309019607843137,7.226666666666667,"([-1.0539586705804445, -8.962803410973729, -7.900612244417956, 1.25407615724101, 4.758192841553248, -0.1965646808136089, 18.756274808849057, 6.642916666393757, 5.977200201826015, -8.29771433617967, -14.154489699207147, -2.421123244738168, -2.025293136512941, -16.381044316623672, 11.969286030212263, 10.251893089913372, -2.8844775951968593, 3.777872695166661, 0.017569690660338533, -1.4865053008544467, 10.583526035103562], ['Boulderfist Ogre', 'Boulderfist Ogre', 'Twilight Drake', 'Twilight Drake', 'Big Game Hunter', 'Big Game Hunter', 'Elven Archer', 'Elven Archer', 'Bluegill Warrior', 'Bluegill Warrior', 'Stormpike Commando', 'Stormpike Commando', 'Wisp', 'Wisp', 'Silver Hand Knight', 'Silver Hand Knight', ""Captain's Parrot"", ""Captain's Parrot"", 'Southsea Captain', 'Southsea Captain', 'Ironbeak Owl', 'Ironbeak Owl', 'Reckless Rocketeer', 'Reckless Rocketeer', 'Arcane Golem', 'Arcane Golem', 'Battle Rage', 'Battle Rage', 'Mogushan Warden', 'Mogushan Warden'])"
4,382.9800293445587,123,-15.108184281842819,7.226666666666667,"([-1.0539586705804445, -8.962803410973729, -7.900612244417956, 1.25407615724101, 4.758192841553248, -0.1965646808136089, 18.756274808849057, 6.642916666393757, 5.977200201826015, -8.29771433617967, -14.154489699207147, -2.421123244738168, -2.025293136512941, -16.381044316623672, 11.969286030212263, 10.251893089913372, -2.8844775951968593, 3.777872695166661, 0.017569690660338533, -1.4865053008544467, 10.583526035103562], ['Boulderfist Ogre', 'Boulderfist Ogre', 'Alarm-o-Bot', 'Alarm-o-Bot', 'Big Game Hunter', 'Big Game Hunter', 'Elven Archer', 'Elven Archer', 'Bluegill Warrior', 'Bluegill Warrior', 'Gnomish Inventor', 'Gnomish Inventor', 'Wisp', 'Wisp', 'Silver Hand Knight', 'Silver Hand Knight', ""Captain's Parrot"", ""Captain's Parrot"", 'Southsea Captain', 'Southsea Captain', 'Murloc Tidehunter', 'Murloc Tidehunter', 'Reckless Rocketeer', 'Reckless Rocketeer', 'Arcane Golem', 'Arcane Golem', 'Battle Rage', 'Battle Rage', 'Mogushan Warden', 'Mogushan Warden'])"
5,324.1981258392334,142,-14.755399061032863,8.173333333333334,"([-1.474181851095128, -8.945980391755077, -8.408803076410742, 0.9883913585496771, 4.877395985980022, -0.11774305460425616, 18.088481937381623, 7.745085684418618, 4.656498760593478, -8.834741202332912, -14.705529571610418, -4.097870207996214, -3.843251343856021, -15.734768281251162, 12.268907391846382, 10.697617990236427, -2.277365103601268, 4.381010468245264, -1.6671018030362552, -2.7158805077337083, 11.408083497392107], ['Boulderfist Ogre', 'Boulderfist Ogre', 'Flesheating Ghoul', 'Flesheating Ghoul', 'Big Game Hunter', 'Big Game Hunter', 'Elven Archer', 'Elven Archer', 'Bluegill Warrior', 'Bluegill Warrior', 'Gnomish Inventor', 'Gnomish Inventor', 'Wisp', 'Wisp', 'Silver Hand Knight', 'Silver Hand Knight', ""Captain's Parrot"", ""Captain's Parrot"", 'Southsea Captain', 'Southsea Captain', 'Murloc Tidehunter', 'Murloc Tidehunter', 'Reckless Rocketeer', 'Reckless Rocketeer', 'Arcane Golem', 'Arcane Golem', 'Battle Rage', 'Battle Rage', 'Mogushan Warden', 'Mogushan Warden'])"
6,571.0116267204285,161,-14.606790890269151,8.173333333333334,"([-1.474181851095128, -8.945980391755077, -8.408803076410742, 0.9883913585496771, 4.877395985980022, -0.11774305460425616, 18.088481937381623, 7.745085684418618, 4.656498760593478, -8.834741202332912, -14.705529571610418, -4.097870207996214, -3.843251343856021, -15.734768281251162, 12.268907391846382, 10.697617990236427, -2.277365103601268, 4.381010468245264, -1.6671018030362552, -2.7158805077337083, 11.408083497392107], ['Boulderfist Ogre', 'Boulderfist Ogre', 'Flesheating Ghoul', 'Flesheating Ghoul', 'Big Game Hunter', 'Big Game Hunter', 'Elven Archer', 'Elven Archer', 'Bluegill Warrior', 'Bluegill Warrior', 'Gnomish Inventor', 'Gnomish Inventor', 'Wisp', 'Wisp', 'Silver Hand Knight', 'Silver Hand Knight', ""Captain's Parrot"", ""Captain's Parrot"", 'Southsea Captain', 'Southsea Captain', 'Murloc Tidehunter', 'Murloc Tidehunter', 'Reckless Rocketeer', 'Reckless Rocketeer', 'Arcane Golem', 'Arcane Golem', 'Battle Rage', 'Battle Rage', 'Mortal Strike', 'Mortal Strike'])"
7,473.9139542579651,180,-14.765185185185185,8.36,"([-1.5422393182625314, -8.750395254713743, -7.513804300673672, 0.49633007153582476, 5.333017817792965, 0.24942903187476761, 18.271928721109852, 6.02107150286026, 7.0277446882190935, -7.9526593779081445, -14.05976621449055, -3.90306662640614, -1.8116704840185573, -16.99583021978478, 12.441181435069039, 11.765002810653176, -1.3707993518886643, 4.317528669324665, -0.4632333451859781, -1.6450037937294852, 11.127213469852398], ['Boulderfist Ogre', 'Boulderfist Ogre', 'Flesheating Ghoul', 'Flesheating Ghoul', 'Big Game Hunter', 'Big Game Hunter', 'Elven Archer', 'Elven Archer', 'Bluegill Warrior', 'Bluegill Warrior', 'Gnomish Inventor', 'Gnomish Inventor', 'Wisp', 'Wisp', 'Silver Hand Knight', 'Silver Hand Knight', ""Captain's Parrot"", ""Captain's Parrot"", 'Southsea Captain', 'Southsea Captain', 'Murloc Tidehunter', 'Murloc Tidehunter', 'Reckless Rocketeer', 'Reckless Rocketeer', 'Arcane Golem', 'Arcane Golem', 'Battle Rage', 'Battle Rage', 'Mortal Strike', 'Mortal Strike'])"
8,410.24174427986145,195,-14.38071794871795,8.36,"([-1.5422393182625314, -8.750395254713743, -7.513804300673672, 0.49633007153582476, 5.333017817792965, 0.24942903187476761, 18.271928721109852, 6.02107150286026, 7.0277446882190935, -7.9526593779081445, -14.05976621449055, -3.90306662640614, -1.8116704840185573, -16.99583021978478, 12.441181435069039, 11.765002810653176, -1.3707993518886643, 4.317528669324665, -0.4632333451859781, -1.6450037937294852, 11.127213469852398], ['Boulderfist Ogre', 'Boulderfist Ogre', 'Flesheating Ghoul', 'Flesheating Ghoul', 'Big Game Hunter', 'Big Game Hunter', 'Acolyte of Pain', 'Acolyte of Pain', 'Bluegill Warrior', 'Bluegill Warrior', 'Gnomish Inventor', 'Gnomish Inventor', 'Wisp', 'Wisp', 'Silver Hand Knight', 'Silver Hand Knight', ""Captain's Parrot"", ""Captain's Parrot"", 'Southsea Captain', 'Southsea Captain', 'Murloc Tidehunter', 'Murloc Tidehunter', 'Reckless Rocketeer', 'Reckless Rocketeer', 'Arcane Golem', 'Arcane Golem', 'Battle Rage', 'Battle Rage', 'Mortal Strike', 'Mortal Strike'])"
9,580.3708126544952,211,-14.008783570300158,8.36,"([-1.5422393182625314, -8.750395254713743, -7.513804300673672, 0.49633007153582476, 5.333017817792965, 0.24942903187476761, 18.271928721109852, 6.02107150286026, 7.0277446882190935, -7.9526593779081445, -14.05976621449055, -3.90306662640614, -1.8116704840185573, -16.99583021978478, 12.441181435069039, 11.765002810653176, -1.3707993518886643, 4.317528669324665, -0.4632333451859781, -1.6450037937294852, 11.127213469852398], ['Boulderfist Ogre', 'Boulderfist Ogre', 'Flesheating Ghoul', 'Flesheating Ghoul', 'Stonetusk Boar', 'Stonetusk Boar', 'Acolyte of Pain', 'Acolyte of Pain', 'Dread Corsair', 'Dread Corsair', 'Gnomish Inventor', 'Gnomish Inventor', 'Wisp', 'Wisp', 'Silver Hand Knight', 'Silver Hand Knight', ""Captain's Parrot"", ""Captain's Parrot"", 'Southsea Captain', 'Southsea Captain', 'Murloc Tidehunter', 'Murloc Tidehunter', 'Reckless Rocketeer', 'Reckless Rocketeer', 'Arcane Golem', 'Arcane Golem', 'Battle Rage', 'Battle Rage', 'Mortal Strike', 'Mortal Strike'])"
