generation,time_elapsed,population,mean_fitness,best_fitness,best_sample
0,254.71162366867065,46,-25.161684782608695,-7.041666666666667,"([8.32981791132972, -5.5143314735866085, -17.46902761131951, 4.0512433069751825, -17.760321197126306, 12.709512273507046, 6.455634817415295, 11.472906669086562, -20.226322432443887, -1.2983369772951794, 1.1464511535838084, 9.376164561065867, 9.80684758031743, -1.8182286908905558, -0.9384215018528106, -10.58453804431414, 1.2173329605494285, -0.9955017778402342, -8.417665534495018, -1.9196472609409692, 7.494324023929579], ['War Golem', 'War Golem', 'Vaporize', 'Vaporize', 'Shieldbearer', 'Shieldbearer', 'Crazed Alchemist', 'Crazed Alchemist', 'Thrallmar Farseer', 'Thrallmar Farseer', 'Elven Archer', 'Elven Archer', 'Silvermoon Guardian', 'Silvermoon Guardian', 'Archmage', 'Archmage', ""Captain's Parrot"", ""Captain's Parrot"", 'Gadgetzan Auctioneer', 'Gadgetzan Auctioneer', 'Goldshire Footman', 'Goldshire Footman', 'Stormwind Knight', 'Stormwind Knight', 'Lord of the Arena', 'Lord of the Arena', 'Spellbreaker', 'Spellbreaker', ""Sorcerer's Apprentice"", ""Sorcerer's Apprentice""])"
1,232.56547617912292,71,-24.614730046948356,-5.208333333333333,"([8.32981791132972, -5.5143314735866085, -17.46902761131951, 4.0512433069751825, -17.760321197126306, 12.709512273507046, 6.455634817415295, 11.472906669086562, -20.226322432443887, -1.2983369772951794, 1.1464511535838084, 9.376164561065867, 9.80684758031743, -1.8182286908905558, -0.9384215018528106, -10.58453804431414, 1.2173329605494285, -0.9955017778402342, -8.417665534495018, -1.9196472609409692, 7.494324023929579], ['War Golem', 'War Golem', 'Vaporize', 'Vaporize', 'Shieldbearer', 'Shieldbearer', 'Crazed Alchemist', 'Crazed Alchemist', 'Thrallmar Farseer', 'Thrallmar Farseer', 'Elven Archer', 'Elven Archer', 'Silvermoon Guardian', 'Silvermoon Guardian', 'Archmage', 'Archmage', ""Captain's Parrot"", ""Captain's Parrot"", 'Gadgetzan Auctioneer', 'Gadgetzan Auctioneer', 'Goldshire Footman', 'Goldshire Footman', 'Stormwind Knight', 'Stormwind Knight', 'Lord of the Arena', 'Lord of the Arena', 'Spellbreaker', 'Spellbreaker', ""Sorcerer's Apprentice"", ""Sorcerer's Apprentice""])"
2,327.7900092601776,101,-24.084983498349835,-5.208333333333333,"([8.32981791132972, -5.5143314735866085, -17.46902761131951, 4.0512433069751825, -17.760321197126306, 12.709512273507046, 6.455634817415295, 11.472906669086562, -20.226322432443887, -1.2983369772951794, 1.1464511535838084, 9.376164561065867, 9.80684758031743, -1.8182286908905558, -0.9384215018528106, -10.58453804431414, 1.2173329605494285, -0.9955017778402342, -8.417665534495018, -1.9196472609409692, 7.494324023929579], ['War Golem', 'War Golem', 'Vaporize', 'Vaporize', 'Shieldbearer', 'Shieldbearer', 'Crazed Alchemist', 'Crazed Alchemist', 'Thrallmar Farseer', 'Thrallmar Farseer', 'Elven Archer', 'Elven Archer', 'Silvermoon Guardian', 'Silvermoon Guardian', 'Archmage', 'Archmage', ""Captain's Parrot"", ""Captain's Parrot"", 'Gadgetzan Auctioneer', 'Gadgetzan Auctioneer', 'Goldshire Footman', 'Goldshire Footman', 'Stormwind Knight', 'Stormwind Knight', 'Lord of the Arena', 'Lord of the Arena', 'Spellbreaker', 'Spellbreaker', ""Sorcerer's Apprentice"", ""Sorcerer's Apprentice""])"
3,270.3018138408661,133,-23.521459899749374,-3.9583333333333335,"([8.32981791132972, -5.5143314735866085, -17.46902761131951, 4.0512433069751825, -17.760321197126306, 12.709512273507046, 6.455634817415295, 11.472906669086562, -20.226322432443887, -1.2983369772951794, 1.1464511535838084, 9.376164561065867, 9.80684758031743, -1.8182286908905558, -0.9384215018528106, -10.58453804431414, 1.2173329605494285, -0.9955017778402342, -8.417665534495018, -1.9196472609409692, 7.494324023929579], ['War Golem', 'War Golem', 'Vaporize', 'Vaporize', 'Shieldbearer', 'Shieldbearer', 'Crazed Alchemist', 'Crazed Alchemist', 'Thrallmar Farseer', 'Thrallmar Farseer', 'Elven Archer', 'Elven Archer', 'Silvermoon Guardian', 'Silvermoon Guardian', 'Archmage', 'Archmage', ""Captain's Parrot"", ""Captain's Parrot"", 'Gadgetzan Auctioneer', 'Gadgetzan Auctioneer', 'Goldshire Footman', 'Goldshire Footman', 'Stormwind Knight', 'Stormwind Knight', 'Lord of the Arena', 'Lord of the Arena', 'Spellbreaker', 'Spellbreaker', ""Sorcerer's Apprentice"", ""Sorcerer's Apprentice""])"
4,296.5963740348816,159,-23.40906708595388,-3.7708333333333335,"([8.32981791132972, -5.5143314735866085, -17.46902761131951, 4.0512433069751825, -17.760321197126306, 12.709512273507046, 6.455634817415295, 11.472906669086562, -20.226322432443887, -1.2983369772951794, 1.1464511535838084, 9.376164561065867, 9.80684758031743, -1.8182286908905558, -0.9384215018528106, -10.58453804431414, 1.2173329605494285, -0.9955017778402342, -8.417665534495018, -1.9196472609409692, 7.494324023929579], ['War Golem', 'War Golem', 'Vaporize', 'Vaporize', 'Shieldbearer', 'Shieldbearer', 'Crazed Alchemist', 'Crazed Alchemist', 'Thrallmar Farseer', 'Thrallmar Farseer', 'Elven Archer', 'Elven Archer', 'Silvermoon Guardian', 'Silvermoon Guardian', 'Archmage', 'Archmage', ""Captain's Parrot"", ""Captain's Parrot"", 'Gadgetzan Auctioneer', 'Gadgetzan Auctioneer', 'Goldshire Footman', 'Goldshire Footman', 'Stormwind Knight', 'Stormwind Knight', 'Lord of the Arena', 'Lord of the Arena', 'Spellbreaker', 'Spellbreaker', ""Sorcerer's Apprentice"", ""Sorcerer's Apprentice""])"
5,393.886821269989,184,-23.196897644927535,-3.7708333333333335,"([8.32981791132972, -5.5143314735866085, -17.46902761131951, 4.0512433069751825, -17.760321197126306, 12.709512273507046, 6.455634817415295, 11.472906669086562, -20.226322432443887, -1.2983369772951794, 1.1464511535838084, 9.376164561065867, 9.80684758031743, -1.8182286908905558, -0.9384215018528106, -10.58453804431414, 1.2173329605494285, -0.9955017778402342, -8.417665534495018, -1.9196472609409692, 7.494324023929579], ['War Golem', 'War Golem', 'Vaporize', 'Vaporize', 'Shieldbearer', 'Shieldbearer', 'Crazed Alchemist', 'Crazed Alchemist', 'Thrallmar Farseer', 'Thrallmar Farseer', 'Elven Archer', 'Elven Archer', 'Silvermoon Guardian', 'Silvermoon Guardian', 'Archmage', 'Archmage', ""Captain's Parrot"", ""Captain's Parrot"", 'Gadgetzan Auctioneer', 'Gadgetzan Auctioneer', 'Goldshire Footman', 'Goldshire Footman', 'Stormwind Knight', 'Stormwind Knight', 'Lord of the Arena', 'Lord of the Arena', 'Spellbreaker', 'Spellbreaker', ""Sorcerer's Apprentice"", ""Sorcerer's Apprentice""])"
6,287.6304473876953,200,-23.093229166666667,-3.7708333333333335,"([8.32981791132972, -5.5143314735866085, -17.46902761131951, 4.0512433069751825, -17.760321197126306, 12.709512273507046, 6.455634817415295, 11.472906669086562, -20.226322432443887, -1.2983369772951794, 1.1464511535838084, 9.376164561065867, 9.80684758031743, -1.8182286908905558, -0.9384215018528106, -10.58453804431414, 1.2173329605494285, -0.9955017778402342, -8.417665534495018, -1.9196472609409692, 7.494324023929579], ['War Golem', 'War Golem', 'Vaporize', 'Vaporize', 'Shieldbearer', 'Shieldbearer', 'Crazed Alchemist', 'Crazed Alchemist', 'Thrallmar Farseer', 'Thrallmar Farseer', 'Elven Archer', 'Elven Archer', 'Silvermoon Guardian', 'Silvermoon Guardian', 'Archmage', 'Archmage', ""Captain's Parrot"", ""Captain's Parrot"", 'Gadgetzan Auctioneer', 'Gadgetzan Auctioneer', 'Goldshire Footman', 'Goldshire Footman', 'Stormwind Knight', 'Stormwind Knight', 'Lord of the Arena', 'Lord of the Arena', 'Spellbreaker', 'Spellbreaker', ""Sorcerer's Apprentice"", ""Sorcerer's Apprentice""])"
7,303.6121070384979,208,-23.071514423076923,-2.5,"([12.83239723260525, 1.7320881745044625, -6.498532945914535, 3.875086396247387, -4.877083212584672, 11.726961706354555, 18.218791364772187, 12.342297617023181, -13.184959895230538, -1.434191102483717, -1.7213166381271228, 7.277480407460297, -12.087520102734903, -1.705084136549706, 3.5362722948393173, 4.809874217611443, 7.381936547097748, 2.894344640134761, -1.9714528393970074, -3.9303476243285824, 4.147593491761579], ['Abusive Sergeant', 'Abusive Sergeant', ""Sen'jin Shieldmasta"", ""Sen'jin Shieldmasta"", 'Frost Elemental', 'Frost Elemental', 'Mana Wraith', 'Mana Wraith', 'Dragonling Mechanic', 'Dragonling Mechanic', 'Kirin Tor Mage', 'Kirin Tor Mage', 'Dire Wolf Alpha', 'Dire Wolf Alpha', 'Shieldbearer', 'Shieldbearer', 'Angry Chicken', 'Angry Chicken', 'Sunwalker', 'Sunwalker', 'Blizzard', 'Blizzard', 'Frostwolf Warlord', 'Frostwolf Warlord', 'Spellbender', 'Spellbender', 'Mad Bomber', 'Mad Bomber', 'Molten Giant', 'Molten Giant'])"
8,309.2020950317383,216,-23.024209104938272,-2.5,"([12.83239723260525, 1.7320881745044625, -6.498532945914535, 3.875086396247387, -4.877083212584672, 11.726961706354555, 18.218791364772187, 12.342297617023181, -13.184959895230538, -1.434191102483717, -1.7213166381271228, 7.277480407460297, -12.087520102734903, -1.705084136549706, 3.5362722948393173, 4.809874217611443, 7.381936547097748, 2.894344640134761, -1.9714528393970074, -3.9303476243285824, 4.147593491761579], ['Abusive Sergeant', 'Abusive Sergeant', ""Sen'jin Shieldmasta"", ""Sen'jin Shieldmasta"", 'Frost Elemental', 'Frost Elemental', 'Mana Wraith', 'Mana Wraith', 'Dragonling Mechanic', 'Dragonling Mechanic', 'Kirin Tor Mage', 'Kirin Tor Mage', 'Dire Wolf Alpha', 'Dire Wolf Alpha', 'Shieldbearer', 'Shieldbearer', 'Angry Chicken', 'Angry Chicken', 'Sunwalker', 'Sunwalker', 'Blizzard', 'Blizzard', 'Frostwolf Warlord', 'Frostwolf Warlord', 'Spellbender', 'Spellbender', 'Mad Bomber', 'Mad Bomber', 'Molten Giant', 'Molten Giant'])"
9,570.8107514381409,260,-23.072676282051283,-2.5,"[[12.83239723260525, 1.7320881745044625, -6.498532945914535, 3.875086396247387, -4.877083212584672, 11.726961706354555, 18.218791364772187, 12.342297617023181, -13.184959895230538, -1.434191102483717, -1.7213166381271228, 7.277480407460297, -12.087520102734903, -1.705084136549706, 3.5362722948393173, 4.809874217611443, 7.381936547097748, 2.894344640134761, -1.9714528393970074, -3.9303476243285824, 4.147593491761579], ['Abusive Sergeant', 'Abusive Sergeant', ""Sen'jin Shieldmasta"", ""Sen'jin Shieldmasta"", 'Frost Elemental', 'Frost Elemental', 'Mana Wraith', 'Mana Wraith', 'Dragonling Mechanic', 'Dragonling Mechanic', 'Kirin Tor Mage', 'Kirin Tor Mage', 'Dire Wolf Alpha', 'Dire Wolf Alpha', 'Shieldbearer', 'Shieldbearer', 'Angry Chicken', 'Angry Chicken', 'Sunwalker', 'Sunwalker', 'Blizzard', 'Blizzard', 'Frostwolf Warlord', 'Frostwolf Warlord', 'Spellbender', 'Spellbender', 'Mad Bomber', 'Mad Bomber', 'Molten Giant', 'Molten Giant']]"
