generation,time_elapsed,population,mean_fitness,best_fitness,best_sample
0,135.0092270374298,67,-23.019278606965173,-0.7083333333333334,"[-1.29511265069074, -6.011176248370584, 0.4312895257715823, 0.28692180629415276, 3.8841644575833207, -3.5154726405465926, 6.107101864081461, 5.8852317090651844, -3.657477221496121, 3.7405148827322936, 2.606833094809705, 4.365981693811989, -9.050469899910475, 7.0499842930808185, -7.8492403445501395, -6.989194970055161, 1.9450297366922342, -8.419058347265993, -9.517645062669601, -9.130189094456703, -7.408889024027172]"
1,158.95087122917175,100,-22.094583333333333,5.791666666666667,"[-1.29511265069074, -6.011176248370584, 0.4312895257715823, 0.28692180629415276, 3.8841644575833207, -3.5154726405465926, 6.107101864081461, 5.8852317090651844, -3.657477221496121, 3.7405148827322936, 2.606833094809705, 4.365981693811989, -9.050469899910475, 7.0499842930808185, -7.8492403445501395, -6.989194970055161, 1.9450297366922342, -8.419058347265993, -9.517645062669601, -9.130189094456703, -7.408889024027172]"
2,154.80139827728271,137,-21.267335766423358,5.791666666666667,"[-1.29511265069074, -6.011176248370584, 0.4312895257715823, 0.28692180629415276, 3.8841644575833207, -3.5154726405465926, 6.107101864081461, 5.8852317090651844, -3.657477221496121, 3.7405148827322936, 2.606833094809705, 4.365981693811989, -9.050469899910475, 7.0499842930808185, -7.8492403445501395, -6.989194970055161, 1.9450297366922342, -8.419058347265993, -9.517645062669601, -9.130189094456703, -7.408889024027172]"
3,223.61369800567627,159,-20.65880503144654,5.791666666666667,"[-1.29511265069074, -6.011176248370584, 0.4312895257715823, 0.28692180629415276, 3.8841644575833207, -3.5154726405465926, 6.107101864081461, 5.8852317090651844, -3.657477221496121, 3.7405148827322936, 2.606833094809705, 4.365981693811989, -9.050469899910475, 7.0499842930808185, -7.8492403445501395, -6.989194970055161, 1.9450297366922342, -8.419058347265993, -9.517645062669601, -9.130189094456703, -7.408889024027172]"
4,206.25579357147217,175,-20.176666666666666,5.791666666666667,"[-1.29511265069074, -6.011176248370584, 0.4312895257715823, 0.28692180629415276, 3.8841644575833207, -3.5154726405465926, 6.107101864081461, 5.8852317090651844, -3.657477221496121, 3.7405148827322936, 2.606833094809705, 4.365981693811989, -9.050469899910475, 7.0499842930808185, -7.8492403445501395, -6.989194970055161, 1.9450297366922342, -8.419058347265993, -9.517645062669601, -9.130189094456703, -7.408889024027172]"
5,179.1646318435669,197,-20.379864636209813,5.791666666666667,"[-1.29511265069074, -6.011176248370584, 0.4312895257715823, 0.28692180629415276, 3.8841644575833207, -3.5154726405465926, 6.107101864081461, 5.8852317090651844, -3.657477221496121, 3.7405148827322936, 2.606833094809705, 4.365981693811989, -9.050469899910475, 7.0499842930808185, -7.8492403445501395, -6.989194970055161, 1.9450297366922342, -8.419058347265993, -9.517645062669601, -9.130189094456703, -7.408889024027172]"
6,185.36212635040283,214,-20.49084890965732,5.791666666666667,"[-1.29511265069074, -6.011176248370584, 0.4312895257715823, 0.28692180629415276, 3.8841644575833207, -3.5154726405465926, 6.107101864081461, 5.8852317090651844, -3.657477221496121, 3.7405148827322936, 2.606833094809705, 4.365981693811989, -9.050469899910475, 7.0499842930808185, -7.8492403445501395, -6.989194970055161, 1.9450297366922342, -8.419058347265993, -9.517645062669601, -9.130189094456703, -7.408889024027172]"
7,192.48674750328064,226,-20.284107669616517,5.791666666666667,"[-1.29511265069074, -6.011176248370584, 0.4312895257715823, 0.28692180629415276, 3.8841644575833207, -3.5154726405465926, 6.107101864081461, 5.8852317090651844, -3.657477221496121, 3.7405148827322936, 2.606833094809705, 4.365981693811989, -9.050469899910475, 7.0499842930808185, -7.8492403445501395, -6.989194970055161, 1.9450297366922342, -8.419058347265993, -9.517645062669601, -9.130189094456703, -7.408889024027172]"
8,208.13088417053223,235,-20.05496453900709,5.791666666666667,"[-1.29511265069074, -6.011176248370584, 0.4312895257715823, 0.28692180629415276, 3.8841644575833207, -3.5154726405465926, 6.107101864081461, 5.8852317090651844, -3.657477221496121, 3.7405148827322936, 2.606833094809705, 4.365981693811989, -9.050469899910475, 7.0499842930808185, -7.8492403445501395, -6.989194970055161, 1.9450297366922342, -8.419058347265993, -9.517645062669601, -9.130189094456703, -7.408889024027172]"
9,230.8997142314911,242,-20.132575757575758,5.791666666666667,"[-1.29511265069074, -6.011176248370584, 0.4312895257715823, 0.28692180629415276, 3.8841644575833207, -3.5154726405465926, 6.107101864081461, 5.8852317090651844, -3.657477221496121, 3.7405148827322936, 2.606833094809705, 4.365981693811989, -9.050469899910475, 7.0499842930808185, -7.8492403445501395, -6.989194970055161, 1.9450297366922342, -8.419058347265993, -9.517645062669601, -9.130189094456703, -7.408889024027172]"
10,228.98381733894348,254,-20.069389763779526,5.791666666666667,"[-1.29511265069074, -6.011176248370584, 0.4312895257715823, 0.28692180629415276, 3.8841644575833207, -3.5154726405465926, 6.107101864081461, 5.8852317090651844, -3.657477221496121, 3.7405148827322936, 2.606833094809705, 4.365981693811989, -9.050469899910475, 7.0499842930808185, -7.8492403445501395, -6.989194970055161, 1.9450297366922342, -8.419058347265993, -9.517645062669601, -9.130189094456703, -7.408889024027172]"
11,218.96913075447083,260,-20.06169871794872,5.791666666666667,"[-1.29511265069074, -6.011176248370584, 0.4312895257715823, 0.28692180629415276, 3.8841644575833207, -3.5154726405465926, 6.107101864081461, 5.8852317090651844, -3.657477221496121, 3.7405148827322936, 2.606833094809705, 4.365981693811989, -9.050469899910475, 7.0499842930808185, -7.8492403445501395, -6.989194970055161, 1.9450297366922342, -8.419058347265993, -9.517645062669601, -9.130189094456703, -7.408889024027172]"
12,179.83797478675842,267,-19.926966292134832,5.791666666666667,"[-1.29511265069074, -6.011176248370584, 0.4312895257715823, 0.28692180629415276, 3.8841644575833207, -3.5154726405465926, 6.107101864081461, 5.8852317090651844, -3.657477221496121, 3.7405148827322936, 2.606833094809705, 4.365981693811989, -9.050469899910475, 7.0499842930808185, -7.8492403445501395, -6.989194970055161, 1.9450297366922342, -8.419058347265993, -9.517645062669601, -9.130189094456703, -7.408889024027172]"
13,220.84573984146118,274,-19.87287104622871,5.791666666666667,"[-1.29511265069074, -6.011176248370584, 0.4312895257715823, 0.28692180629415276, 3.8841644575833207, -3.5154726405465926, 6.107101864081461, 5.8852317090651844, -3.657477221496121, 3.7405148827322936, 2.606833094809705, 4.365981693811989, -9.050469899910475, 7.0499842930808185, -7.8492403445501395, -6.989194970055161, 1.9450297366922342, -8.419058347265993, -9.517645062669601, -9.130189094456703, -7.408889024027172]"
14,215.078688621521,277,-19.67794825511432,5.791666666666667,"[-1.29511265069074, -6.011176248370584, 0.4312895257715823, 0.28692180629415276, 3.8841644575833207, -3.5154726405465926, 6.107101864081461, 5.8852317090651844, -3.657477221496121, 3.7405148827322936, 2.606833094809705, 4.365981693811989, -9.050469899910475, 7.0499842930808185, -7.8492403445501395, -6.989194970055161, 1.9450297366922342, -8.419058347265993, -9.517645062669601, -9.130189094456703, -7.408889024027172]"
15,184.72205901145935,281,-19.394276393831554,5.791666666666667,"[-1.29511265069074, -6.011176248370584, 0.4312895257715823, 0.28692180629415276, 3.8841644575833207, -3.5154726405465926, 6.107101864081461, 5.8852317090651844, -3.657477221496121, 3.7405148827322936, 2.606833094809705, 4.365981693811989, -9.050469899910475, 7.0499842930808185, -7.8492403445501395, -6.989194970055161, 1.9450297366922342, -8.419058347265993, -9.517645062669601, -9.130189094456703, -7.408889024027172]"
16,160.1624321937561,288,-19.468894675925927,5.791666666666667,"[-1.29511265069074, -6.011176248370584, 0.4312895257715823, 0.28692180629415276, 3.8841644575833207, -3.5154726405465926, 6.107101864081461, 5.8852317090651844, -3.657477221496121, 3.7405148827322936, 2.606833094809705, 4.365981693811989, -9.050469899910475, 7.0499842930808185, -7.8492403445501395, -6.989194970055161, 1.9450297366922342, -8.419058347265993, -9.517645062669601, -9.130189094456703, -7.408889024027172]"
17,179.55563068389893,291,-19.350801832760595,5.791666666666667,"[-1.29511265069074, -6.011176248370584, 0.4312895257715823, 0.28692180629415276, 3.8841644575833207, -3.5154726405465926, 6.107101864081461, 5.8852317090651844, -3.657477221496121, 3.7405148827322936, 2.606833094809705, 4.365981693811989, -9.050469899910475, 7.0499842930808185, -7.8492403445501395, -6.989194970055161, 1.9450297366922342, -8.419058347265993, -9.517645062669601, -9.130189094456703, -7.408889024027172]"
