card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abomination,0.0,0.0,0.1053,7,22,19
Acidic Swamp Ooze,0.0,0.1364,0.3158,7,22,19
Acolyte of Pain,0.0,0.0909,0.7895,7,22,19
Alarm-o-Bot,0.0,0.0455,0.0,7,22,19
Alexstrasza,0.0,0.0,0.1053,7,22,19
Amani Berserker,0.0,0.3636,0.0,7,22,19
Ancient Brewmaster,0.0,0.0,0.2105,7,22,19
Ancient Mage,0.0,0.0909,0.0,7,22,19
Angry Chicken,0.0,0.0455,0.0,7,22,19
Animal Companion,1.0,0.0,0.0,7,22,19
Arathi Weaponsmith,0.0,0.0,0.1579,7,22,19
Arcane Explosion,0.0,0.1818,0.0,7,22,19
Arcane Intellect,0.0,0.6364,0.0,7,22,19
Arcane Missiles,0.0,0.4091,0.0,7,22,19
Arcane Shot,0.7143,0.0,0.0,7,22,19
Arcanite Reaper,0.0,0.0,0.1579,7,22,19
Archmage Antonidas,0.0,0.6818,0.0,7,22,19
Argent Commander,0.0,0.0,0.5789,7,22,19
Argent Squire,0.0,0.2273,0.1579,7,22,19
Armorsmith,0.0,0.0,0.7895,7,22,19
Azure Drake,0.0,0.4091,0.4737,7,22,19
Baron Geddon,0.0,0.0,0.0526,7,22,19
Big Game Hunter,0.0,0.0,0.2632,7,22,19
Blizzard,0.0,0.1818,0.0,7,22,19
Bloodfen Raptor,0.2857,0.0,0.0,7,22,19
Bloodmage Thalnos,0.0,0.1818,0.0,7,22,19
Bloodsail Corsair,0.2857,0.0,0.0,7,22,19
Bloodsail Raider,0.0,0.0,0.0526,7,22,19
Booty Bay Bodyguard,0.0,0.0455,0.0,7,22,19
Boulderfist Ogre,0.0,0.0455,0.0,7,22,19
Brawl,0.0,0.0,0.4211,7,22,19
Cairne Bloodhoof,0.0,0.0909,0.1053,7,22,19
Chillwind Yeti,0.0,0.0909,0.0,7,22,19
Cleave,0.0,0.0,0.3684,7,22,19
Commanding Shout,0.0,0.0,0.1053,7,22,19
Cone of Cold,0.0,0.4545,0.0,7,22,19
Core Hound,0.0,0.0,0.0526,7,22,19
Counterspell,0.0,0.5909,0.0,7,22,19
Crazed Alchemist,0.0,0.0455,0.0,7,22,19
Cruel Taskmaster,0.0,0.0,0.7895,7,22,19
Dalaran Mage,0.0,0.0455,0.0,7,22,19
Dancing Swords,0.0,0.0,0.0526,7,22,19
Darkscale Healer,0.0,0.1364,0.0,7,22,19
Deadly Shot,1.0,0.0,0.0,7,22,19
