card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abomination,0.0,0.0,0.4375,10,20,16
Abusive Sergeant,0.0,0.05,0.0,10,20,16
Acidic Swamp Ooze,0.0,0.3,0.3125,10,20,16
Acolyte of Pain,0.0,0.15,0.75,10,20,16
Alexstrasza,0.0,0.0,0.25,10,20,16
Amani Berserker,0.1,0.45,0.125,10,20,16
Ancient Brewmaster,0.1,0.4,0.0,10,20,16
Angry Chicken,0.1,0.0,0.0,10,20,16
Animal Companion,1.0,0.0,0.0,10,20,16
Arathi Weaponsmith,0.0,0.0,0.1875,10,20,16
Arcane Explosion,0.0,0.05,0.0,10,20,16
Arcane Golem,0.0,0.05,0.0625,10,20,16
Arcane Intellect,0.0,0.65,0.0,10,20,16
Arcane Missiles,0.0,0.4,0.0,10,20,16
Arcane Shot,0.5,0.0,0.0,10,20,16
Arcanite Reaper,0.0,0.0,0.25,10,20,16
Archmage,0.0,0.1,0.0,10,20,16
Archmage Antonidas,0.0,0.55,0.0,10,20,16
Argent Commander,0.0,0.05,0.25,10,20,16
Argent Squire,0.0,0.2,0.0625,10,20,16
Armorsmith,0.0,0.0,0.75,10,20,16
Azure Drake,0.0,0.35,0.25,10,20,16
Baron Geddon,0.0,0.0,0.1875,10,20,16
Bestial Wrath,0.4,0.0,0.0,10,20,16
Big Game Hunter,0.0,0.0,0.1875,10,20,16
Blizzard,0.0,0.3,0.0,10,20,16
Bloodmage Thalnos,0.0,0.2,0.0,10,20,16
Bloodsail Raider,0.0,0.05,0.0625,10,20,16
Boulderfist Ogre,0.0,0.0,0.0625,10,20,16
Brawl,0.0,0.0,0.3125,10,20,16
Cairne Bloodhoof,0.0,0.25,0.4375,10,20,16
Captain's Parrot,0.0,0.05,0.0,10,20,16
Chillwind Yeti,0.0,0.2,0.125,10,20,16
Cleave,0.0,0.0,0.1875,10,20,16
Coldlight Oracle,0.0,0.15,0.125,10,20,16
Coldlight Seer,0.0,0.0,0.0625,10,20,16
Commanding Shout,0.0,0.0,0.1875,10,20,16
Cone of Cold,0.0,0.15,0.0,10,20,16
Counterspell,0.0,0.6,0.0,10,20,16
Cruel Taskmaster,0.0,0.0,0.9375,10,20,16
