card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abomination,0.0,0.0,0.1364,13,20,22
Abusive Sergeant,0.0,0.0,0.1364,13,20,22
Acidic Swamp Ooze,0.0,0.2,0.1818,13,20,22
Acolyte of Pain,0.0,0.2,0.7273,13,20,22
Alexstrasza,0.0,0.0,0.3636,13,20,22
Amani Berserker,0.1538,0.55,0.0909,13,20,22
Ancient Mage,0.0,0.1,0.0455,13,20,22
Ancient Watcher,0.0,0.05,0.0,13,20,22
Animal Companion,1.0,0.0,0.0,13,20,22
Arathi Weaponsmith,0.0,0.0,0.2727,13,20,22
Arcane Explosion,0.0,0.55,0.0,13,20,22
Arcane Golem,0.0,0.0,0.0455,13,20,22
Arcane Intellect,0.0,0.6,0.0,13,20,22
Arcane Missiles,0.0,0.6,0.0,13,20,22
Arcane Shot,0.8462,0.0,0.0,13,20,22
Arcanite Reaper,0.0,0.0,0.3636,13,20,22
Archmage Antonidas,0.0,0.15,0.0,13,20,22
Argent Commander,0.0,0.1,0.2727,13,20,22
Argent Squire,0.0,0.25,0.1364,13,20,22
Armorsmith,0.0,0.0,0.6818,13,20,22
Azure Drake,0.0,0.75,0.3636,13,20,22
Baron Geddon,0.0,0.0,0.1818,13,20,22
Battle Rage,0.0,0.0,0.1364,13,20,22
Big Game Hunter,0.0,0.0,0.0909,13,20,22
Blizzard,0.0,0.05,0.0,13,20,22
Bloodfen Raptor,0.1538,0.0,0.0,13,20,22
Bloodmage Thalnos,0.0,0.15,0.0,13,20,22
Bloodsail Corsair,0.0769,0.0,0.0,13,20,22
Bloodsail Raider,0.0,0.1,0.0909,13,20,22
Bluegill Warrior,0.0,0.0,0.0455,13,20,22
Boulderfist Ogre,0.0769,0.0,0.0455,13,20,22
Brawl,0.0,0.0,0.3182,13,20,22
Cairne Bloodhoof,0.0,0.15,0.2273,13,20,22
Chillwind Yeti,0.0769,0.2,0.0909,13,20,22
Cleave,0.0,0.0,0.3182,13,20,22
Cone of Cold,0.0,0.35,0.0,13,20,22
Core Hound,0.0,0.1,0.0,13,20,22
Counterspell,0.0,0.25,0.0,13,20,22
Crazed Alchemist,0.0,0.05,0.0,13,20,22
Cruel Taskmaster,0.0,0.0,0.8636,13,20,22
Cult Master,0.0,0.0,0.0455,13,20,22
Dalaran Mage,0.0,0.1,0.0,13,20,22
Dark Iron Dwarf,0.1538,0.0,0.0455,13,20,22
Darkscale Healer,0.0769,0.1,0.0,13,20,22
Deadly Shot,0.9231,0.0,0.0,13,20,22
Deathlord,0.0769,0.0,0.0,13,20,22
Defender of Argus,0.3077,0.4,0.0909,13,20,22
Demolisher,0.0,0.0,0.0455,13,20,22
Dire Wolf Alpha,0.0769,0.0,0.0,13,20,22
