card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abomination,0.0,0.0,0.0476,16,23,21
Abusive Sergeant,0.0625,0.1304,0.0,16,23,21
Acidic Swamp Ooze,0.0,0.4348,0.1905,16,23,21
Acolyte of Pain,0.125,0.1739,0.8095,16,23,21
Alexstrasza,0.0,0.0,0.0476,16,23,21
Amani Berserker,0.3125,0.3043,0.0476,16,23,21
Ancient Brewmaster,0.0,0.087,0.0476,16,23,21
Ancient Mage,0.0,0.087,0.0,16,23,21
Animal Companion,1.0,0.0,0.0,16,23,21
Arathi Weaponsmith,0.0,0.0,0.3333,16,23,21
Arcane Explosion,0.0,0.1739,0.0,16,23,21
Arcane Golem,0.0,0.0,0.1429,16,23,21
Arcane Intellect,0.0,0.6522,0.0,16,23,21
Arcane Missiles,0.0,0.4348,0.0,16,23,21
Arcane Shot,0.625,0.0,0.0,16,23,21
Arcanite Reaper,0.0,0.0,0.3333,16,23,21
Archmage,0.0,0.0435,0.0,16,23,21
Archmage Antonidas,0.0,0.2609,0.0,16,23,21
Argent Commander,0.0,0.0435,0.381,16,23,21
Argent Squire,0.375,0.1304,0.0476,16,23,21
Armorsmith,0.0,0.0,0.6667,16,23,21
Azure Drake,0.0,0.5217,0.0476,16,23,21
Big Game Hunter,0.0,0.0,0.1905,16,23,21
Blizzard,0.0,0.3478,0.0,16,23,21
Blood Knight,0.0,0.087,0.0,16,23,21
Bloodfen Raptor,0.0625,0.0435,0.0,16,23,21
Bloodmage Thalnos,0.0,0.0435,0.0,16,23,21
Bloodsail Raider,0.0625,0.0435,0.3333,16,23,21
Bluegill Warrior,0.0,0.0,0.0952,16,23,21
Booty Bay Bodyguard,0.0625,0.0,0.0,16,23,21
Boulderfist Ogre,0.0625,0.0,0.0,16,23,21
Brawl,0.0,0.0,0.619,16,23,21
Cairne Bloodhoof,0.0,0.087,0.3333,16,23,21
Chillwind Yeti,0.0,0.4783,0.0476,16,23,21
Cleave,0.0,0.0,0.5238,16,23,21
Cone of Cold,0.0,0.1304,0.0,16,23,21
Counterspell,0.0,0.0435,0.0,16,23,21
Crazed Alchemist,0.0,0.0,0.0952,16,23,21
Cruel Taskmaster,0.0,0.0,0.8095,16,23,21
Cult Master,0.0625,0.2609,0.0,16,23,21
Dark Iron Dwarf,0.0625,0.3043,0.0,16,23,21
Darkscale Healer,0.0,0.087,0.0,16,23,21
Deadly Shot,1.0,0.0,0.0,16,23,21
Death's Bite,0.0,0.0,0.0476,16,23,21
