card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abomination,0.0,0.1071,0.0,9,28,16
Abusive Sergeant,0.1111,0.1071,0.0,9,28,16
Acidic Swamp Ooze,0.0,0.3214,0.25,9,28,16
Acolyte of Pain,0.0,0.1071,0.4375,9,28,16
Alexstrasza,0.0,0.3929,0.5,9,28,16
Amani Berserker,0.0,0.4643,0.0625,9,28,16
Ancient Mage,0.1111,0.0357,0.0,9,28,16
Animal Companion,0.8889,0.0,0.0,9,28,16
Arathi Weaponsmith,0.0,0.0,0.375,9,28,16
Arcane Explosion,0.0,0.1071,0.0,9,28,16
Arcane Golem,0.1111,0.0714,0.0,9,28,16
Arcane Intellect,0.0,0.75,0.0,9,28,16
Arcane Missiles,0.0,0.3214,0.0,9,28,16
Arcane Shot,0.5556,0.0,0.0,9,28,16
Arcanite Reaper,0.0,0.0,0.375,9,28,16
Archmage Antonidas,0.0,0.1071,0.0,9,28,16
Argent Commander,0.0,0.2143,0.375,9,28,16
Argent Squire,0.0,0.1429,0.1875,9,28,16
Armorsmith,0.0,0.0,0.4375,9,28,16
Azure Drake,0.0,0.7143,0.25,9,28,16
Baron Geddon,0.0,0.0,0.375,9,28,16
Big Game Hunter,0.0,0.0357,0.375,9,28,16
Blizzard,0.0,0.4286,0.0,9,28,16
Blood Knight,0.1111,0.0,0.0,9,28,16
Bloodfen Raptor,0.2222,0.0,0.375,9,28,16
Bloodmage Thalnos,0.0,0.7857,0.0,9,28,16
Bloodsail Corsair,0.0,0.0357,0.0,9,28,16
Bloodsail Raider,0.0,0.0,0.5625,9,28,16
Boulderfist Ogre,0.0,0.0357,0.0,9,28,16
Brawl,0.0,0.0,0.375,9,28,16
Cairne Bloodhoof,0.0,0.1429,0.4375,9,28,16
Captain's Parrot,0.0,0.0357,0.0,9,28,16
Chillwind Yeti,0.0,0.1071,0.0625,9,28,16
Cleave,0.0,0.0,0.375,9,28,16
Coldlight Oracle,0.0,0.0357,0.0,9,28,16
Coldlight Seer,0.0,0.0357,0.0,9,28,16
Commanding Shout,0.0,0.0,0.25,9,28,16
Cone of Cold,0.0,0.0357,0.0,9,28,16
Cruel Taskmaster,0.0,0.0,0.625,9,28,16
Dalaran Mage,0.0,0.0357,0.0,9,28,16
Dark Iron Dwarf,0.0,0.0357,0.125,9,28,16
Deadly Shot,0.2222,0.0,0.0,9,28,16
Death's Bite,0.0,0.0,0.1875,9,28,16
Defender of Argus,0.3333,0.2143,0.1875,9,28,16
Dire Wolf Alpha,0.0,0.1429,0.25,9,28,16
Doomsayer,0.0,0.1071,0.0,9,28,16
Dread Corsair,0.1111,0.0,0.0,9,28,16
Eaglehorn Bow,1.0,0.0,0.0,9,28,16
Earthen Ring Farseer,0.0,0.2143,0.0,9,28,16
Elite Tauren Chieftain,0.0,0.1071,0.0,9,28,16
Elven Archer,0.0,0.0,0.25,9,28,16
Emperor Cobra,0.2222,0.0,0.0625,9,28,16
Ethereal Arcanist,0.0,0.0357,0.0,9,28,16
Execute,0.0,0.0,0.6875,9,28,16
Explosive Shot,0.2222,0.0,0.0,9,28,16
Explosive Trap,0.7778,0.0,0.0,9,28,16
Faceless Manipulator,0.0,0.4286,0.25,9,28,16
Faerie Dragon,0.0,0.1429,0.25,9,28,16
Fen Creeper,0.2222,0.0,0.0,9,28,16
Fiery War Axe,0.0,0.0,1.0,9,28,16
Fireball,0.0,0.9643,0.0,9,28,16
Flamestrike,0.0,0.6786,0.0,9,28,16
Flare,0.7778,0.0,0.0,9,28,16
Freezing Trap,0.4444,0.0,0.0,9,28,16
Frost Nova,0.0,0.4286,0.0,9,28,16
Frostbolt,0.0,1.0,0.0,9,28,16
Frothing Berserker,0.0,0.0,0.8125,9,28,16
Gadgetzan Auctioneer,0.1111,0.0714,0.0,9,28,16
Gladiator's Longbow,0.1111,0.0,0.0,9,28,16
Goldshire Footman,0.0,0.0357,0.0,9,28,16
Gorehowl,0.0,0.0,0.5625,9,28,16
Grimscale Oracle,0.0,0.0357,0.0,9,28,16
Grommash Hellscream,0.0,0.0,0.5,9,28,16
Harrison Jones,0.0,0.0,0.0625,9,28,16
Harvest Golem,0.0,0.1786,0.3125,9,28,16
Haunted Creeper,0.1111,0.0,0.0,9,28,16
Heroic Strike,0.0,0.0,0.5,9,28,16
Houndmaster,0.6667,0.0,0.0,9,28,16
Hunter's Mark,1.0,0.0,0.0,9,28,16
Ice Barrier,0.0,0.1071,0.0,9,28,16
Ice Block,0.0,0.4286,0.0,9,28,16
Ice Lance,0.0,0.1071,0.0,9,28,16
Inner Rage,0.0,0.0,0.1875,9,28,16
Ironbeak Owl,0.4444,0.1071,0.0625,9,28,16
Ironfur Grizzly,0.2222,0.0714,0.0,9,28,16
Jungle Panther,0.2222,0.0357,0.0,9,28,16
Kill Command,1.0,0.0,0.0,9,28,16
Knife Juggler,0.1111,0.1071,0.1875,9,28,16
Kor'kron Elite,0.0,0.0,0.5625,9,28,16
Leeroy Jenkins,0.2222,0.25,0.0625,9,28,16
Leper Gnome,0.1111,0.25,0.4375,9,28,16
Loatheb,0.0,0.0357,0.0,9,28,16
Loot Hoarder,0.0,0.1071,0.0625,9,28,16
Lorewalker Cho,0.0,0.0357,0.0,9,28,16
Mad Scientist,0.1111,0.0,0.0,9,28,16
Mana Wraith,0.0,0.0,0.0625,9,28,16
Mana Wyrm,0.0,0.5357,0.0,9,28,16
Master Swordsmith,0.0,0.0,0.1875,9,28,16
Millhouse Manastorm,0.0,0.1429,0.0,9,28,16
Mirror Image,0.0,0.6071,0.0,9,28,16
Misdirection,0.3333,0.0,0.0,9,28,16
Mogu'shan Warden,0.0,0.0357,0.0,9,28,16
Molten Giant,0.0,0.4286,0.0,9,28,16
Mortal Strike,0.0,0.0,0.3125,9,28,16
Mountain Giant,0.0,0.4286,0.0,9,28,16
Nat Pagle,0.0,0.1071,0.0,9,28,16
Nerub'ar Weblord,0.0,0.0357,0.0625,9,28,16
Nightblade,0.0,0.1429,0.3125,9,28,16
Novice Engineer,0.0,0.0,0.0625,9,28,16
Ogre Magi,0.0,0.0714,0.0,9,28,16
Pint-Sized Summoner,0.0,0.0,0.125,9,28,16
Polymorph,0.0,0.6786,0.0,9,28,16
Pyroblast,0.0,0.5714,0.0,9,28,16
Raging Worgen,0.0,0.0357,0.0625,9,28,16
Ragnaros the Firelord,0.0,0.3214,0.4375,9,28,16
Ravenholdt Assassin,0.0,0.0714,0.0,9,28,16
Reckless Rocketeer,0.2222,0.0,0.0,9,28,16
River Crocolisk,0.4444,0.0,0.0,9,28,16
Savannah Highmane,0.6667,0.0,0.0,9,28,16
Scarlet Crusader,0.0,0.0,0.1875,9,28,16
Scavenging Hyena,0.6667,0.0,0.0,9,28,16
Secretkeeper,0.0,0.0714,0.0,9,28,16
Shattered Sun Cleric,0.0,0.1429,0.1875,9,28,16
Shield Block,0.0,0.0,0.4375,9,28,16
Shield Slam,0.0,0.0,0.4375,9,28,16
Shieldbearer,0.0,0.0,0.1875,9,28,16
Silvermoon Guardian,0.0,0.0357,0.1875,9,28,16
Slam,0.0,0.0,0.5,9,28,16
Sludge Belcher,0.1111,0.75,0.0,9,28,16
Snipe,0.4444,0.0,0.0,9,28,16
Sorcerer's Apprentice,0.0,0.2857,0.0,9,28,16
Southsea Captain,0.1111,0.0357,0.0,9,28,16
Spellbreaker,0.0,0.0357,0.0,9,28,16
Spiteful Smith,0.0,0.0357,0.0,9,28,16
Stampeding Kodo,0.4444,0.0,0.0,9,28,16
Starving Buzzard,1.0,0.0,0.0,9,28,16
Stonetusk Boar,0.3333,0.0,0.0,9,28,16
Sunfury Protector,0.0,0.0714,0.0,9,28,16
Sunwalker,0.0,0.0714,0.0,9,28,16
Sylvanas Windrunner,0.0,0.0714,0.0625,9,28,16
The Black Knight,0.1111,0.25,0.0,9,28,16
Timber Wolf,0.6667,0.0,0.0,9,28,16
Tinkmaster Overspark,0.0,0.0,0.25,9,28,16
Tracking,0.2222,0.0,0.0,9,28,16
Twilight Drake,0.0,0.0,0.0625,9,28,16
Undertaker,0.0,0.0,0.125,9,28,16
Unleash the Hounds,0.8889,0.0,0.0,9,28,16
Vaporize,0.0,0.3214,0.0,9,28,16
Venture Co. Mercenary,0.0,0.0357,0.0,9,28,16
Violet Teacher,0.0,0.1071,0.0,9,28,16
Voodoo Doctor,0.0,0.1071,0.0,9,28,16
Warsong Commander,0.0,0.0,0.5625,9,28,16
Water Elemental,0.0,0.4643,0.0,9,28,16
Webspinner,0.5556,0.0,0.0,9,28,16
Whirlwind,0.0,0.0,0.3125,9,28,16
Wild Pyromancer,0.0,0.0714,0.0,9,28,16
Wolfrider,0.1111,0.0,0.125,9,28,16
Youthful Brewmaster,0.0,0.0357,0.0,9,28,16
Ysera,0.0,0.0357,0.0625,9,28,16
