card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abusive Sergeant,0.0833,0.0,0.0,12,23,17
Acidic Swamp Ooze,0.0,0.087,0.2353,12,23,17
Acolyte of Pain,0.0,0.0435,0.5882,12,23,17
Alexstrasza,0.0,0.2609,0.5294,12,23,17
Amani Berserker,0.0,0.3478,0.1176,12,23,17
Ancient Brewmaster,0.0,0.0,0.0588,12,23,17
Animal Companion,1.0,0.0,0.0,12,23,17
Arathi Weaponsmith,0.0,0.0,0.2353,12,23,17
Arcane Explosion,0.0,0.4783,0.0,12,23,17
Arcane Golem,0.0833,0.0,0.1176,12,23,17
Arcane Intellect,0.0,0.6087,0.0,12,23,17
Arcane Missiles,0.0,0.4783,0.0,12,23,17
Arcane Shot,0.3333,0.0,0.0,12,23,17
Arcanite Reaper,0.0,0.0,0.1765,12,23,17
Archmage Antonidas,0.0,0.4783,0.0,12,23,17
Argent Commander,0.25,0.1739,0.3529,12,23,17
Argent Squire,0.0,0.1739,0.0,12,23,17
Armorsmith,0.0,0.0,0.5882,12,23,17
Azure Drake,0.0,0.6087,0.0,12,23,17
Baron Geddon,0.0,0.087,0.1765,12,23,17
Big Game Hunter,0.0,0.0435,0.0,12,23,17
Blizzard,0.0,0.3913,0.0,12,23,17
Bloodfen Raptor,0.0,0.3043,0.0,12,23,17
Bloodmage Thalnos,0.1667,0.6087,0.0588,12,23,17
Bloodsail Raider,0.0,0.0,0.3529,12,23,17
Bluegill Warrior,0.0833,0.0435,0.0,12,23,17
Boulderfist Ogre,0.0,0.087,0.0,12,23,17
Brawl,0.0,0.0,0.5882,12,23,17
Cairne Bloodhoof,0.0,0.087,0.5882,12,23,17
Captain's Parrot,0.0833,0.0,0.0,12,23,17
Chillwind Yeti,0.25,0.087,0.0,12,23,17
Cleave,0.0,0.0,0.0588,12,23,17
Coldlight Oracle,0.0,0.0435,0.0,12,23,17
Coldlight Seer,0.0,0.0,0.0588,12,23,17
Cone of Cold,0.0,0.2174,0.0,12,23,17
Counterspell,0.0,0.087,0.0,12,23,17
Cruel Taskmaster,0.0,0.0,0.3529,12,23,17
Dalaran Mage,0.0,0.0435,0.0,12,23,17
Dancing Swords,0.0,0.2174,0.0,12,23,17
Dark Iron Dwarf,0.0,0.0,0.2353,12,23,17
Deadly Shot,0.75,0.0,0.0,12,23,17
Deathlord,0.0,0.0435,0.0,12,23,17
Defender of Argus,0.0,0.1739,0.6471,12,23,17
Demolisher,0.0,0.2174,0.0588,12,23,17
Dire Wolf Alpha,0.3333,0.1739,0.1176,12,23,17
Doomsayer,0.0,0.087,0.0,12,23,17
Dread Corsair,0.0,0.0,0.0588,12,23,17
Eaglehorn Bow,0.5,0.0,0.0,12,23,17
Earthen Ring Farseer,0.0,0.3913,0.0,12,23,17
Elite Tauren Chieftain,0.0,0.2609,0.0,12,23,17
Elven Archer,0.0,0.0,0.2353,12,23,17
Ethereal Arcanist,0.0,0.1304,0.0,12,23,17
Execute,0.0,0.0,0.8235,12,23,17
Explosive Shot,0.3333,0.0,0.0,12,23,17
Explosive Trap,0.6667,0.0,0.0,12,23,17
Faceless Manipulator,0.0,0.2609,0.5294,12,23,17
Faerie Dragon,0.0,0.1739,0.1176,12,23,17
Fiery War Axe,0.0,0.0,0.8235,12,23,17
Fireball,0.0,0.8696,0.0,12,23,17
Flamestrike,0.0,0.3478,0.0,12,23,17
Flare,1.0,0.0,0.0,12,23,17
Flesheating Ghoul,0.0,0.0435,0.0,12,23,17
Freezing Trap,0.3333,0.0,0.0,12,23,17
Frost Nova,0.0,0.5217,0.0,12,23,17
Frostbolt,0.0,1.0,0.0,12,23,17
Frostwolf Grunt,0.0833,0.1304,0.0,12,23,17
Frothing Berserker,0.0,0.0,0.7647,12,23,17
Gadgetzan Auctioneer,0.0,0.3043,0.0588,12,23,17
Gnomish Inventor,0.0,0.0435,0.0,12,23,17
Goldshire Footman,0.0,0.0,0.2941,12,23,17
Gorehowl,0.0,0.0,0.4706,12,23,17
Grommash Hellscream,0.0,0.0,0.4706,12,23,17
Harvest Golem,0.0,0.0435,0.1765,12,23,17
Heroic Strike,0.0,0.0,0.3529,12,23,17
Houndmaster,0.5,0.0,0.0,12,23,17
Hunter's Mark,1.0,0.0,0.0,12,23,17
Ice Barrier,0.0,0.1739,0.0,12,23,17
Ice Block,0.0,0.5652,0.0,12,23,17
Ice Lance,0.0,0.3043,0.0,12,23,17
Imp Master,0.25,0.0,0.0,12,23,17
Inner Rage,0.0,0.0,0.5882,12,23,17
Ironbeak Owl,0.5,0.0,0.7059,12,23,17
Ironforge Rifleman,0.0,0.0435,0.0,12,23,17
