generation,best_loss,mean_loss
1,455.8329762293333,1471.4797440560437
2,533.1879482752583,765.0331186219056
3,312.1844341224547,770.2134186503574
4,513.7562561699466,901.2677298178849
5,561.5587822544875,1171.2005972160296
6,284.4152881147998,814.3788199725398
7,356.329796958825,828.4833132602843
8,391.0636763513622,899.9434769072745
9,295.0499109779462,860.6876897318314
10,425.65552997955007,719.1807551049237
11,329.1452725346594,773.7565320150729
12,470.71522911447687,863.5293802600569
13,271.8890264962008,529.7165430916104
14,343.78143827058886,634.5390904969252
15,398.49004468210904,696.0727859764405
16,461.83974915205755,675.0024782402645
17,317.0809325473673,673.5206802025695
18,309.4895888559802,616.5595649450129
19,402.27671087424807,654.1274750165059
20,214.70401558572294,577.1052582001224
21,344.4943586591388,635.5747019395708
22,371.81489653799514,571.9418192514531
23,355.7772311450804,705.7074289892394
24,318.09154825124506,581.2583496575614
25,362.4542465722261,553.031980084989
26,430.86227740649895,608.9556814469967
27,387.5316376622736,597.5224102108234
28,312.9474231071789,639.8705210328226
29,374.1770109382331,580.9042637933284
30,355.5478790398825,585.2425407307298
31,349.8431596390261,589.3983415950464
32,364.4572677650839,648.0141737642919
33,365.1680038348759,547.8733156265605
34,410.5740721989714,632.463278667416
35,424.0953388159122,649.7969220634718
36,336.6944164613918,668.5684135209774
37,231.47729977662573,521.379079590331
38,348.858718929494,607.5011689494181
39,426.34460309651524,671.0226303123036
40,350.6657182326152,519.6104084886122
41,341.39764428452287,614.0398497684016
42,435.5717977382212,547.5980287150736
43,333.9221300169919,536.2324857512828
44,310.7218966194695,499.3934888650328
45,376.6118562748526,636.437895203739
46,311.0271108452163,547.1573996908298
47,277.60093042558174,519.5665719741022
48,431.66971417387987,559.4807762705875
49,373.50650990456006,594.5001431679132
50,368.9421206781588,637.3380526269544
51,381.22999792797407,590.4595811405549
52,393.7830700547971,591.8215724652578
53,271.99606065075744,607.8216501255705
54,400.41961269041985,579.6256179148256
55,394.931420484532,533.9538745045363
56,272.89222076624253,516.1860117710329
57,254.75082127324671,567.8100028551332
58,434.1354349304854,599.2036285950982
59,462.9839458276314,664.5233707340827
60,264.80722495885715,556.3438110594456
