generation,best_loss,mean_loss
1,611.0178883238298,1287.8979575948076
2,435.4380327523006,1005.0428535419356
3,659.3430295946845,1088.3420717923593
4,531.6609187487028,960.4289866545671
5,555.8563583745465,989.4938150754786
6,533.8154988618978,771.2704024439547
7,537.8941524239782,831.7905944556993
8,455.19276947821373,741.047990425121
9,452.92688553019957,913.260989353708
10,478.33662562642195,851.4679040242107
11,514.8835448547813,904.8080524208601
12,424.58289148285047,999.5468506200359
13,283.5063455754504,707.4036405784268
14,322.1781996272092,833.103380729253
15,474.790881423297,775.2323681130122
16,312.6616565636071,581.0153086201735
17,300.3266795627114,726.6439940961279
18,349.85204314655124,655.1488777725222
19,280.0401484902182,663.5828625394568
20,335.5955308739394,671.9104048078125
21,397.0743219348042,885.9899264128368
22,387.88306317300766,612.9026922774347
23,421.907451565238,674.0615663757262
24,290.9206757756282,803.7978107137901
25,343.88174860570086,695.5971140694401
26,377.37422738246823,648.9250212122264
27,445.93895523650843,620.5388559292796
28,359.271459396918,658.5231453509941
29,254.30687142859273,465.3256701877987
30,280.4837913866807,561.7408618133287
31,289.2011088860463,515.4221505214929
32,372.2252451911037,585.4085370094814
33,283.3034871638652,658.3019919813033
34,304.9121857924265,605.9734240910095
35,301.42346696888404,707.4403677786925
36,407.73730702238356,601.9683424718252
37,393.0149451103715,650.9113976675412
38,413.56442943180576,616.5017606539676
39,364.9820657871329,625.4295466224835
40,323.476053913875,563.1176824283641
