generation,best_loss,mean_loss
1,383.14768151083854,1555.6256383508755
2,598.4679830383951,1390.6506638226567
3,461.9009613973859,1061.7622947794955
4,452.6635827696505,846.4967807779876
5,355.41586157062363,674.0792516632163
6,363.08366612689895,682.1469369295997
7,266.56058575356536,672.1635878072719
8,235.34149539355656,591.9894385968587
9,294.2478651606194,644.0724808485746
10,218.79359703670184,599.6235098987069
11,414.14440490789553,1044.734035326728
12,472.84518366436436,774.763554193136
13,307.0036241318332,616.8711799734623
14,347.3303300914316,564.5572982704715
15,217.79867287822657,644.4118448746945
16,368.4997966018001,559.0889367277086
17,183.2239963768335,673.2959486849297
18,355.3826909388401,806.8328608616426
19,362.5468720186556,630.0889430476074
20,366.1163765901757,576.1203430280289
21,499.5080838101727,722.0373983624296
22,543.3051144747877,786.3039596820397
23,327.0000995482437,700.042662783973
24,329.57480753066795,590.2080259181107
25,442.72680228650654,589.6848718419383
26,349.0160725273757,721.7157550186997
27,372.77627161967325,615.5333729439267
28,330.7065007362484,571.3829120871696
29,336.2266370477216,629.6134356718054
30,404.34328744639583,689.4531127561772
31,493.4135555374142,812.6773054149756
32,382.59906670529983,611.7833865443823
33,359.00561758072024,643.9416842878358
34,422.8616673611974,664.9606347235255
35,378.52870950923653,707.6113619834052
36,369.8918195993141,590.7224208463133
37,455.90621776187766,707.7305581622284
38,456.935799237837,725.8378980162496
39,510.5151162090357,722.6672114122176
40,466.95138391176283,684.743727913566
