generation,best_loss,mean_loss
1,732.7768235513811,1282.190446823787
2,586.9145681220215,1227.0475824401387
3,632.9015291382314,1120.8335701514952
4,730.661339799389,982.3779075386506
5,612.818155717274,996.9003918092246
6,517.1745234066173,871.6451710226057
7,401.01186239869753,821.1282778843873
8,552.1088745272839,841.6779378268868
9,392.1545865965878,797.01458585341
10,274.17113549776644,766.9799095322301
11,266.6106640331961,854.9580698093596
12,148.3415431719971,751.8682839799222
13,342.2171010185038,634.3499935171367
14,424.0405575384908,758.7430105044779
15,233.91755210575224,593.867955875406
16,202.18296247780106,684.5036385003874
17,178.72894165605663,676.3558491540607
18,202.72908550197548,822.3550962168296
19,144.95900126439201,670.0055116449557
20,241.75739969549105,813.2590803461397
21,321.1913058599231,804.8332608206954
22,312.9205620704141,610.0745514849337
23,132.87624502509564,588.317738935721
24,209.3977950623451,412.094983812482
25,154.73839172380292,428.82985850170246
26,272.46816507272024,598.1061053166255
27,95.1364006519619,540.6157933324029
28,228.87320805970268,584.0626156929651
29,325.30906362258526,531.7548067967118
30,164.25580274543714,510.4312388425956
31,129.3192974384521,405.54274852437385
32,98.71896695046523,472.14330386816385
33,242.7376849278719,513.368679197062
34,169.6289612484755,588.9557182401694
35,267.80069234331813,642.3350630964287
36,133.83793408467636,582.3973822617991
37,291.9260329655558,540.0918750041884
38,127.69752553657628,542.8064164120741
39,191.90206744302466,516.2636616899008
40,275.6795804910555,518.6290616242792
