generation,best_loss,mean_loss
1,762.0147004340541,1396.0330175625024
2,526.5053759146298,1120.9698367451085
3,581.1962606028304,1397.424418115946
4,660.9889461502887,1482.0653836018234
5,632.9392789247765,1157.8011107706145
6,535.2924106277673,1182.6183598215955
7,710.8751464166369,1238.7509236052815
8,692.0102787332359,1126.096222897434
9,272.8929532289655,993.9878120529233
10,443.0749180489296,940.8330247275468
11,523.5738751730927,874.5595236683745
12,343.101730501239,944.5137071509964
13,284.14626873952056,1003.006245547792
14,573.9770119891023,950.3509522317441
15,342.71089272389474,792.1472306566445
16,233.13655867787207,964.748645712963
17,250.61385356850752,646.2179724396949
18,402.38232457253264,819.0269078088977
19,544.2075072436908,741.230863685751
20,438.16474742188933,799.6813087320186
21,385.934215095024,797.2667387184819
22,474.9152553174428,718.7919030616096
23,265.5306853066282,827.9182237335765
24,451.15355991977526,962.9712165731565
25,272.51944537772647,756.7225845378717
26,473.2981622298601,722.8803891295012
27,528.4461766155927,895.0723250956042
28,338.8119963716663,778.1989749838586
29,454.16332000771996,911.1575030184208
30,508.55161393470047,907.7434001916994
31,397.3704093846784,669.8395247015502
32,283.37873344606055,719.8204346901457
33,341.5210365735936,730.1764078703596
34,304.916668055393,836.7565463711734
35,374.40525204244034,659.0874022761828
36,399.95773094071376,620.8820196994558
37,398.5598969949633,800.2917930583612
38,336.45709387521543,576.8382787640186
39,554.7631899652486,941.2614293992773
40,306.99716533058995,913.2007422556832
