generation,best_loss,mean_loss
1,431.6919122339562,1718.2710194249382
2,612.7940642621074,1108.2285368178264
3,226.44784662440344,749.2740550857438
4,313.54135370927844,704.8175141888667
5,307.01337873643456,517.8762721220407
6,125.98331866974758,703.7546374403985
7,356.45814178742586,871.2838792650848
8,304.82979426854473,685.9909855985328
9,278.87654228583085,524.5279039035772
10,263.16547173389796,724.6153701614003
11,279.3059570383509,693.6944561055553
12,266.5388418492457,637.1141185475238
13,234.4195569181966,479.3221239943408
14,291.2404209976137,840.7064771846549
15,296.93842493678295,810.2736909950739
16,290.9228941796981,622.0795690157448
17,295.91244481540974,643.2150113321413
18,299.5894751797164,602.5228809683739
19,287.62434109703946,619.0337768684444
20,106.53778764944616,506.5254260535252
21,315.58687889344833,584.6339449829968
22,255.1782220436659,641.9084243466051
23,232.324672754111,576.7770311385138
24,169.2549817431798,637.0981704584575
25,307.7370559545089,763.5382145526236
26,280.38170616785857,446.966106249758
27,283.68641427471385,646.0651693152624
28,309.63032263459905,770.6622041269013
29,272.64901164172204,540.0803958313334
30,316.805130695355,606.9643898966295
31,200.5572713444821,556.5898853026625
32,263.7829986894785,551.0511563727318
33,255.42780190722857,571.8510407415573
34,251.41064759056127,499.2858937571974
35,361.4229387963105,555.5625161991636
36,141.79430301850368,471.5578370676162
37,243.1910312250847,434.87908034636223
38,308.45358256914477,481.7068246703737
39,227.05709649320752,491.38474298091086
40,219.41844703804344,524.1931339427944
