generation,best_loss,mean_loss
1,663.6508021817626,1417.782729468718
2,427.11101640169795,1096.0978672901426
3,434.6918153765226,880.4462668669015
4,503.37329803631974,1048.3732590142552
5,348.5508815480964,703.0705347419592
6,386.9660669121727,839.9013272963389
7,383.59734802221607,604.7953324359847
8,297.26374630933634,664.6910353875809
9,324.0627399838871,672.7159971360044
10,301.7399885078479,558.624248851589
11,216.91353455145472,491.4537309571166
12,277.6211409242155,653.245046042261
13,307.99986384811217,663.6710584087135
14,288.1923209871067,597.0769054897155
15,307.79979584272274,552.6838386941301
16,285.1850785920635,533.8437109602769
17,339.68116780193964,558.9092392335841
18,386.05636765567345,626.0925445220003
19,312.2303048458591,538.6146886516011
20,300.1842538971023,793.0648783193611
21,338.43424410230557,611.1114656857184
22,260.0325981604809,583.5581769629653
23,247.80496789084117,468.0989867075371
24,240.39605048372871,534.6257485647177
25,356.3653996627678,684.8679324190317
26,316.47575453038047,540.15215349348
27,231.30128511596877,533.7364377697791
28,294.3429009501561,556.6562191759226
29,251.200993947886,527.1993924125945
30,288.26274739955926,447.8112991566916
31,313.4619176157022,502.994465327036
32,380.4972544993691,661.6768412829698
33,324.01547419569835,545.5722347535176
34,262.3597484425778,505.70860225597403
35,219.82110140544813,566.3997559006729
36,206.20830521322173,549.3033096128191
37,322.46740489230206,507.67197185651213
38,272.278865291729,527.7718417247365
39,351.27970825350275,535.610470280378
40,322.4960619161456,561.498562792038
