generation,population,mean_fitness,best_fitness,mean_novelty
0,12,0.36165123456790127,0.5324074074074074,0.75
1,14,0.39781746031746035,0.5555555555555556,1.8571428571428572
2,14,0.4264550264550265,0.5972222222222222,2.2142857142857144
3,16,0.44039351851851855,0.625,2.75
4,18,0.4572530864197531,0.7037037037037037,3.1666666666666665
5,18,0.4477880658436214,0.6962962962962963,2.9444444444444446
6,20,0.4425,0.6962962962962963,3.85
7,20,0.45435185185185184,0.7037037037037037,3.95
8,20,0.45592592592592596,0.6962962962962963,4.3
9,20,0.455,0.7037037037037037,4.7
10,20,0.497962962962963,0.6962962962962963,4.45
11,20,0.46847222222222223,0.6490740740740741,4.55
12,20,0.5249537037037038,0.7037037037037037,5.4
13,20,0.4723148148148148,0.6675925925925926,4.8
14,20,0.4955555555555556,0.6962962962962963,5.15
