generation,population,mean_fitness,best_fitness,mean_novelty
0,10,0.6273148148148148,0.8240740740740741,0.5
1,12,0.6387345679012346,0.8240740740740741,0.9166666666666666
2,16,0.6257523148148149,0.8287037037037037,1.4375
3,15,0.6390123456790123,0.8287037037037037,1.6666666666666667
4,15,0.6419135802469136,0.8287037037037037,1.7333333333333334
5,14,0.6875,0.8287037037037037,1.7857142857142858
6,15,0.69,0.8287037037037037,1.8666666666666667
7,16,0.6703125,0.8240740740740741,2
8,18,0.6757716049382716,0.8240740740740741,2.2222222222222223
9,19,0.6742202729044834,0.8287037037037037,2.1578947368421053
10,20,0.6950925925925926,0.8240740740740741,2.3
11,18,0.6924897119341564,0.8240740740740741,2.2777777777777777
12,18,0.6911522633744857,0.8240740740740741,2.4444444444444446
13,17,0.7020152505446623,0.8287037037037037,2.5294117647058822
14,17,0.7037581699346406,0.8287037037037037,2.5294117647058822
