deck_id,class,real_win_rate_pct,sim_win_rate_pct,opponents_played,total_games
XNPU97nFIwjA5gqA0VTCVh,HUNTER,57.77,61.3,81,963
IFvkVpk7tebGhDbeYBuzwh,HUNTER,57.13,70.6,81,968
BhHo1AwfuSv7b6erdjBnTg,HUNTER,56.16,75.2,81,863
YVBw4ZnEhHbVIg18JVLQOc,HUNTER,55.81,69.1,81,974
P2dAZPEJMrMkLtCSrDyKCg,HUNTER,55.47,71.0,81,908
yA0iHHoVAUFkfSRdMKPavf,HUNTER,54.98,55.3,81,1039
DQsZq7LUYXBnHXFxHRsqk,HUNTER,54.21,55.3,81,991
FZ86Nnzj4w6Y1isfay5o4,HUNTER,53.12,57.8,81,946
NcEPltP5UgVmepahRAQhBh,HUNTER,52.53,61.7,81,921
01DZz9PbM26waMUAiV9IUb,HUNTER,52.39,69.3,81,933
kzzBTdbVLHk8EbV4U7GgGg,HUNTER,51.37,61.9,81,985
WVsjKkTE6emxZfZij1RAhf,HUNTER,51.3,79.6,81,818
JLzTkfLsBliNSYncejswse,HUNTER,51.18,65.7,81,986
Q2pFWFMUqQqMOX2uR62Vwd,HUNTER,51.18,73.6,81,914
a3pj0FrAWXbfCMC4EQyAwg,HUNTER,50.83,70.8,81,961
vuFZHcEJN9JHw6SWIj4YWg,HUNTER,50.06,53.8,81,1049
uI1vufYAxzDZiPLrtahpFc,HUNTER,50.05,56.7,81,1006
fNIJSKdf99TRS0FkivnKZe,HUNTER,47.56,44.9,81,943
WKTVLkYUI9QhPyVMTtFuk,MAGE,56.18,54.4,81,1080
hQx9rrPt91xHhoc0YEAuVe,MAGE,55.65,51.8,81,997
QS0Col1Pwn1OWOHRWdESog,MAGE,54.52,27.7,81,886
H7M550xsjzlwhzIkWMv2Ib,MAGE,52.2,29.2,81,870
w62ZbcFKeW30FqVpDhlqwc,MAGE,50.48,24.4,81,811
DWJuPRJY0GATP4j9siUu2b,MAGE,50.28,25.4,81,822
DmMrKrKDbrqu5u8LO38DXc,MAGE,50.13,28.9,81,845
bJxkplrDM9l5VlgobIROkc,MAGE,49.84,24.2,81,841
FCzIEU979baMl08QKCQSEd,MAGE,49.64,20.8,81,796
L2ouxLSDy0lCtmISDnGL4e,MAGE,49.46,25.2,81,858
zkPeeTuYBFoL6iMigO5GDf,MAGE,49.3,25.6,81,826
bNn2KnFNTYsrAmGsR7O4Id,MAGE,49.11,24.9,81,870
cTQemzFt7bVCUfBBsRlT2c,MAGE,49.07,23.4,81,824
bnsF3418vV9JEEu1EWDwRd,MAGE,48.93,15.7,81,723
AM7RrYb1bGssHbGbmAwRMe,MAGE,48.93,25.2,81,859
U2bGR3nrjlFGak6Wn4Xctc,MAGE,48.9,23.5,81,827
XCr5iZxfxiha9eBdlfDYwg,MAGE,48.84,22.8,81,786
3CsTJhLzwG6VIjUeAYt3Lf,MAGE,48.38,25.1,81,798
9aB7CXifYU5oSJUXjXNlFb,MAGE,47.83,25.0,81,859
g7PHtaBLTu4ifxHbTjDhUh,MAGE,47.72,21.1,81,800
mqFKbICVW9HXB0bWjyECGf,MAGE,47.72,30.6,81,926
xcrme7JRo8TxdpgM5bqxWd,MAGE,47.64,18.8,81,747
n4HTugwx1n8diW4XJ2eDDb,MAGE,46.98,23.8,81,832
pngxMXbV3XmvfPCgF3xX0g,MAGE,44.19,21.7,81,786
PnJvtTcHmGGdz7RjCISA1e,MAGE,44.0,28.4,81,867
877HKxBp4dErLUrZ8VMucg,MAGE,42.83,43.5,81,1081
IYFsReMLOuLXScbjtRYH3g,WARRIOR,61.33,67.6,81,910
smXaVVw0Q3aqnpMoXq1zXd,WARRIOR,60.72,67.8,81,919
UWpAxWmuLZmLdERTl4egQc,WARRIOR,60.66,58.3,81,922
zE4sbu8EwuPIxVoawBPmpe,WARRIOR,60.07,59.7,81,977
SzUcavTLr1Jijyh7Nh0EA,WARRIOR,59.9,63.0,81,943
NOVKOeWyusxMNVrlnKPnBd,WARRIOR,59.73,61.4,81,911
ACsKI1BleB8DLBYWrMxP5c,WARRIOR,59.52,62.1,81,995
mxq5zc6LIfB1psTuzpirSg,WARRIOR,59.38,62.4,81,987
j5q7sM7rBPsGDRsNW4b7te,WARRIOR,58.57,60.0,81,954
tNX8zFsd7CJ4oLheUj91of,WARRIOR,58.45,64.8,81,915
MA6HuCsO5VWpq2tdAFo6se,WARRIOR,58.45,66.1,81,914
gDVUvQ0xcTPe3BO9la4J5f,WARRIOR,58.42,67.0,81,986
LjPmJqcsjOn9MJOFPjNYBh,WARRIOR,58.16,60.7,81,940
ZU3H8esWy7ntXTdtBbBVAb,WARRIOR,58.16,79.1,81,816
pLmH3q1gWgkysP2ft4aMgh,WARRIOR,57.9,62.4,81,970
CUXLCYAwys87pM2We8bEmg,WARRIOR,57.89,54.1,81,931
lSooLG2qzkaTpvR5AbkcKg,WARRIOR,57.83,57.0,81,954
wxtv4DVWuuoY3UgVmJMwhc,WARRIOR,57.31,62.8,81,952
fCImvQUmyTZkT5zgJPPbSe,WARRIOR,57.2,67.5,81,910
3pRrYdwBfEF98Llu2ReURg,WARRIOR,56.98,67.8,81,941
hx6UhUB88ULmv88TQArWDb,WARRIOR,56.79,65.0,81,912
oHtciDIvLG3bnn7MnOO3Hb,WARRIOR,56.74,46.2,81,1088
qtV2632gSgif72gs5kmh6,WARRIOR,56.7,66.9,81,902
5qvniSFR6LhcGI3FAtlLRg,WARRIOR,56.25,64.8,81,935
nfM66Ofc20BZOQm9Z4mLYe,WARRIOR,56.13,63.4,81,943
pIuBxsMpflM8ARyXdRuNg,WARRIOR,56.04,58.7,81,1020
UxgfPLVjYlpsd7ZGU5mdkh,WARRIOR,55.68,73.0,81,862
lHry1fy4TsZR4BJiXHRW6c,WARRIOR,55.64,66.9,81,985
cXOxh6qcO9aL1C2bhKR2vf,WARRIOR,55.55,64.1,81,898
0kGM3ZlWBP6mmGxJGzJwd,WARRIOR,54.66,67.0,81,925
uxAIydV7tZt7MBK6HDZ11c,WARRIOR,54.14,46.8,81,1141
9BBDxxLTZGMLOpN9yVZBvf,WARRIOR,53.93,67.6,81,1040
DqwD72YeJ62yzY50o2jmIh,WARRIOR,47.62,34.1,81,923
15pVveNhLVY6cjh0EJyU0g,WARRIOR,45.41,23.8,81,866
RBGq1J9SDAhpfzhNEeMd5c,WARRIOR,43.81,63.0,81,860
dU20aiDJbo6hoIgM1SYg4,WARRIOR,39.9,24.5,81,838
DZjGWhUwSNLCiDsMISmNFc,WARRIOR,39.05,42.9,81,966
hNdJQBftX6cKEWl6CToyZc,WARRIOR,17.75,25.4,81,866
