deck_id,class,real_win_rate_pct,sim_win_rate_pct,opponents_played,total_games
XNPU97nFIwjA5gqA0VTCVh,HUNTER,57.77,64.6,81,952
IFvkVpk7tebGhDbeYBuzwh,HUNTER,57.13,74.6,81,896
BhHo1AwfuSv7b6erdjBnTg,HUNTER,56.16,71.1,81,893
YVBw4ZnEhHbVIg18JVLQOc,HUNTER,55.81,74.2,81,915
P2dAZPEJMrMkLtCSrDyKCg,HUNTER,55.47,75.7,81,906
yA0iHHoVAUFkfSRdMKPavf,HUNTER,54.98,57.6,81,1048
DQsZq7LUYXBnHXFxHRsqk,HUNTER,54.21,62.5,81,963
FZ86Nnzj4w6Y1isfay5o4,HUNTER,53.12,64.7,81,957
NcEPltP5UgVmepahRAQhBh,HUNTER,52.53,62.8,81,992
01DZz9PbM26waMUAiV9IUb,HUNTER,52.39,71.2,81,990
kzzBTdbVLHk8EbV4U7GgGg,HUNTER,51.37,63.6,81,980
WVsjKkTE6emxZfZij1RAhf,HUNTER,51.3,76.2,81,916
JLzTkfLsBliNSYncejswse,HUNTER,51.18,71.8,81,899
Q2pFWFMUqQqMOX2uR62Vwd,HUNTER,51.18,68.8,81,983
a3pj0FrAWXbfCMC4EQyAwg,HUNTER,50.83,66.8,81,973
vuFZHcEJN9JHw6SWIj4YWg,HUNTER,50.06,53.3,81,984
uI1vufYAxzDZiPLrtahpFc,HUNTER,50.05,54.4,81,979
fNIJSKdf99TRS0FkivnKZe,HUNTER,47.56,41.1,81,1000
WKTVLkYUI9QhPyVMTtFuk,MAGE,56.18,50.0,81,1106
hQx9rrPt91xHhoc0YEAuVe,MAGE,55.65,54.8,81,1094
QS0Col1Pwn1OWOHRWdESog,MAGE,54.52,32.1,81,910
H7M550xsjzlwhzIkWMv2Ib,MAGE,52.2,30.1,81,918
w62ZbcFKeW30FqVpDhlqwc,MAGE,50.48,24.6,81,844
DWJuPRJY0GATP4j9siUu2b,MAGE,50.28,23.4,81,802
DmMrKrKDbrqu5u8LO38DXc,MAGE,50.13,30.1,81,827
bJxkplrDM9l5VlgobIROkc,MAGE,49.84,25.4,81,870
FCzIEU979baMl08QKCQSEd,MAGE,49.64,22.5,81,821
L2ouxLSDy0lCtmISDnGL4e,MAGE,49.46,25.7,81,899
zkPeeTuYBFoL6iMigO5GDf,MAGE,49.3,29.9,81,942
bNn2KnFNTYsrAmGsR7O4Id,MAGE,49.11,26.0,81,848
cTQemzFt7bVCUfBBsRlT2c,MAGE,49.07,21.9,81,833
bnsF3418vV9JEEu1EWDwRd,MAGE,48.93,18.3,81,776
AM7RrYb1bGssHbGbmAwRMe,MAGE,48.93,30.6,81,887
U2bGR3nrjlFGak6Wn4Xctc,MAGE,48.9,21.1,81,849
XCr5iZxfxiha9eBdlfDYwg,MAGE,48.84,26.2,81,836
3CsTJhLzwG6VIjUeAYt3Lf,MAGE,48.38,27.5,81,925
9aB7CXifYU5oSJUXjXNlFb,MAGE,47.83,25.3,81,896
g7PHtaBLTu4ifxHbTjDhUh,MAGE,47.72,20.2,81,789
mqFKbICVW9HXB0bWjyECGf,MAGE,47.72,34.1,81,978
xcrme7JRo8TxdpgM5bqxWd,MAGE,47.64,19.4,81,772
n4HTugwx1n8diW4XJ2eDDb,MAGE,46.98,24.0,81,858
pngxMXbV3XmvfPCgF3xX0g,MAGE,44.19,26.1,81,859
PnJvtTcHmGGdz7RjCISA1e,MAGE,44.0,31.9,81,871
877HKxBp4dErLUrZ8VMucg,MAGE,42.83,39.8,81,1085
IYFsReMLOuLXScbjtRYH3g,WARRIOR,61.33,66.3,81,910
smXaVVw0Q3aqnpMoXq1zXd,WARRIOR,60.72,70.6,81,909
UWpAxWmuLZmLdERTl4egQc,WARRIOR,60.66,56.5,81,1040
zE4sbu8EwuPIxVoawBPmpe,WARRIOR,60.07,54.7,81,942
SzUcavTLr1Jijyh7Nh0EA,WARRIOR,59.9,62.6,81,1026
NOVKOeWyusxMNVrlnKPnBd,WARRIOR,59.73,52.2,81,954
ACsKI1BleB8DLBYWrMxP5c,WARRIOR,59.52,57.1,81,989
mxq5zc6LIfB1psTuzpirSg,WARRIOR,59.38,57.7,81,1018
j5q7sM7rBPsGDRsNW4b7te,WARRIOR,58.57,63.5,81,972
tNX8zFsd7CJ4oLheUj91of,WARRIOR,58.45,63.5,81,939
MA6HuCsO5VWpq2tdAFo6se,WARRIOR,58.45,65.4,81,950
gDVUvQ0xcTPe3BO9la4J5f,WARRIOR,58.42,60.0,81,961
LjPmJqcsjOn9MJOFPjNYBh,WARRIOR,58.16,58.0,81,1055
ZU3H8esWy7ntXTdtBbBVAb,WARRIOR,58.16,75.9,81,832
pLmH3q1gWgkysP2ft4aMgh,WARRIOR,57.9,62.2,81,1000
CUXLCYAwys87pM2We8bEmg,WARRIOR,57.89,55.1,81,999
lSooLG2qzkaTpvR5AbkcKg,WARRIOR,57.83,59.9,81,1030
wxtv4DVWuuoY3UgVmJMwhc,WARRIOR,57.31,62.3,81,940
fCImvQUmyTZkT5zgJPPbSe,WARRIOR,57.2,66.9,81,883
3pRrYdwBfEF98Llu2ReURg,WARRIOR,56.98,66.8,81,922
hx6UhUB88ULmv88TQArWDb,WARRIOR,56.79,68.4,81,926
oHtciDIvLG3bnn7MnOO3Hb,WARRIOR,56.74,46.8,81,1108
qtV2632gSgif72gs5kmh6,WARRIOR,56.7,59.4,81,971
5qvniSFR6LhcGI3FAtlLRg,WARRIOR,56.25,59.8,81,943
nfM66Ofc20BZOQm9Z4mLYe,WARRIOR,56.13,64.6,81,926
pIuBxsMpflM8ARyXdRuNg,WARRIOR,56.04,57.5,81,985
UxgfPLVjYlpsd7ZGU5mdkh,WARRIOR,55.68,70.3,81,968
lHry1fy4TsZR4BJiXHRW6c,WARRIOR,55.64,68.6,81,957
cXOxh6qcO9aL1C2bhKR2vf,WARRIOR,55.55,61.1,81,961
0kGM3ZlWBP6mmGxJGzJwd,WARRIOR,54.66,66.2,81,953
uxAIydV7tZt7MBK6HDZ11c,WARRIOR,54.14,47.4,81,1130
9BBDxxLTZGMLOpN9yVZBvf,WARRIOR,53.93,67.2,81,1008
DqwD72YeJ62yzY50o2jmIh,WARRIOR,47.62,30.9,81,905
15pVveNhLVY6cjh0EJyU0g,WARRIOR,45.41,22.0,81,830
RBGq1J9SDAhpfzhNEeMd5c,WARRIOR,43.81,61.3,81,1029
dU20aiDJbo6hoIgM1SYg4,WARRIOR,39.9,29.0,81,957
DZjGWhUwSNLCiDsMISmNFc,WARRIOR,39.05,39.0,81,1023
hNdJQBftX6cKEWl6CToyZc,WARRIOR,17.75,27.3,81,916
