deck_id,class,real_win_rate_pct,sim_win_rate_pct,opponents_played,total_games
tNX8zFsd7CJ4oLheUj91of,WARRIOR,58.45,51.3,23,246
JLzTkfLsBliNSYncejswse,HUNTER,51.18,65.3,23,256
IFvkVpk7tebGhDbeYBuzwh,HUNTER,57.13,73.2,23,268
AM7RrYb1bGssHbGbmAwRMe,MAGE,48.93,21.4,23,234
DQsZq7LUYXBnHXFxHRsqk,HUNTER,54.21,57.0,23,296
L2ouxLSDy0lCtmISDnGL4e,MAGE,49.46,21.9,23,236
01DZz9PbM26waMUAiV9IUb,HUNTER,52.39,73.3,23,258
NcEPltP5UgVmepahRAQhBh,HUNTER,52.53,60.7,23,251
kzzBTdbVLHk8EbV4U7GgGg,HUNTER,51.37,62.0,23,282
WKTVLkYUI9QhPyVMTtFuk,MAGE,56.18,53.1,23,282
uI1vufYAxzDZiPLrtahpFc,HUNTER,50.05,50.5,23,266
PnJvtTcHmGGdz7RjCISA1e,MAGE,44.0,24.0,23,232
lSooLG2qzkaTpvR5AbkcKg,WARRIOR,57.83,57.4,23,282
w62ZbcFKeW30FqVpDhlqwc,MAGE,50.48,22.2,23,179
oHtciDIvLG3bnn7MnOO3Hb,WARRIOR,56.74,56.5,23,310
qtV2632gSgif72gs5kmh6,WARRIOR,56.7,61.7,23,286
IYFsReMLOuLXScbjtRYH3g,WARRIOR,61.33,64.3,23,265
bNn2KnFNTYsrAmGsR7O4Id,MAGE,49.11,21.9,23,233
SzUcavTLr1Jijyh7Nh0EA,WARRIOR,59.9,55.7,23,267
15pVveNhLVY6cjh0EJyU0g,WARRIOR,45.41,30.6,23,257
WVsjKkTE6emxZfZij1RAhf,HUNTER,51.3,76.3,23,258
9aB7CXifYU5oSJUXjXNlFb,MAGE,47.83,16.9,23,198
LjPmJqcsjOn9MJOFPjNYBh,WARRIOR,58.16,61.1,23,266
XNPU97nFIwjA5gqA0VTCVh,HUNTER,57.77,61.6,23,274
