deck_id,class,real_win_rate_pct,sim_win_rate_pct,opponents_played,total_games
tNX8zFsd7CJ4oLheUj91of,WARRIOR,58.45,71.5,23,290
JLzTkfLsBliNSYncejswse,HUNTER,51.18,29.7,23,238
IFvkVpk7tebGhDbeYBuzwh,HUNTER,57.13,38.1,23,302
AM7RrYb1bGssHbGbmAwRMe,MAGE,48.93,65.6,23,248
DQsZq7LUYXBnHXFxHRsqk,HUNTER,54.21,27.5,23,259
L2ouxLSDy0lCtmISDnGL4e,MAGE,49.46,63.8,23,268
01DZz9PbM26waMUAiV9IUb,HUNTER,52.39,27.5,23,273
NcEPltP5UgVmepahRAQhBh,HUNTER,52.53,43.7,23,354
kzzBTdbVLHk8EbV4U7GgGg,HUNTER,51.37,26.9,23,270
WKTVLkYUI9QhPyVMTtFuk,MAGE,56.18,44.1,23,285
uI1vufYAxzDZiPLrtahpFc,HUNTER,50.05,21.6,23,239
PnJvtTcHmGGdz7RjCISA1e,MAGE,44.0,58.6,23,281
lSooLG2qzkaTpvR5AbkcKg,WARRIOR,57.83,72.9,23,281
w62ZbcFKeW30FqVpDhlqwc,MAGE,50.48,64.5,23,256
oHtciDIvLG3bnn7MnOO3Hb,WARRIOR,56.74,45.8,23,278
qtV2632gSgif72gs5kmh6,WARRIOR,56.7,75.4,23,267
IYFsReMLOuLXScbjtRYH3g,WARRIOR,61.33,75.5,23,258
bNn2KnFNTYsrAmGsR7O4Id,MAGE,49.11,56.2,23,248
SzUcavTLr1Jijyh7Nh0EA,WARRIOR,59.9,77.2,23,254
15pVveNhLVY6cjh0EJyU0g,WARRIOR,45.41,41.0,23,221
WVsjKkTE6emxZfZij1RAhf,HUNTER,51.3,29.1,23,276
9aB7CXifYU5oSJUXjXNlFb,MAGE,47.83,54.3,23,259
LjPmJqcsjOn9MJOFPjNYBh,WARRIOR,58.16,64.8,23,280
XNPU97nFIwjA5gqA0VTCVh,HUNTER,57.77,24.6,23,245
