card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abomination,0.0714,0.0,0.125,14,36,24
Abusive Sergeant,0.0714,0.0,0.0,14,36,24
Acidic Swamp Ooze,0.1429,0.4167,0.1667,14,36,24
Acolyte of Pain,0.0,0.1389,0.5,14,36,24
Alexstrasza,0.0714,0.0,0.5,14,36,24
Amani Berserker,0.0,0.4444,0.0,14,36,24
Ancient Brewmaster,0.0,0.0278,0.0417,14,36,24
Ancient Mage,0.0714,0.1389,0.0,14,36,24
Animal Companion,1.0,0.0,0.0,14,36,24
Arathi Weaponsmith,0.0,0.0,0.625,14,36,24
Arcane Explosion,0.0,0.25,0.0,14,36,24
Arcane Golem,0.0,0.0278,0.0833,14,36,24
Arcane Intellect,0.0,0.6111,0.0,14,36,24
Arcane Missiles,0.0,0.3611,0.0,14,36,24
Arcane Shot,0.5714,0.0,0.0,14,36,24
Arcanite Reaper,0.0,0.0,0.3333,14,36,24
Archmage Antonidas,0.0,0.4444,0.0,14,36,24
Argent Commander,0.0,0.25,0.2083,14,36,24
Argent Squire,0.0,0.1667,0.125,14,36,24
Armorsmith,0.0,0.0,0.6667,14,36,24
Azure Drake,0.0714,0.25,0.0,14,36,24
Baron Geddon,0.0,0.0278,0.125,14,36,24
Big Game Hunter,0.0,0.0,0.375,14,36,24
Blizzard,0.0,0.3333,0.0,14,36,24
Bloodfen Raptor,0.4286,0.0,0.0,14,36,24
Bloodsail Corsair,0.0,0.0556,0.0,14,36,24
Bloodsail Raider,0.0,0.0278,0.3333,14,36,24
Bluegill Warrior,0.0,0.0556,0.0,14,36,24
Booty Bay Bodyguard,0.0,0.0278,0.0,14,36,24
Boulderfist Ogre,0.0,0.1389,0.0417,14,36,24
Brawl,0.0,0.0,0.7083,14,36,24
Cairne Bloodhoof,0.0,0.1111,0.1667,14,36,24
Chillwind Yeti,0.0,0.1389,0.0833,14,36,24
Cleave,0.0,0.0,0.375,14,36,24
Coldlight Seer,0.0,0.0278,0.0,14,36,24
Commanding Shout,0.0,0.0,0.0417,14,36,24
Cone of Cold,0.0,0.1944,0.0,14,36,24
Counterspell,0.0,0.3889,0.0,14,36,24
Crazed Alchemist,0.0,0.0,0.0417,14,36,24
Cruel Taskmaster,0.0,0.0,0.6667,14,36,24
Dancing Swords,0.0,0.0,0.0833,14,36,24
Dark Iron Dwarf,0.0714,0.0278,0.2083,14,36,24
Darkscale Healer,0.0,0.0833,0.0,14,36,24
Deadly Shot,0.9286,0.0,0.0,14,36,24
Defender of Argus,0.2143,0.2222,0.4583,14,36,24
Demolisher,0.0,0.0556,0.0,14,36,24
Dire Wolf Alpha,0.2857,0.1389,0.1667,14,36,24
Doomsayer,0.0,0.0278,0.0,14,36,24
Dragonling Mechanic,0.0,0.1111,0.0417,14,36,24
Dread Corsair,0.1429,0.0,0.0,14,36,24
Eaglehorn Bow,0.1429,0.0,0.0,14,36,24
Earthen Ring Farseer,0.0,0.1944,0.0,14,36,24
Echoing Ooze,0.0714,0.0833,0.0417,14,36,24
Elite Tauren Chieftain,0.0,0.0556,0.0833,14,36,24
Elven Archer,0.0,0.0278,0.1667,14,36,24
Emperor Cobra,0.2857,0.1389,0.1667,14,36,24
Ethereal Arcanist,0.0,0.5,0.0,14,36,24
Execute,0.0,0.0,0.8333,14,36,24
Explosive Trap,0.5,0.0,0.0,14,36,24
Faceless Manipulator,0.1429,0.2222,0.0,14,36,24
Faerie Dragon,0.0,0.2222,0.125,14,36,24
Fen Creeper,0.0,0.0278,0.0417,14,36,24
Fiery War Axe,0.0,0.0,0.9583,14,36,24
Fireball,0.0,0.9722,0.0,14,36,24
Flamestrike,0.0,0.8611,0.0,14,36,24
Flare,0.7857,0.0,0.0,14,36,24
Flesheating Ghoul,0.0714,0.0,0.0,14,36,24
Freezing Trap,0.1429,0.0,0.0,14,36,24
Frost Elemental,0.2143,0.0,0.0,14,36,24
Frost Nova,0.0,0.0833,0.0,14,36,24
Frostbolt,0.0,1.0,0.0,14,36,24
Frostwolf Warlord,0.0,0.0,0.0417,14,36,24
Frothing Berserker,0.0,0.0,0.5417,14,36,24
Gadgetzan Auctioneer,0.1429,0.0,0.0,14,36,24
Gladiator's Longbow,0.0714,0.0,0.0,14,36,24
Goldshire Footman,0.0,0.0278,0.0,14,36,24
Gorehowl,0.0,0.0,0.5833,14,36,24
Grommash Hellscream,0.0,0.0,0.6667,14,36,24
Gurubashi Berserker,0.0714,0.2222,0.0417,14,36,24
Harvest Golem,0.0,0.0833,0.2917,14,36,24
Haunted Creeper,0.3571,0.0,0.0,14,36,24
Heroic Strike,0.0,0.0,0.2917,14,36,24
Houndmaster,1.0,0.0,0.0,14,36,24
Hungry Crab,0.0,0.0,0.1667,14,36,24
Hunter's Mark,0.5,0.0,0.0,14,36,24
Ice Barrier,0.0,0.5278,0.0,14,36,24
Ice Block,0.0,0.3056,0.0,14,36,24
Imp Master,0.0714,0.0,0.0,14,36,24
Injured Blademaster,0.0,0.0833,0.0,14,36,24
Ironbeak Owl,0.2857,0.0,0.1667,14,36,24
Ironfur Grizzly,0.5,0.0,0.1667,14,36,24
Jungle Panther,0.0,0.0,0.0417,14,36,24
Kel'Thuzad,0.0714,0.0,0.0,14,36,24
Kill Command,0.6429,0.0,0.0,14,36,24
King Krush,0.2143,0.0,0.0,14,36,24
Kirin Tor Mage,0.0,0.5278,0.0,14,36,24
Knife Juggler,0.0714,0.0556,0.3333,14,36,24
Kor'kron Elite,0.0,0.0,0.2917,14,36,24
Leeroy Jenkins,0.0,0.1944,0.2917,14,36,24
Leper Gnome,0.0714,0.1389,0.2917,14,36,24
Lightwarden,0.0,0.0833,0.0417,14,36,24
Loatheb,0.0,0.0,0.125,14,36,24
Loot Hoarder,0.0,0.0,0.2083,14,36,24
Lord of the Arena,0.0714,0.0,0.0,14,36,24
Lorewalker Cho,0.0,0.0833,0.0,14,36,24
Mad Bomber,0.1429,0.1389,0.0,14,36,24
Mad Scientist,0.2143,0.0278,0.0,14,36,24
Mana Addict,0.0,0.1389,0.0,14,36,24
Mana Wyrm,0.0,0.9722,0.0,14,36,24
Master Swordsmith,0.0,0.1389,0.1667,14,36,24
Millhouse Manastorm,0.0,0.1111,0.0,14,36,24
Mind Control Tech,0.0,0.0833,0.0,14,36,24
Mirror Entity,0.0,0.5556,0.0,14,36,24
Mirror Image,0.0,0.1944,0.0,14,36,24
Misdirection,0.2143,0.0,0.0,14,36,24
Mogu'shan Warden,0.0,0.1389,0.0,14,36,24
Mortal Strike,0.0,0.0,0.125,14,36,24
Multi-Shot,0.4286,0.0,0.0,14,36,24
Murloc Raider,0.0,0.0556,0.0,14,36,24
Murloc Tidehunter,0.0,0.0278,0.0417,14,36,24
Nat Pagle,0.2857,0.0833,0.0,14,36,24
Nerub'ar Weblord,0.1429,0.0,0.0,14,36,24
Nerubian Egg,0.0,0.0,0.0417,14,36,24
Nightblade,0.0,0.1389,0.125,14,36,24
Novice Engineer,0.0714,0.0,0.0,14,36,24
Oasis Snapjaw,0.0,0.0,0.0417,14,36,24
Ogre Magi,0.0,0.1944,0.0,14,36,24
Pint-Sized Summoner,0.0714,0.1111,0.0,14,36,24
Polymorph,0.0,0.75,0.0,14,36,24
Priestess of Elune,0.0714,0.0,0.0,14,36,24
Pyroblast,0.0,0.4722,0.0,14,36,24
Raging Worgen,0.0,0.0,0.0417,14,36,24
Ragnaros the Firelord,0.0,0.1111,0.6667,14,36,24
Raid Leader,0.0,0.0278,0.1667,14,36,24
Ravenholdt Assassin,0.0,0.1667,0.0,14,36,24
Razorfen Hunter,0.0,0.0278,0.125,14,36,24
River Crocolisk,0.2857,0.0278,0.0,14,36,24
Savannah Highmane,0.5714,0.0,0.0,14,36,24
Scarlet Crusader,0.0,0.0,0.1667,14,36,24
Scavenging Hyena,0.7143,0.0,0.0,14,36,24
Sea Giant,0.0,0.1667,0.0417,14,36,24
Secretkeeper,0.0,0.3889,0.0,14,36,24
Sen'jin Shieldmasta,0.0,0.0,0.0833,14,36,24
Shattered Sun Cleric,0.0,0.2778,0.1667,14,36,24
Shield Block,0.0,0.0,0.5,14,36,24
Shield Slam,0.0,0.0,0.6667,14,36,24
Shieldbearer,0.2143,0.0,0.1667,14,36,24
Silver Hand Knight,0.0,0.0,0.0417,14,36,24
Slam,0.0,0.0,0.375,14,36,24
Sludge Belcher,0.5,0.2778,0.3333,14,36,24
Snake Trap,0.4286,0.0,0.0,14,36,24
Snipe,0.1429,0.0,0.0,14,36,24
Sorcerer's Apprentice,0.0,0.3889,0.0,14,36,24
Southsea Deckhand,0.1429,0.0278,0.0417,14,36,24
Spellbreaker,0.0,0.1111,0.1667,14,36,24
Spiteful Smith,0.0,0.0,0.1667,14,36,24
Stalagg,0.0,0.0278,0.0417,14,36,24
Stampeding Kodo,0.0714,0.0,0.0833,14,36,24
Starving Buzzard,0.9286,0.0,0.0,14,36,24
Stonetusk Boar,0.3571,0.0,0.0417,14,36,24
Stormpike Commando,0.0714,0.0,0.0,14,36,24
Stormwind Champion,0.0,0.2222,0.0,14,36,24
Stranglethorn Tiger,0.0,0.0,0.0417,14,36,24
Sunfury Protector,0.0,0.0,0.0417,14,36,24
Sunwalker,0.0,0.1111,0.0833,14,36,24
Sylvanas Windrunner,0.0714,0.0278,0.2917,14,36,24
Tauren Warrior,0.0,0.0833,0.0,14,36,24
The Black Knight,0.0,0.1389,0.2917,14,36,24
Thrallmar Farseer,0.0,0.0,0.0417,14,36,24
Timber Wolf,0.8571,0.0,0.0,14,36,24
Tracking,0.3571,0.0,0.0,14,36,24
Tundra Rhino,0.4286,0.0,0.0,14,36,24
Unleash the Hounds,1.0,0.0,0.0,14,36,24
Upgrade!,0.0,0.0,0.1667,14,36,24
Vaporize,0.0,0.3611,0.0,14,36,24
Violet Teacher,0.0,0.1667,0.0833,14,36,24
Voodoo Doctor,0.2857,0.0556,0.0,14,36,24
Wailing Soul,0.0,0.0278,0.0,14,36,24
War Golem,0.0,0.0,0.0833,14,36,24
Warsong Commander,0.0,0.0,0.1667,14,36,24
Water Elemental,0.0,0.5278,0.0,14,36,24
Webspinner,0.4286,0.0,0.0,14,36,24
Whirlwind,0.0,0.0,0.6667,14,36,24
Wild Pyromancer,0.0,0.1111,0.0,14,36,24
Wisp,0.0,0.3056,0.2083,14,36,24
Wolfrider,0.0,0.0,0.0417,14,36,24
Worgen Infiltrator,0.2143,0.0,0.0417,14,36,24
Young Priestess,0.0,0.1667,0.0417,14,36,24
Youthful Brewmaster,0.0,0.0278,0.0,14,36,24
Ysera,0.0,0.1667,0.4583,14,36,24
