card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abomination,0.0,0.0,0.0952,15,37,21
Abusive Sergeant,0.1333,0.027,0.0,15,37,21
Acidic Swamp Ooze,0.0,0.4054,0.1905,15,37,21
Acolyte of Pain,0.0,0.0541,0.381,15,37,21
Alexstrasza,0.0,0.2162,0.2857,15,37,21
Amani Berserker,0.0,0.2432,0.0,15,37,21
Ancient Brewmaster,0.0,0.027,0.2381,15,37,21
Ancient Mage,0.0,0.027,0.0,15,37,21
Ancient Watcher,0.0,0.0,0.0476,15,37,21
Angry Chicken,0.0,0.027,0.0,15,37,21
Animal Companion,1.0,0.0,0.0,15,37,21
Arathi Weaponsmith,0.0,0.0,0.4286,15,37,21
Arcane Explosion,0.0,0.0541,0.0,15,37,21
Arcane Golem,0.1333,0.0,0.0,15,37,21
Arcane Intellect,0.0,0.8108,0.0,15,37,21
Arcane Missiles,0.0,0.3514,0.0,15,37,21
Arcane Shot,0.2667,0.0,0.0,15,37,21
Arcanite Reaper,0.0,0.0,0.2381,15,37,21
Archmage Antonidas,0.0,0.5405,0.0,15,37,21
Argent Commander,0.0,0.0541,0.4286,15,37,21
Argent Squire,0.0,0.0541,0.1905,15,37,21
Armorsmith,0.0,0.0,0.381,15,37,21
Azure Drake,0.0,0.3243,0.2381,15,37,21
Baron Geddon,0.0667,0.027,0.381,15,37,21
Baron Rivendare,0.1333,0.0811,0.0476,15,37,21
Big Game Hunter,0.0,0.0,0.1429,15,37,21
Blizzard,0.0,0.5405,0.0,15,37,21
Blood Knight,0.0667,0.0811,0.0,15,37,21
Bloodfen Raptor,0.0,0.0,0.0476,15,37,21
Bloodmage Thalnos,0.0667,0.2703,0.0,15,37,21
Bloodsail Corsair,0.0,0.1351,0.0,15,37,21
Bloodsail Raider,0.0,0.0,0.3333,15,37,21
Bluegill Warrior,0.0,0.3243,0.0476,15,37,21
Booty Bay Bodyguard,0.0,0.0,0.0952,15,37,21
Boulderfist Ogre,0.0,0.0541,0.2381,15,37,21
Brawl,0.0,0.0,0.1905,15,37,21
Cairne Bloodhoof,0.0,0.1622,0.4286,15,37,21
Chillwind Yeti,0.0,0.0541,0.1905,15,37,21
Cleave,0.0,0.0,0.1429,15,37,21
Coldlight Oracle,0.0,0.0541,0.0,15,37,21
Commanding Shout,0.0,0.0,0.1905,15,37,21
Cone of Cold,0.0,0.1892,0.0,15,37,21
Counterspell,0.0,0.3243,0.0,15,37,21
Crazed Alchemist,0.0,0.027,0.0,15,37,21
Cruel Taskmaster,0.0,0.0,0.381,15,37,21
Cult Master,0.0,0.0,0.1905,15,37,21
Dancing Swords,0.0,0.027,0.0,15,37,21
Dark Iron Dwarf,0.0,0.0,0.381,15,37,21
Darkscale Healer,0.0,0.1081,0.0,15,37,21
Deadly Shot,0.5333,0.0,0.0,15,37,21
Deathlord,0.1333,0.0,0.0,15,37,21
Defender of Argus,0.4,0.2162,0.1905,15,37,21
Dire Wolf Alpha,0.2,0.027,0.2857,15,37,21
Doomsayer,0.0,0.0541,0.0,15,37,21
Dragonling Mechanic,0.0,0.0,0.0476,15,37,21
Eaglehorn Bow,0.4667,0.0,0.0,15,37,21
Earthen Ring Farseer,0.0,0.2703,0.0,15,37,21
Echoing Ooze,0.0667,0.0,0.0,15,37,21
Elite Tauren Chieftain,0.0,0.1081,0.0476,15,37,21
Elven Archer,0.0,0.0,0.1905,15,37,21
Emperor Cobra,0.0667,0.0,0.0,15,37,21
Ethereal Arcanist,0.0,0.1351,0.0,15,37,21
Execute,0.0,0.0,0.5714,15,37,21
Explosive Trap,0.6,0.0,0.0,15,37,21
Faceless Manipulator,0.0,0.2432,0.0476,15,37,21
Faerie Dragon,0.0,0.1081,0.2381,15,37,21
Feugen,0.0,0.1622,0.0,15,37,21
Fiery War Axe,0.0,0.0,0.8095,15,37,21
Fireball,0.0,1.0,0.0,15,37,21
Flamestrike,0.0,0.7027,0.0,15,37,21
Flare,1.0,0.0,0.0,15,37,21
Flesheating Ghoul,0.1333,0.0,0.0,15,37,21
Freezing Trap,0.3333,0.0,0.0,15,37,21
Frost Elemental,0.0,0.0,0.1429,15,37,21
Frost Nova,0.0,0.1892,0.0,15,37,21
Frostbolt,0.0,1.0,0.0,15,37,21
Frostwolf Grunt,0.0,0.1622,0.0,15,37,21
Frothing Berserker,0.0,0.0,0.8095,15,37,21
Gadgetzan Auctioneer,0.0667,0.0541,0.0,15,37,21
Gnomish Inventor,0.0,0.0,0.0476,15,37,21
Gorehowl,0.0,0.0,0.4762,15,37,21
Grommash Hellscream,0.0,0.0,0.3333,15,37,21
Gurubashi Berserker,0.1333,0.1622,0.0,15,37,21
Harvest Golem,0.0,0.0541,0.3333,15,37,21
Haunted Creeper,0.2667,0.027,0.0476,15,37,21
Heroic Strike,0.0,0.0,0.3333,15,37,21
Houndmaster,0.6667,0.0,0.0,15,37,21
Hungry Crab,0.0,0.0,0.0476,15,37,21
Hunter's Mark,0.5333,0.0,0.0,15,37,21
Ice Barrier,0.0,0.4865,0.0,15,37,21
Ice Block,0.0,0.5405,0.0,15,37,21
Ice Lance,0.0,0.0541,0.0,15,37,21
Imp Master,0.0667,0.0,0.0,15,37,21
Injured Blademaster,0.0,0.027,0.0952,15,37,21
Ironbeak Owl,0.4,0.0,0.2857,15,37,21
Ironfur Grizzly,0.0,0.0,0.0476,15,37,21
Jungle Panther,0.0,0.0,0.0952,15,37,21
Kill Command,0.9333,0.0,0.0,15,37,21
Kirin Tor Mage,0.0,0.4324,0.0,15,37,21
Knife Juggler,0.0667,0.0,0.1905,15,37,21
Kobold Geomancer,0.0,0.0541,0.0,15,37,21
Kor'kron Elite,0.0,0.0,0.619,15,37,21
Leeroy Jenkins,0.1333,0.0541,0.0476,15,37,21
Leper Gnome,0.2,0.0541,0.381,15,37,21
Loatheb,0.0,0.027,0.0952,15,37,21
Loot Hoarder,0.0667,0.0541,0.2857,15,37,21
Mad Bomber,0.2667,0.1081,0.0476,15,37,21
Mad Scientist,0.3333,0.1081,0.2381,15,37,21
Mana Addict,0.0667,0.0811,0.0952,15,37,21
Mana Wyrm,0.0,0.6757,0.0,15,37,21
Master Swordsmith,0.0,0.027,0.1905,15,37,21
Millhouse Manastorm,0.0,0.0541,0.0,15,37,21
Mirror Entity,0.0,0.4324,0.0,15,37,21
Mirror Image,0.0,0.2432,0.0,15,37,21
Misdirection,0.1333,0.0,0.0,15,37,21
Mogu'shan Warden,0.0667,0.027,0.0,15,37,21
Molten Giant,0.0667,0.1081,0.0,15,37,21
Mortal Strike,0.0,0.0,0.381,15,37,21
Mountain Giant,0.0,0.1081,0.0,15,37,21
Multi-Shot,0.2667,0.0,0.0,15,37,21
Murloc Tidehunter,0.0,0.0,0.0476,15,37,21
Nat Pagle,0.0,0.027,0.0,15,37,21
Nerub'ar Weblord,0.5333,0.027,0.0,15,37,21
Nerubian Egg,0.0,0.0,0.0476,15,37,21
Nightblade,0.0,0.0541,0.1905,15,37,21
Novice Engineer,0.1333,0.0541,0.0,15,37,21
Oasis Snapjaw,0.0,0.027,0.0,15,37,21
Ogre Magi,0.0,0.0541,0.0,15,37,21
Pint-Sized Summoner,0.0,0.027,0.0,15,37,21
Polymorph,0.0,0.7027,0.0,15,37,21
Pyroblast,0.0,0.4324,0.0,15,37,21
Questing Adventurer,0.0,0.027,0.0,15,37,21
Raging Worgen,0.0,0.0,0.2381,15,37,21
Ragnaros the Firelord,0.0,0.2162,0.2381,15,37,21
Raid Leader,0.0,0.027,0.0,15,37,21
Ravenholdt Assassin,0.0,0.0541,0.1905,15,37,21
Razorfen Hunter,0.0,0.0,0.1905,15,37,21
Reckless Rocketeer,0.0,0.027,0.0,15,37,21
River Crocolisk,0.4667,0.0,0.0476,15,37,21
Savannah Highmane,0.8,0.0,0.0,15,37,21
Scarlet Crusader,0.0,0.0,0.1905,15,37,21
Scavenging Hyena,0.6,0.0,0.0,15,37,21
Sea Giant,0.0,0.0,0.1905,15,37,21
Secretkeeper,0.0,0.3784,0.0476,15,37,21
Sen'jin Shieldmasta,0.0,0.2162,0.4286,15,37,21
Shade of Naxxramas,0.0667,0.0,0.0,15,37,21
Shattered Sun Cleric,0.0,0.0811,0.1905,15,37,21
Shield Block,0.0,0.0,0.381,15,37,21
Shield Slam,0.0,0.0,0.381,15,37,21
Shieldbearer,0.0,0.0541,0.1429,15,37,21
Silver Hand Knight,0.0,0.0811,0.1905,15,37,21
Slam,0.0,0.0,0.381,15,37,21
Sludge Belcher,0.1333,0.3784,0.2857,15,37,21
Snipe,0.2667,0.0,0.0,15,37,21
Sorcerer's Apprentice,0.0,0.6216,0.0,15,37,21
Southsea Deckhand,0.1333,0.0,0.0,15,37,21
Spellbender,0.0,0.027,0.0,15,37,21
Spellbreaker,0.0,0.027,0.0,15,37,21
Stalagg,0.0,0.0,0.1905,15,37,21
Stampeding Kodo,0.3333,0.0,0.0,15,37,21
Starving Buzzard,0.8,0.0,0.0,15,37,21
Stoneskin Gargoyle,0.0,0.0,0.0476,15,37,21
Stonetusk Boar,0.5333,0.0,0.0,15,37,21
Stormwind Champion,0.0,0.1351,0.0,15,37,21
Stormwind Knight,0.0,0.027,0.0,15,37,21
Stranglethorn Tiger,0.0,0.027,0.0952,15,37,21
Sunwalker,0.0,0.1622,0.2381,15,37,21
Sylvanas Windrunner,0.0,0.1081,0.0,15,37,21
Tauren Warrior,0.0,0.1351,0.0,15,37,21
The Black Knight,0.1333,0.0541,0.2381,15,37,21
Timber Wolf,0.6667,0.0,0.0,15,37,21
Tracking,0.3333,0.0,0.0,15,37,21
Unleash the Hounds,1.0,0.0,0.0,15,37,21
Upgrade!,0.0,0.0,0.0476,15,37,21
Vaporize,0.0,0.5676,0.0,15,37,21
Violet Teacher,0.0,0.027,0.1905,15,37,21
Voodoo Doctor,0.1333,0.0,0.0,15,37,21
Wailing Soul,0.0,0.027,0.0,15,37,21
Warsong Commander,0.0,0.0,0.2857,15,37,21
Water Elemental,0.0,0.3784,0.0,15,37,21
Webspinner,0.1333,0.0,0.0,15,37,21
Whirlwind,0.0,0.0,0.381,15,37,21
Wild Pyromancer,0.0,0.1351,0.0,15,37,21
Wisp,0.1333,0.1081,0.0,15,37,21
Wolfrider,0.1333,0.0,0.1905,15,37,21
Worgen Infiltrator,0.0,0.0,0.1905,15,37,21
Young Dragonhawk,0.0,0.0,0.0476,15,37,21
Young Priestess,0.0,0.027,0.0,15,37,21
Ysera,0.0,0.0,0.2381,15,37,21
Zombie Chow,0.3333,0.0,0.0,15,37,21
