card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abusive Sergeant,0.0,0.0,0.037,16,44,27
Acidic Swamp Ooze,0.0,0.1136,0.0,16,44,27
Acolyte of Pain,0.0,0.0682,1.0,16,44,27
Alarm-o-Bot,0.0,0.0,0.0741,16,44,27
Alexstrasza,0.1875,0.2955,0.5185,16,44,27
Amani Berserker,0.1875,0.0682,0.4074,16,44,27
Ancient Watcher,0.125,0.0,0.0,16,44,27
Animal Companion,1.0,0.0,0.0,16,44,27
Arcane Explosion,0.0,0.1136,0.0,16,44,27
Arcane Intellect,0.0,0.7727,0.0,16,44,27
Arcane Missiles,0.0,0.6136,0.0,16,44,27
Arcane Shot,0.5625,0.0,0.0,16,44,27
Arcanite Reaper,0.0,0.0,0.3704,16,44,27
Archmage,0.0,0.0227,0.0,16,44,27
Archmage Antonidas,0.0,0.3636,0.0,16,44,27
Argent Commander,0.0,0.0455,0.2963,16,44,27
Armorsmith,0.0,0.0,0.6296,16,44,27
Azure Drake,0.1875,0.1818,0.1481,16,44,27
Baron Geddon,0.0625,0.0227,0.2222,16,44,27
Baron Rivendare,0.1875,0.1818,0.0,16,44,27
Battle Rage,0.0,0.0,0.037,16,44,27
Big Game Hunter,0.125,0.1136,0.0741,16,44,27
Blizzard,0.0,0.3182,0.0,16,44,27
Blood Knight,0.125,0.0455,0.0,16,44,27
Bloodfen Raptor,0.1875,0.0,0.0,16,44,27
Bloodmage Thalnos,0.0,0.3182,0.037,16,44,27
Bloodsail Corsair,0.0,0.1136,0.0,16,44,27
Bluegill Warrior,0.0,0.0227,0.0,16,44,27
Boulderfist Ogre,0.25,0.0909,0.0,16,44,27
Brawl,0.0,0.0,0.4815,16,44,27
Cairne Bloodhoof,0.0,0.4318,0.2593,16,44,27
Charge,0.0,0.0,0.2222,16,44,27
Cleave,0.0,0.0,0.037,16,44,27
Coldlight Oracle,0.0625,0.1364,0.2222,16,44,27
Commanding Shout,0.0,0.0,0.037,16,44,27
Cone of Cold,0.0,0.25,0.0,16,44,27
Core Hound,0.0,0.0455,0.0,16,44,27
Counterspell,0.0,0.0455,0.0,16,44,27
Crazed Alchemist,0.0,0.0455,0.0,16,44,27
Cruel Taskmaster,0.0,0.0,0.8889,16,44,27
Cult Master,0.0,0.0,0.1111,16,44,27
Dalaran Mage,0.0,0.0455,0.0,16,44,27
Dark Iron Dwarf,0.0,0.0,0.037,16,44,27
Darkscale Healer,0.0,0.0227,0.0,16,44,27
Deadly Shot,0.75,0.0,0.0,16,44,27
Death's Bite,0.0,0.0,0.5185,16,44,27
Deathlord,0.375,0.0,0.0,16,44,27
Defender of Argus,0.0625,0.1136,0.037,16,44,27
Dire Wolf Alpha,0.1875,0.0227,0.0741,16,44,27
Doomsayer,0.0,0.25,0.037,16,44,27
Dread Corsair,0.0,0.0227,0.0,16,44,27
Duplicate,0.0,0.1818,0.0,16,44,27
Eaglehorn Bow,0.5625,0.0,0.0,16,44,27
Earthen Ring Farseer,0.0,0.0682,0.0,16,44,27
Elite Tauren Chieftain,0.0,0.0227,0.037,16,44,27
Elven Archer,0.25,0.0682,0.0,16,44,27
Ethereal Arcanist,0.0,0.1591,0.0,16,44,27
Execute,0.0,0.0,0.6296,16,44,27
Explosive Shot,0.0625,0.0,0.0,16,44,27
Explosive Trap,0.375,0.0,0.0,16,44,27
Faceless Manipulator,0.0,0.0682,0.1481,16,44,27
Faerie Dragon,0.0,0.2045,0.0,16,44,27
Feugen,0.0,0.1591,0.1481,16,44,27
Fiery War Axe,0.0,0.0,0.963,16,44,27
Fireball,0.0,0.6136,0.0,16,44,27
Flamestrike,0.0,0.6591,0.0,16,44,27
Flare,0.4375,0.0,0.0,16,44,27
Flesheating Ghoul,0.0,0.0227,0.0,16,44,27
Freezing Trap,0.8125,0.0,0.0,16,44,27
Frost Elemental,0.0,0.0682,0.2222,16,44,27
Frost Nova,0.0,0.5227,0.0,16,44,27
Frostbolt,0.0,0.9318,0.0,16,44,27
Frostwolf Grunt,0.3125,0.1364,0.0,16,44,27
Frothing Berserker,0.0,0.0,0.4074,16,44,27
Gadgetzan Auctioneer,0.0,0.0455,0.037,16,44,27
Gnomish Inventor,0.0,0.0909,0.2593,16,44,27
Goldshire Footman,0.0,0.1136,0.037,16,44,27
Gorehowl,0.0,0.0,0.3333,16,44,27
Grommash Hellscream,0.0,0.0,0.4074,16,44,27
Harrison Jones,0.0,0.0227,0.037,16,44,27
Harvest Golem,0.0,0.2727,0.0741,16,44,27
Haunted Creeper,0.6875,0.0682,0.0,16,44,27
Heroic Strike,0.0,0.0,0.3333,16,44,27
Houndmaster,0.625,0.0,0.0,16,44,27
Hunter's Mark,1.0,0.0,0.0,16,44,27
Ice Barrier,0.0,0.4091,0.0,16,44,27
Ice Block,0.0,0.6136,0.0,16,44,27
Ice Lance,0.0,0.2955,0.0,16,44,27
Imp Master,0.0,0.0909,0.0,16,44,27
Injured Blademaster,0.25,0.0,0.1111,16,44,27
Inner Rage,0.0,0.0,0.3704,16,44,27
Ironbeak Owl,0.0,0.0909,0.0,16,44,27
Ironforge Rifleman,0.0,0.0682,0.037,16,44,27
Ironfur Grizzly,0.1875,0.0,0.0741,16,44,27
Jungle Panther,0.125,0.0455,0.0,16,44,27
Kel'Thuzad,0.0,0.1136,0.0,16,44,27
Kill Command,0.6875,0.0,0.0,16,44,27
Kirin Tor Mage,0.0,0.2273,0.0,16,44,27
