card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abusive Sergeant,0.05,0.05,0.0,20,20,20
Acidic Swamp Ooze,0.0,0.0,0.1,20,20,20
Acolyte of Pain,0.0,0.15,0.7,20,20,20
Alexstrasza,0.0,0.2,0.45,20,20,20
Amani Berserker,0.15,0.05,0.1,20,20,20
Ancient Watcher,0.1,0.0,0.0,20,20,20
Animal Companion,0.95,0.0,0.0,20,20,20
Arathi Weaponsmith,0.0,0.0,0.2,20,20,20
Arcane Explosion,0.0,0.05,0.0,20,20,20
Arcane Golem,0.05,0.05,0.0,20,20,20
Arcane Intellect,0.0,0.95,0.0,20,20,20
Arcane Missiles,0.0,0.8,0.0,20,20,20
Arcane Shot,0.3,0.0,0.0,20,20,20
Arcanite Reaper,0.0,0.0,0.1,20,20,20
Archmage Antonidas,0.0,0.55,0.0,20,20,20
Argent Commander,0.0,0.0,0.45,20,20,20
Argent Squire,0.0,0.2,0.1,20,20,20
Armorsmith,0.0,0.0,0.7,20,20,20
Azure Drake,0.0,0.3,0.2,20,20,20
Baron Geddon,0.0,0.2,0.55,20,20,20
Baron Rivendare,0.0,0.0,0.05,20,20,20
Battle Rage,0.0,0.0,0.1,20,20,20
Big Game Hunter,0.0,0.0,0.1,20,20,20
Blizzard,0.0,0.7,0.0,20,20,20
Bloodmage Thalnos,0.0,0.55,0.0,20,20,20
Bloodsail Raider,0.0,0.0,0.1,20,20,20
Bluegill Warrior,0.05,0.05,0.0,20,20,20
Boulderfist Ogre,0.05,0.1,0.0,20,20,20
Brawl,0.0,0.0,0.45,20,20,20
Cairne Bloodhoof,0.0,0.05,0.7,20,20,20
Captain's Parrot,0.0,0.05,0.0,20,20,20
Charge,0.0,0.0,0.2,20,20,20
Chillwind Yeti,0.15,0.0,0.0,20,20,20
Cleave,0.0,0.0,0.2,20,20,20
Coldlight Oracle,0.0,0.05,0.0,20,20,20
Cone of Cold,0.0,0.2,0.0,20,20,20
Core Hound,0.0,0.05,0.0,20,20,20
Cruel Taskmaster,0.0,0.0,0.6,20,20,20
Cult Master,0.2,0.0,0.0,20,20,20
Dalaran Mage,0.0,0.45,0.15,20,20,20
Dark Iron Dwarf,0.0,0.0,0.1,20,20,20
Darkscale Healer,0.0,0.0,0.05,20,20,20
Deadly Shot,0.8,0.0,0.0,20,20,20
Defender of Argus,0.0,0.05,0.1,20,20,20
Demolisher,0.15,0.0,0.0,20,20,20
Dire Wolf Alpha,0.0,0.05,0.0,20,20,20
Doomsayer,0.0,0.0,0.15,20,20,20
Eaglehorn Bow,0.5,0.0,0.0,20,20,20
Earthen Ring Farseer,0.0,0.1,0.0,20,20,20
Echoing Ooze,0.45,0.0,0.0,20,20,20
Elven Archer,0.0,0.05,0.0,20,20,20
Emperor Cobra,0.0,0.0,0.25,20,20,20
Execute,0.0,0.0,0.85,20,20,20
Explosive Shot,0.05,0.0,0.0,20,20,20
Explosive Trap,0.5,0.0,0.0,20,20,20
Faerie Dragon,0.0,0.0,0.1,20,20,20
Fen Creeper,0.0,0.05,0.0,20,20,20
Fiery War Axe,0.0,0.0,1.0,20,20,20
Fireball,0.0,1.0,0.0,20,20,20
Flamestrike,0.0,0.9,0.0,20,20,20
Flare,0.8,0.0,0.0,20,20,20
