card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abusive Sergeant,0.125,0.1026,0.0,16,39,27
Acidic Swamp Ooze,0.0,0.0513,0.0741,16,39,27
Acolyte of Pain,0.0,0.1538,0.6667,16,39,27
Alexstrasza,0.0,0.2821,0.3704,16,39,27
Amani Berserker,0.0625,0.1282,0.1481,16,39,27
Ancient Watcher,0.0625,0.0256,0.0,16,39,27
Angry Chicken,0.0,0.0256,0.0,16,39,27
Animal Companion,0.875,0.0,0.0,16,39,27
Arathi Weaponsmith,0.0,0.0,0.1852,16,39,27
Arcane Explosion,0.0,0.0769,0.0,16,39,27
Arcane Golem,0.125,0.0513,0.0,16,39,27
Arcane Intellect,0.0,0.8462,0.0,16,39,27
Arcane Missiles,0.0,0.6667,0.0,16,39,27
Arcane Shot,0.5,0.0,0.0,16,39,27
Arcanite Reaper,0.0,0.0,0.0741,16,39,27
Archmage Antonidas,0.0,0.4615,0.0,16,39,27
Argent Commander,0.0,0.0,0.4444,16,39,27
Argent Squire,0.0,0.2051,0.0741,16,39,27
Armorsmith,0.0,0.0,0.6667,16,39,27
Azure Drake,0.0,0.3077,0.2593,16,39,27
Baron Geddon,0.0,0.2564,0.4815,16,39,27
Baron Rivendare,0.0,0.0,0.037,16,39,27
Battle Rage,0.0,0.0,0.1111,16,39,27
Big Game Hunter,0.0,0.0,0.0741,16,39,27
Blizzard,0.0,0.6667,0.0,16,39,27
Bloodmage Thalnos,0.0,0.5641,0.0,16,39,27
Bloodsail Corsair,0.0625,0.0,0.0,16,39,27
Bloodsail Raider,0.0,0.0,0.0741,16,39,27
Bluegill Warrior,0.125,0.0769,0.0,16,39,27
Booty Bay Bodyguard,0.0,0.0256,0.0,16,39,27
Boulderfist Ogre,0.0625,0.1282,0.0,16,39,27
Brawl,0.0,0.0,0.4815,16,39,27
Cairne Bloodhoof,0.0,0.0513,0.6296,16,39,27
Captain's Parrot,0.0,0.0256,0.0,16,39,27
Charge,0.0,0.0,0.2593,16,39,27
Chillwind Yeti,0.125,0.0256,0.037,16,39,27
Cleave,0.0,0.0,0.2593,16,39,27
Coldlight Oracle,0.0,0.0769,0.0,16,39,27
Cone of Cold,0.0,0.2308,0.0,16,39,27
Core Hound,0.0,0.1026,0.0,16,39,27
Crazed Alchemist,0.0,0.0256,0.0,16,39,27
Cruel Taskmaster,0.0,0.0,0.6667,16,39,27
Cult Master,0.125,0.0513,0.0,16,39,27
Dalaran Mage,0.0,0.3846,0.1481,16,39,27
Dark Iron Dwarf,0.0,0.0,0.0741,16,39,27
Darkscale Healer,0.0,0.0,0.037,16,39,27
Deadly Shot,0.75,0.0,0.0,16,39,27
Death's Bite,0.0,0.0,0.037,16,39,27
Defender of Argus,0.0,0.0769,0.1111,16,39,27
Demolisher,0.1875,0.0,0.0,16,39,27
Dire Wolf Alpha,0.0,0.1026,0.0,16,39,27
Doomsayer,0.0,0.0,0.1481,16,39,27
Dragonling Mechanic,0.0,0.0,0.037,16,39,27
Eaglehorn Bow,0.5625,0.0,0.0,16,39,27
Earthen Ring Farseer,0.0,0.1026,0.0,16,39,27
Echoing Ooze,0.3125,0.0,0.0,16,39,27
Elven Archer,0.0,0.0769,0.0,16,39,27
Emperor Cobra,0.0,0.0,0.2593,16,39,27
Execute,0.0,0.0,0.8889,16,39,27
Explosive Shot,0.1875,0.0,0.0,16,39,27
Explosive Trap,0.5625,0.0,0.0,16,39,27
Faceless Manipulator,0.0,0.0256,0.0,16,39,27
Faerie Dragon,0.0,0.0256,0.0741,16,39,27
Fen Creeper,0.0,0.0769,0.0,16,39,27
Feugen,0.0,0.0,0.037,16,39,27
Fiery War Axe,0.0,0.0,1.0,16,39,27
Fireball,0.0,1.0,0.0,16,39,27
Flamestrike,0.0,0.8205,0.0,16,39,27
Flare,0.6875,0.0,0.0,16,39,27
Flesheating Ghoul,0.0,0.0,0.037,16,39,27
Freezing Trap,0.25,0.0,0.0,16,39,27
Frost Elemental,0.0,0.0,0.0741,16,39,27
