card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abusive Sergeant,0.05,0.0,0.4,20,20,20
Acidic Swamp Ooze,0.0,0.0,0.05,20,20,20
Acolyte of Pain,0.0,0.45,0.65,20,20,20
Alarm-o-Bot,0.0,0.1,0.0,20,20,20
Alexstrasza,0.0,0.6,0.75,20,20,20
Amani Berserker,0.0,0.05,0.0,20,20,20
Ancient Brewmaster,0.15,0.0,0.0,20,20,20
Ancient Watcher,0.0,0.0,0.15,20,20,20
Animal Companion,0.95,0.0,0.0,20,20,20
Arcane Golem,0.05,0.0,0.0,20,20,20
Arcane Intellect,0.0,0.75,0.0,20,20,20
Arcane Missiles,0.0,0.45,0.0,20,20,20
Arcane Shot,0.35,0.0,0.0,20,20,20
Arcanite Reaper,0.0,0.0,0.25,20,20,20
Archmage Antonidas,0.0,0.75,0.0,20,20,20
Argent Squire,0.0,0.0,0.1,20,20,20
Armorsmith,0.0,0.0,0.85,20,20,20
Azure Drake,0.3,0.4,0.0,20,20,20
Baron Geddon,0.0,0.0,0.75,20,20,20
Big Game Hunter,0.0,0.15,0.2,20,20,20
Blizzard,0.0,0.6,0.0,20,20,20
Bloodfen Raptor,0.0,0.15,0.0,20,20,20
Bloodmage Thalnos,0.0,0.95,0.0,20,20,20
Bloodsail Corsair,0.0,0.0,0.2,20,20,20
Bloodsail Raider,0.0,0.0,0.25,20,20,20
Bluegill Warrior,0.05,0.0,0.0,20,20,20
Boulderfist Ogre,0.0,0.5,0.0,20,20,20
Brawl,0.0,0.0,0.4,20,20,20
Cairne Bloodhoof,0.0,0.2,0.75,20,20,20
Charge,0.0,0.0,0.1,20,20,20
Cleave,0.0,0.0,0.1,20,20,20
Cone of Cold,0.0,0.55,0.0,20,20,20
Counterspell,0.0,0.05,0.0,20,20,20
Cruel Taskmaster,0.0,0.0,0.95,20,20,20
Darkscale Healer,0.0,0.0,0.05,20,20,20
Deadly Shot,0.5,0.0,0.0,20,20,20
Defender of Argus,0.0,0.2,0.1,20,20,20
Dire Wolf Alpha,0.35,0.05,0.0,20,20,20
Doomsayer,0.0,0.55,0.0,20,20,20
Dread Corsair,0.0,0.0,0.15,20,20,20
Eaglehorn Bow,1.0,0.0,0.0,20,20,20
Earthen Ring Farseer,0.0,0.45,0.0,20,20,20
Elven Archer,0.0,0.05,0.0,20,20,20
Ethereal Arcanist,0.0,0.3,0.0,20,20,20
Execute,0.0,0.0,1.0,20,20,20
Explosive Shot,0.65,0.0,0.0,20,20,20
Explosive Trap,1.0,0.0,0.0,20,20,20
Faceless Manipulator,0.0,0.2,0.75,20,20,20
Faerie Dragon,0.3,0.05,0.0,20,20,20
Fen Creeper,0.0,0.05,0.0,20,20,20
Fiery War Axe,0.0,0.0,1.0,20,20,20
Fireball,0.0,1.0,0.0,20,20,20
Flamestrike,0.0,0.25,0.0,20,20,20
Flare,0.3,0.0,0.0,20,20,20
Freezing Trap,0.3,0.0,0.0,20,20,20
Frost Nova,0.0,0.2,0.0,20,20,20
Frostbolt,0.0,1.0,0.0,20,20,20
Frothing Berserker,0.0,0.0,0.8,20,20,20
Gadgetzan Auctioneer,0.3,0.3,0.0,20,20,20
Gnomish Inventor,0.0,0.2,0.15,20,20,20
Gorehowl,0.0,0.0,0.45,20,20,20
Grommash Hellscream,0.0,0.0,0.3,20,20,20
Harrison Jones,0.15,0.0,0.0,20,20,20
Harvest Golem,0.0,0.2,0.1,20,20,20
Haunted Creeper,0.65,0.05,0.0,20,20,20
Heroic Strike,0.0,0.0,0.05,20,20,20
Houndmaster,0.65,0.0,0.0,20,20,20
Hungry Crab,0.2,0.0,0.0,20,20,20
Hunter's Mark,0.65,0.0,0.0,20,20,20
Ice Barrier,0.0,0.05,0.0,20,20,20
