card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abusive Sergeant,0.1,0.0,0.3158,10,24,19
Acidic Swamp Ooze,0.0,0.0,0.0526,10,24,19
Acolyte of Pain,0.0,0.4167,0.4211,10,24,19
Alarm-o-Bot,0.0,0.0833,0.0,10,24,19
Alexstrasza,0.0,0.625,0.5263,10,24,19
Amani Berserker,0.0,0.0417,0.0,10,24,19
Ancient Brewmaster,0.2,0.0,0.0,10,24,19
Ancient Watcher,0.0,0.0,0.1053,10,24,19
Animal Companion,0.9,0.0,0.0,10,24,19
Arathi Weaponsmith,0.0,0.0,0.1579,10,24,19
Arcane Golem,0.1,0.0,0.0,10,24,19
Arcane Intellect,0.0,0.7917,0.0,10,24,19
Arcane Missiles,0.0,0.4167,0.0,10,24,19
Arcane Shot,0.4,0.0,0.0,10,24,19
Arcanite Reaper,0.0,0.0,0.4737,10,24,19
Archmage Antonidas,0.0,0.75,0.0,10,24,19
Argent Commander,0.0,0.0,0.2105,10,24,19
Argent Squire,0.0,0.0,0.1053,10,24,19
Armorsmith,0.0,0.0,0.7368,10,24,19
Azure Drake,0.3,0.375,0.0,10,24,19
Baron Geddon,0.0,0.0,0.5263,10,24,19
Big Game Hunter,0.0,0.1667,0.1053,10,24,19
Blizzard,0.0,0.625,0.0,10,24,19
Bloodfen Raptor,0.0,0.1667,0.0,10,24,19
Bloodmage Thalnos,0.0,0.9583,0.0,10,24,19
Bloodsail Corsair,0.0,0.0,0.1579,10,24,19
Bloodsail Raider,0.0,0.0,0.3684,10,24,19
Bluegill Warrior,0.1,0.0,0.0,10,24,19
Boulderfist Ogre,0.0,0.5417,0.0,10,24,19
Brawl,0.0,0.0,0.3684,10,24,19
Cairne Bloodhoof,0.0,0.1667,0.5263,10,24,19
Charge,0.0,0.0,0.1053,10,24,19
Cleave,0.0,0.0,0.1579,10,24,19
Coldlight Oracle,0.0,0.0,0.0526,10,24,19
Cone of Cold,0.0,0.5833,0.0,10,24,19
Core Hound,0.0,0.0,0.0526,10,24,19
Counterspell,0.0,0.0417,0.0,10,24,19
Cruel Taskmaster,0.0,0.0,0.7895,10,24,19
Darkscale Healer,0.0,0.0,0.0526,10,24,19
Deadly Shot,0.5,0.0,0.0,10,24,19
Defender of Argus,0.0,0.1667,0.1579,10,24,19
Dire Wolf Alpha,0.3,0.0417,0.0,10,24,19
Doomsayer,0.0,0.5833,0.0,10,24,19
Dread Corsair,0.0,0.0,0.1053,10,24,19
Eaglehorn Bow,1.0,0.0,0.0,10,24,19
Earthen Ring Farseer,0.0,0.4167,0.0,10,24,19
Elven Archer,0.0,0.0417,0.0,10,24,19
Ethereal Arcanist,0.0,0.3333,0.0,10,24,19
Execute,0.0,0.0,0.9474,10,24,19
Explosive Shot,0.6,0.0,0.0,10,24,19
Explosive Trap,1.0,0.0,0.0,10,24,19
Faceless Manipulator,0.0,0.1667,0.5263,10,24,19
Faerie Dragon,0.3,0.0417,0.0,10,24,19
Fen Creeper,0.0,0.0417,0.0526,10,24,19
Fiery War Axe,0.0,0.0,1.0,10,24,19
Fireball,0.0,1.0,0.0,10,24,19
Flamestrike,0.0,0.2083,0.0,10,24,19
Flare,0.3,0.0,0.0,10,24,19
Freezing Trap,0.3,0.0,0.0,10,24,19
Frost Nova,0.0,0.2083,0.0,10,24,19
Frostbolt,0.0,1.0,0.0,10,24,19
Frothing Berserker,0.0,0.0,0.7368,10,24,19
Gadgetzan Auctioneer,0.3,0.3333,0.0,10,24,19
Gnomish Inventor,0.0,0.2083,0.1053,10,24,19
Gorehowl,0.0,0.0,0.2632,10,24,19
Grommash Hellscream,0.0,0.0,0.1579,10,24,19
Harrison Jones,0.2,0.0,0.0,10,24,19
Harvest Golem,0.0,0.1667,0.3158,10,24,19
Haunted Creeper,0.6,0.0417,0.0,10,24,19
Heroic Strike,0.0,0.0,0.2105,10,24,19
Houndmaster,0.6,0.0,0.0,10,24,19
Hungry Crab,0.2,0.0,0.0,10,24,19
Hunter's Mark,0.5,0.0,0.0,10,24,19
Ice Barrier,0.0,0.0417,0.0,10,24,19
Ice Block,0.0,0.6667,0.0,10,24,19
Ice Lance,0.0,0.2083,0.0,10,24,19
Imp Master,0.1,0.0833,0.0526,10,24,19
Inner Rage,0.0,0.0,0.1053,10,24,19
Ironbeak Owl,0.1,0.0,0.0526,10,24,19
Kill Command,0.7,0.0,0.0,10,24,19
Knife Juggler,0.3,0.2083,0.1579,10,24,19
Kor'kron Elite,0.0,0.0,0.4737,10,24,19
Leeroy Jenkins,0.6,0.0,0.2105,10,24,19
Leper Gnome,0.1,0.2083,0.2105,10,24,19
Loatheb,0.0,0.0417,0.0,10,24,19
Loot Hoarder,0.0,0.875,0.0,10,24,19
Lord of the Arena,0.0,0.0,0.0526,10,24,19
Lorewalker Cho,0.1,0.0,0.0,10,24,19
Mad Scientist,0.9,0.0,0.0,10,24,19
Magma Rager,0.0,0.0,0.0526,10,24,19
Mana Wraith,0.0,0.0833,0.0,10,24,19
Mana Wyrm,0.0,0.4583,0.0,10,24,19
Millhouse Manastorm,0.0,0.0833,0.0,10,24,19
Mirror Image,0.0,0.25,0.0,10,24,19
Misdirection,0.1,0.0,0.0,10,24,19
Mogu'shan Warden,0.4,0.0833,0.1053,10,24,19
Molten Giant,0.0,0.5833,0.1579,10,24,19
Mortal Strike,0.0,0.0,0.2105,10,24,19
Mountain Giant,0.0,0.3333,0.0526,10,24,19
Multi-Shot,0.3,0.0,0.0,10,24,19
Nat Pagle,0.0,0.5417,0.1579,10,24,19
Nightblade,0.0,0.0,0.1579,10,24,19
Novice Engineer,0.0,0.125,0.0526,10,24,19
Nozdormu,0.0,0.0,0.0526,10,24,19
Pint-Sized Summoner,0.1,0.0,0.0526,10,24,19
Polymorph,0.0,0.625,0.0,10,24,19
Pyroblast,0.0,0.25,0.0,10,24,19
Questing Adventurer,0.2,0.0417,0.0,10,24,19
Raging Worgen,0.0,0.0,0.0526,10,24,19
Ragnaros the Firelord,0.3,0.2083,0.5263,10,24,19
Rampage,0.0,0.0,0.1053,10,24,19
Razorfen Hunter,0.0,0.0417,0.0,10,24,19
Reckless Rocketeer,0.0,0.0,0.1053,10,24,19
River Crocolisk,0.3,0.0,0.0,10,24,19
Savannah Highmane,0.6,0.0,0.0,10,24,19
Scarlet Crusader,0.0,0.0,0.0526,10,24,19
Scavenging Hyena,0.3,0.0,0.0,10,24,19
Sen'jin Shieldmasta,0.0,0.4167,0.3158,10,24,19
Shade of Naxxramas,0.1,0.0,0.0,10,24,19
Shattered Sun Cleric,0.0,0.0,0.1579,10,24,19
Shield Block,0.0,0.0,0.6842,10,24,19
Shield Slam,0.0,0.0,0.5789,10,24,19
Shieldbearer,0.0,0.0,0.0526,10,24,19
Silver Hand Knight,0.0,0.0417,0.0,10,24,19
Silvermoon Guardian,0.0,0.0,0.1579,10,24,19
Slam,0.0,0.0,0.5789,10,24,19
Sludge Belcher,0.0,0.5417,0.2632,10,24,19
Snipe,0.1,0.0,0.0,10,24,19
Sorcerer's Apprentice,0.0,0.2083,0.0,10,24,19
Southsea Deckhand,0.0,0.0,0.0526,10,24,19
Spectral Knight,0.0,0.0,0.0526,10,24,19
Spellbender,0.0,0.0417,0.0,10,24,19
Spellbreaker,0.0,0.0417,0.1579,10,24,19
Spiteful Smith,0.0,0.0,0.1579,10,24,19
Stalagg,0.1,0.0,0.0,10,24,19
Stampeding Kodo,0.3,0.0,0.1579,10,24,19
Starving Buzzard,0.5,0.0,0.0,10,24,19
Stoneskin Gargoyle,0.0,0.0,0.0526,10,24,19
Stonetusk Boar,0.3,0.125,0.0,10,24,19
Stormpike Commando,0.0,0.0,0.1053,10,24,19
Stormwind Champion,0.0,0.0417,0.0,10,24,19
Stormwind Knight,0.0,0.125,0.0,10,24,19
Stranglethorn Tiger,0.3,0.0833,0.0,10,24,19
Sunwalker,0.0,0.0,0.0526,10,24,19
Sylvanas Windrunner,0.0,0.0,0.1053,10,24,19
The Black Knight,0.0,0.0833,0.3158,10,24,19
Thrallmar Farseer,0.0,0.0,0.1579,10,24,19
Timber Wolf,0.1,0.0,0.0,10,24,19
Tracking,0.7,0.0,0.0,10,24,19
Tundra Rhino,0.4,0.0,0.0,10,24,19
Twilight Drake,0.2,0.0,0.1579,10,24,19
Unleash the Hounds,1.0,0.0,0.0,10,24,19
Unstable Ghoul,0.0,0.0417,0.0,10,24,19
Upgrade!,0.0,0.0,0.0526,10,24,19
Venture Co. Mercenary,0.1,0.0,0.0526,10,24,19
Violet Teacher,0.0,0.0833,0.0,10,24,19
Water Elemental,0.0,0.4167,0.0,10,24,19
Webspinner,0.3,0.0,0.0,10,24,19
Whirlwind,0.0,0.0,0.6842,10,24,19
Wild Pyromancer,0.0,0.1667,0.1579,10,24,19
Wolfrider,0.3,0.2083,0.0526,10,24,19
Worgen Infiltrator,0.0,0.0,0.1053,10,24,19
Young Dragonhawk,0.1,0.0,0.0,10,24,19
Young Priestess,0.3,0.0,0.0,10,24,19
Ysera,0.0,0.0,0.1579,10,24,19
Zombie Chow,0.0,0.2083,0.0526,10,24,19
