card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abusive Sergeant,0.1667,0.125,0.0,12,32,19
Acidic Swamp Ooze,0.0,0.125,0.2632,12,32,19
Acolyte of Pain,0.0,0.2812,0.5789,12,32,19
Alexstrasza,0.0,0.5,0.4737,12,32,19
Amani Berserker,0.0833,0.2188,0.1579,12,32,19
Ancient Brewmaster,0.0,0.125,0.1053,12,32,19
Angry Chicken,0.0,0.0625,0.0,12,32,19
Animal Companion,0.8333,0.0,0.0,12,32,19
Arathi Weaponsmith,0.0,0.0,0.4211,12,32,19
Arcane Explosion,0.0,0.1562,0.0,12,32,19
Arcane Golem,0.1667,0.0,0.0,12,32,19
Arcane Intellect,0.0,0.8125,0.0,12,32,19
Arcane Missiles,0.0,0.375,0.0,12,32,19
Arcane Shot,0.1667,0.0,0.0,12,32,19
Arcanite Reaper,0.0,0.0,0.2632,12,32,19
Archmage Antonidas,0.0,0.2188,0.0,12,32,19
Argent Commander,0.0,0.0,0.1579,12,32,19
Argent Squire,0.0,0.2188,0.2632,12,32,19
Armorsmith,0.0,0.0,0.5263,12,32,19
Azure Drake,0.0,0.4062,0.1579,12,32,19
Baron Geddon,0.0833,0.0,0.4211,12,32,19
Battle Rage,0.0,0.0,0.1579,12,32,19
Big Game Hunter,0.0,0.0,0.2105,12,32,19
Blizzard,0.0,0.5938,0.0,12,32,19
Blood Knight,0.0,0.0,0.0526,12,32,19
Bloodfen Raptor,0.0833,0.0938,0.0,12,32,19
Bloodmage Thalnos,0.0,0.6562,0.1579,12,32,19
Bloodsail Corsair,0.1667,0.0,0.0,12,32,19
Bloodsail Raider,0.0,0.0,0.2632,12,32,19
Bluegill Warrior,0.1667,0.125,0.0,12,32,19
Boulderfist Ogre,0.0,0.0625,0.0,12,32,19
Brawl,0.0,0.0,0.2632,12,32,19
Cairne Bloodhoof,0.0,0.0625,0.5263,12,32,19
Charge,0.0,0.0,0.1579,12,32,19
Chillwind Yeti,0.0,0.0625,0.0,12,32,19
Cleave,0.0,0.0,0.1579,12,32,19
Coldlight Oracle,0.0,0.125,0.0,12,32,19
Coldlight Seer,0.0833,0.0,0.0,12,32,19
Cone of Cold,0.0,0.4688,0.0,12,32,19
Cruel Taskmaster,0.0,0.0,0.7368,12,32,19
Cult Master,0.0,0.0312,0.0,12,32,19
Dalaran Mage,0.0,0.1875,0.0,12,32,19
Dancing Swords,0.0,0.0,0.0526,12,32,19
Dark Iron Dwarf,0.0,0.0,0.2632,12,32,19
Darkscale Healer,0.0833,0.0,0.0526,12,32,19
Deadly Shot,0.8333,0.0,0.0,12,32,19
Defender of Argus,0.0,0.1562,0.1579,12,32,19
Dire Wolf Alpha,0.25,0.125,0.0,12,32,19
Doomsayer,0.0,0.0938,0.0,12,32,19
Dragonling Mechanic,0.0,0.0312,0.1053,12,32,19
Duplicate,0.0,0.2812,0.0,12,32,19
Eaglehorn Bow,0.6667,0.0,0.0,12,32,19
Earthen Ring Farseer,0.0833,0.0625,0.0526,12,32,19
Elite Tauren Chieftain,0.0,0.0938,0.0,12,32,19
Elven Archer,0.1667,0.0312,0.0,12,32,19
Execute,0.0,0.0,0.7368,12,32,19
Explosive Trap,0.75,0.0,0.0,12,32,19
Faceless Manipulator,0.0,0.1562,0.3158,12,32,19
Faerie Dragon,0.3333,0.0312,0.2632,12,32,19
Fiery War Axe,0.0,0.0,1.0,12,32,19
Fireball,0.0,0.9375,0.0,12,32,19
Flamestrike,0.0,0.6875,0.0,12,32,19
Flare,0.4167,0.0,0.0,12,32,19
Freezing Trap,0.5833,0.0,0.0,12,32,19
Frost Nova,0.0,0.5938,0.0,12,32,19
