card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abomination,0.0127,0.0161,0.0245,99,99,99
Abusive Sergeant,0.0563,0.0238,0.0252,99,99,99
Acidic Swamp Ooze,0.0214,0.1286,0.0106,99,99,99
Acolyte of Pain,0.0678,0.1176,0.5693,99,99,99
Alarm-o-Bot,0.0127,0.0076,0.0173,99,99,99
Alexstrasza,0.1049,0.1681,0.2785,99,99,99
Amani Berserker,0.0481,0.1168,0.0901,99,99,99
Ancient Brewmaster,0.0127,0.0322,0.0173,99,99,99
Ancient Mage,0.0127,0.0134,0.0256,99,99,99
Ancient Watcher,0.0127,0.0342,0.0256,99,99,99
Angry Chicken,0.0479,0.0334,0.0252,99,99,99
Animal Companion,0.5917,0.0,0.0,99,99,99
Arathi Weaponsmith,0.0,0.0,0.0748,99,99,99
Arcane Explosion,0.0,0.0848,0.0,99,99,99
Arcane Golem,0.0575,0.0233,0.0106,99,99,99
Arcane Intellect,0.0,0.5154,0.0,99,99,99
Arcane Missiles,0.0,0.2695,0.0,99,99,99
Arcane Shot,0.1489,0.0,0.0,99,99,99
Arcanite Reaper,0.0,0.0,0.14,99,99,99
Archmage,0.03,0.05,0.0106,99,99,99
Archmage Antonidas,0.0,0.0481,0.0,99,99,99
Argent Commander,0.0127,0.0834,0.0477,99,99,99
Argent Squire,0.0566,0.0118,0.0106,99,99,99
Armorsmith,0.0,0.0,0.7762,99,99,99
Azure Drake,0.0303,0.171,0.113,99,99,99
Baron Geddon,0.0771,0.0118,0.1437,99,99,99
Baron Rivendare,0.1126,0.0685,0.0177,99,99,99
Battle Rage,0.0,0.0,0.0312,99,99,99
Bestial Wrath,0.0127,0.0,0.0,99,99,99
Big Game Hunter,0.0127,0.0428,0.0242,99,99,99
Blizzard,0.0,0.2385,0.0,99,99,99
Blood Knight,0.0776,0.0223,0.0106,99,99,99
Bloodfen Raptor,0.0841,0.0127,0.0106,99,99,99
Bloodmage Thalnos,0.0213,0.168,0.0106,99,99,99
Bloodsail Corsair,0.0394,0.0827,0.0242,99,99,99
Bloodsail Raider,0.0394,0.0076,0.0252,99,99,99
Bluegill Warrior,0.0581,0.0989,0.0402,99,99,99
Booty Bay Bodyguard,0.0127,0.0786,0.018,99,99,99
Boulderfist Ogre,0.0127,0.0185,0.0106,99,99,99
Brawl,0.0,0.0,0.435,99,99,99
Cairne Bloodhoof,0.0389,0.0998,0.3405,99,99,99
Captain's Parrot,0.0127,0.0076,0.0412,99,99,99
Charge,0.0,0.0,0.0256,99,99,99
Chillwind Yeti,0.0127,0.018,0.0455,99,99,99
Cleave,0.0,0.0,0.599,99,99,99
