card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abomination,0.0,0.0351,0.0,27,57,31
Abusive Sergeant,0.037,0.0,0.0323,27,57,31
Acidic Swamp Ooze,0.037,0.2807,0.0,27,57,31
Acolyte of Pain,0.0,0.1228,0.4839,27,57,31
Alexstrasza,0.0741,0.2456,0.3871,27,57,31
Amani Berserker,0.0,0.0,0.0968,27,57,31
Ancient Brewmaster,0.0,0.0526,0.0,27,57,31
Ancient Mage,0.0,0.0,0.0645,27,57,31
Ancient Watcher,0.0,0.0,0.0645,27,57,31
Angry Chicken,0.1111,0.0175,0.0323,27,57,31
Animal Companion,0.5926,0.0,0.0,27,57,31
Arathi Weaponsmith,0.0,0.0,0.0323,27,57,31
Arcane Explosion,0.0,0.1053,0.0,27,57,31
Arcane Intellect,0.0,0.5614,0.0,27,57,31
Arcane Missiles,0.0,0.5789,0.0,27,57,31
Arcane Shot,0.2593,0.0,0.0,27,57,31
Arcanite Reaper,0.0,0.0,0.2903,27,57,31
Archmage Antonidas,0.0,0.1404,0.0,27,57,31
Argent Commander,0.0,0.0877,0.0323,27,57,31
Argent Squire,0.0,0.0175,0.0,27,57,31
Armorsmith,0.0,0.0,0.9032,27,57,31
Azure Drake,0.0741,0.2105,0.129,27,57,31
Baron Geddon,0.0,0.0175,0.3548,27,57,31
Baron Rivendare,0.0,0.193,0.0,27,57,31
Big Game Hunter,0.0,0.0351,0.0,27,57,31
Blizzard,0.0,0.3509,0.0,27,57,31
Blood Knight,0.2593,0.0175,0.0,27,57,31
Bloodfen Raptor,0.1111,0.0,0.0,27,57,31
Bloodmage Thalnos,0.0,0.2456,0.0,27,57,31
Bloodsail Corsair,0.1111,0.2105,0.0,27,57,31
Bloodsail Raider,0.0,0.0,0.0323,27,57,31
Booty Bay Bodyguard,0.0,0.0877,0.0323,27,57,31
Brawl,0.0,0.0,0.4839,27,57,31
Cairne Bloodhoof,0.0,0.2632,0.3226,27,57,31
Captain's Parrot,0.0,0.0,0.129,27,57,31
Charge,0.0,0.0,0.0645,27,57,31
Cleave,0.0,0.0,0.2581,27,57,31
Coldlight Oracle,0.0,0.2105,0.0,27,57,31
Commanding Shout,0.0,0.0,0.0323,27,57,31
Cone of Cold,0.0,0.2982,0.0,27,57,31
Counterspell,0.0,0.2807,0.0,27,57,31
Crazed Alchemist,0.0,0.0,0.0323,27,57,31
Cruel Taskmaster,0.0,0.0,0.9355,27,57,31
Cult Master,0.2963,0.1053,0.0323,27,57,31
Dancing Swords,0.0741,0.2105,0.0323,27,57,31
Dark Iron Dwarf,0.0,0.0175,0.0,27,57,31
Deadly Shot,0.4444,0.0,0.0,27,57,31
Death's Bite,0.0,0.0,0.2903,27,57,31
Deathlord,0.2222,0.0351,0.0968,27,57,31
Defender of Argus,0.0,0.1053,0.0,27,57,31
Demolisher,0.0,0.0526,0.0,27,57,31
