card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abomination,0.0254,0.0105,0.0156,99,99,99
Abusive Sergeant,0.0522,0.1511,0.0156,99,99,99
Acidic Swamp Ooze,0.0394,0.0863,0.0917,99,99,99
Acolyte of Pain,0.0152,0.2187,0.4126,99,99,99
Alarm-o-Bot,0.0152,0.0463,0.0156,99,99,99
Alexstrasza,0.0271,0.192,0.2296,99,99,99
Amani Berserker,0.0152,0.3477,0.138,99,99,99
Ancient Brewmaster,0.0487,0.0105,0.0309,99,99,99
Ancient Mage,0.0342,0.0105,0.0156,99,99,99
Ancient Watcher,0.0152,0.0392,0.0421,99,99,99
Angry Chicken,0.0152,0.0105,0.0745,99,99,99
Animal Companion,0.7585,0.0,0.0,99,99,99
Arathi Weaponsmith,0.0,0.0,0.3671,99,99,99
Arcane Explosion,0.0,0.1667,0.0,99,99,99
Arcane Golem,0.0522,0.0784,0.0156,99,99,99
Arcane Intellect,0.0,0.3578,0.0,99,99,99
Arcane Missiles,0.0,0.4785,0.0,99,99,99
Arcane Shot,0.2347,0.0,0.0,99,99,99
Arcanite Reaper,0.0,0.0,0.3635,99,99,99
Archmage,0.0152,0.0233,0.0697,99,99,99
Archmage Antonidas,0.0,0.2193,0.0,99,99,99
Argent Commander,0.0152,0.1831,0.1561,99,99,99
Argent Squire,0.0152,0.0982,0.0684,99,99,99
Armorsmith,0.0,0.0,0.4299,99,99,99
Azure Drake,0.0152,0.379,0.0923,99,99,99
Baron Geddon,0.0152,0.0198,0.2092,99,99,99
Baron Rivendare,0.0342,0.0105,0.0156,99,99,99
Battle Rage,0.0,0.0,0.0646,99,99,99
Bestial Wrath,0.1049,0.0,0.0,99,99,99
Big Game Hunter,0.0254,0.0392,0.1202,99,99,99
Blizzard,0.0,0.3211,0.0,99,99,99
Blood Knight,0.0152,0.0105,0.0382,99,99,99
Bloodfen Raptor,0.0796,0.0105,0.0309,99,99,99
Bloodmage Thalnos,0.0245,0.4689,0.0156,99,99,99
Bloodsail Corsair,0.0152,0.0198,0.0156,99,99,99
Bloodsail Raider,0.0624,0.0401,0.2535,99,99,99
Bluegill Warrior,0.0711,0.0299,0.0156,99,99,99
Booty Bay Bodyguard,0.0757,0.0105,0.0881,99,99,99
Boulderfist Ogre,0.0152,0.132,0.0458,99,99,99
Brawl,0.0,0.0,0.3691,99,99,99
Cairne Bloodhoof,0.0522,0.0553,0.303,99,99,99
Captain's Parrot,0.0152,0.0365,0.0285,99,99,99
Charge,0.0,0.0,0.0951,99,99,99
Chillwind Yeti,0.0245,0.1367,0.0309,99,99,99
Cleave,0.0,0.0,0.1795,99,99,99
Coldlight Oracle,0.0152,0.1143,0.0285,99,99,99
Coldlight Seer,0.0152,0.0299,0.0156,99,99,99
Commanding Shout,0.0,0.0,0.0267,99,99,99
Cone of Cold,0.0,0.0973,0.0,99,99,99
Core Hound,0.036,0.0105,0.0285,99,99,99
Counterspell,0.0,0.0314,0.0,99,99,99
Crazed Alchemist,0.0152,0.0105,0.0156,99,99,99
Cruel Taskmaster,0.0,0.0,0.6265,99,99,99
Cult Master,0.0152,0.0222,0.0285,99,99,99
Dalaran Mage,0.0563,0.0588,0.0156,99,99,99
Dancing Swords,0.1049,0.0198,0.0156,99,99,99
Dark Iron Dwarf,0.0152,0.0169,0.129,99,99,99
Darkscale Healer,0.047,0.0105,0.0873,99,99,99
Deadly Shot,0.6304,0.0,0.0,99,99,99
Death's Bite,0.0,0.0,0.0156,99,99,99
Deathlord,0.0342,0.0222,0.0976,99,99,99
Defender of Argus,0.036,0.2192,0.1313,99,99,99
Demolisher,0.0152,0.0105,0.0232,99,99,99
Dire Wolf Alpha,0.0983,0.1046,0.0267,99,99,99
Doomsayer,0.0703,0.0994,0.0517,99,99,99
Dragonling Mechanic,0.0152,0.0163,0.0232,99,99,99
Dread Corsair,0.0254,0.0222,0.0156,99,99,99
Duplicate,0.0,0.0222,0.0,99,99,99
Eaglehorn Bow,0.4077,0.0,0.0,99,99,99
Earthen Ring Farseer,0.0254,0.1205,0.0635,99,99,99
Echoing Ooze,0.1571,0.0281,0.0232,99,99,99
Elite Tauren Chieftain,0.0152,0.0285,0.0285,99,99,99
Elven Archer,0.047,0.0627,0.075,99,99,99
Emperor Cobra,0.0589,0.0281,0.0156,99,99,99
Ethereal Arcanist,0.0,0.0326,0.0,99,99,99
Execute,0.0,0.0,0.6805,99,99,99
Explosive Shot,0.1506,0.0,0.0,99,99,99
Explosive Trap,0.3963,0.0,0.0,99,99,99
Faceless Manipulator,0.0254,0.0961,0.1605,99,99,99
Faerie Dragon,0.1158,0.1638,0.2209,99,99,99
Fen Creeper,0.0152,0.0578,0.0343,99,99,99
Feugen,0.073,0.0513,0.0267,99,99,99
Fiery War Axe,0.0,0.0,0.7347,99,99,99
Fireball,0.0,0.9365,0.0,99,99,99
Flamestrike,0.0,0.6082,0.0,99,99,99
Flare,0.3305,0.0,0.0,99,99,99
Flesheating Ghoul,0.0245,0.0294,0.0309,99,99,99
Freezing Trap,0.7743,0.0,0.0,99,99,99
Frost Elemental,0.0271,0.0469,0.0156,99,99,99
Frost Nova,0.0,0.2366,0.0,99,99,99
Frostbolt,0.0,0.8674,0.0,99,99,99
Frostwolf Grunt,0.0342,0.06,0.0881,99,99,99
Frostwolf Warlord,0.0152,0.0529,0.0382,99,99,99
Frothing Berserker,0.0,0.0,0.5443,99,99,99
Gadgetzan Auctioneer,0.036,0.0529,0.0712,99,99,99
Gladiator's Longbow,0.0479,0.0,0.0,99,99,99
Gnomish Inventor,0.0394,0.0169,0.084,99,99,99
Goldshire Footman,0.0271,0.0281,0.0547,99,99,99
Gorehowl,0.0,0.0,0.1127,99,99,99
Grimscale Oracle,0.0152,0.0105,0.0232,99,99,99
Grommash Hellscream,0.0,0.0,0.3132,99,99,99
Gurubashi Berserker,0.0152,0.0591,0.0671,99,99,99
Harrison Jones,0.0271,0.0222,0.0156,99,99,99
Harvest Golem,0.0152,0.2789,0.1639,99,99,99
Haunted Creeper,0.0862,0.0105,0.106,99,99,99
Heroic Strike,0.0,0.0,0.1693,99,99,99
Houndmaster,0.5002,0.0,0.0,99,99,99
Hungry Crab,0.0271,0.0651,0.0419,99,99,99
Hunter's Mark,0.4046,0.0,0.0,99,99,99
Ice Barrier,0.0,0.3837,0.0,99,99,99
Ice Block,0.0,0.1962,0.0,99,99,99
Ice Lance,0.0,0.1809,0.0,99,99,99
Imp Master,0.0347,0.0169,0.0535,99,99,99
Injured Blademaster,0.0152,0.0673,0.0559,99,99,99
Inner Rage,0.0,0.0,0.338,99,99,99
Ironbeak Owl,0.3222,0.0163,0.0511,99,99,99
Ironforge Rifleman,0.0443,0.0198,0.0156,99,99,99
Ironfur Grizzly,0.0152,0.0667,0.0881,99,99,99
Jungle Panther,0.0152,0.0105,0.0232,99,99,99
Kel'Thuzad,0.154,0.0291,0.0156,99,99,99
Kill Command,0.5128,0.0,0.0,99,99,99
King Krush,0.0796,0.0,0.0,99,99,99
Kirin Tor Mage,0.0,0.0262,0.0,99,99,99
Knife Juggler,0.1729,0.187,0.0382,99,99,99
Kobold Geomancer,0.0152,0.1465,0.0156,99,99,99
Kor'kron Elite,0.0,0.0,0.2446,99,99,99
Leeroy Jenkins,0.4258,0.1128,0.1693,99,99,99
Leper Gnome,0.1363,0.1667,0.1038,99,99,99
Lightwarden,0.0152,0.0256,0.0458,99,99,99
Loatheb,0.1291,0.0341,0.2733,99,99,99
Loot Hoarder,0.0152,0.2763,0.0559,99,99,99
Lord of the Arena,0.0152,0.0378,0.1108,99,99,99
Lorewalker Cho,0.0271,0.0169,0.0156,99,99,99
Mad Bomber,0.0711,0.0365,0.0499,99,99,99
Mad Scientist,0.4249,0.2259,0.0156,99,99,99
Maexxna,0.0152,0.0222,0.0156,99,99,99
Magma Rager,0.0152,0.0169,0.0285,99,99,99
Mana Addict,0.0271,0.1108,0.0156,99,99,99
Mana Wraith,0.0271,0.0105,0.0156,99,99,99
Mana Wyrm,0.0,0.7228,0.0,99,99,99
Master Swordsmith,0.0152,0.0319,0.0382,99,99,99
Millhouse Manastorm,0.0342,0.1296,0.0578,99,99,99
Mind Control Tech,0.0152,0.0105,0.0232,99,99,99
