card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abusive Sergeant,0.0,0.0769,0.0,21,39,21
Acidic Swamp Ooze,0.0,0.1538,0.1429,21,39,21
Acolyte of Pain,0.0,0.1795,0.2381,21,39,21
Alexstrasza,0.0,0.3846,0.0476,21,39,21
Amani Berserker,0.0,0.5385,0.2381,21,39,21
Ancient Brewmaster,0.0476,0.0,0.0,21,39,21
Ancient Mage,0.0952,0.0,0.0,21,39,21
Ancient Watcher,0.0,0.0,0.0476,21,39,21
Angry Chicken,0.0,0.0,0.2381,21,39,21
Animal Companion,0.8571,0.0,0.0,21,39,21
Arathi Weaponsmith,0.0,0.0,0.8571,21,39,21
Arcane Explosion,0.0,0.2051,0.0,21,39,21
Arcane Golem,0.0,0.1026,0.0,21,39,21
Arcane Intellect,0.0,0.5128,0.0,21,39,21
Arcane Missiles,0.0,0.3333,0.0,21,39,21
Arcane Shot,0.3333,0.0,0.0,21,39,21
Arcanite Reaper,0.0,0.0,0.619,21,39,21
Archmage,0.0,0.0513,0.1905,21,39,21
Archmage Antonidas,0.0,0.1795,0.0,21,39,21
Argent Commander,0.0,0.1538,0.1905,21,39,21
Argent Squire,0.0,0.1538,0.0476,21,39,21
Armorsmith,0.0,0.0,0.5238,21,39,21
Azure Drake,0.0,0.359,0.0476,21,39,21
Baron Rivendare,0.0952,0.0,0.0,21,39,21
Battle Rage,0.0,0.0,0.0952,21,39,21
Bestial Wrath,0.1905,0.0,0.0,21,39,21
Big Game Hunter,0.0,0.0,0.1429,21,39,21
Blizzard,0.0,0.359,0.0,21,39,21
Blood Knight,0.0,0.0,0.0952,21,39,21
Bloodfen Raptor,0.0476,0.0,0.0,21,39,21
Bloodmage Thalnos,0.0476,0.7179,0.0,21,39,21
Bloodsail Raider,0.0,0.0,0.6667,21,39,21
Bluegill Warrior,0.0952,0.0769,0.0,21,39,21
Boulderfist Ogre,0.0,0.0769,0.0952,21,39,21
Brawl,0.0,0.0,0.381,21,39,21
Cairne Bloodhoof,0.0,0.1026,0.0952,21,39,21
Captain's Parrot,0.0,0.1026,0.0,21,39,21
Chillwind Yeti,0.0476,0.1795,0.0,21,39,21
Cleave,0.0,0.0,0.381,21,39,21
Coldlight Oracle,0.0,0.1795,0.0,21,39,21
Coldlight Seer,0.0,0.0769,0.0,21,39,21
Commanding Shout,0.0,0.0,0.0476,21,39,21
Cone of Cold,0.0,0.1026,0.0,21,39,21
Cruel Taskmaster,0.0,0.0,0.8095,21,39,21
Dalaran Mage,0.0476,0.0,0.0,21,39,21
Dancing Swords,0.1905,0.0,0.0,21,39,21
Dark Iron Dwarf,0.0,0.0256,0.2857,21,39,21
Darkscale Healer,0.0,0.0,0.2857,21,39,21
Deadly Shot,0.5238,0.0,0.0,21,39,21
Deathlord,0.0952,0.0,0.0,21,39,21
Defender of Argus,0.0,0.2051,0.1429,21,39,21
Dire Wolf Alpha,0.2381,0.1538,0.0476,21,39,21
Doomsayer,0.0,0.2308,0.0,21,39,21
Eaglehorn Bow,0.8571,0.0,0.0,21,39,21
Earthen Ring Farseer,0.0,0.1538,0.0,21,39,21
Echoing Ooze,0.2857,0.0,0.0,21,39,21
Elite Tauren Chieftain,0.0,0.0256,0.0,21,39,21
Elven Archer,0.0,0.0,0.1905,21,39,21
Ethereal Arcanist,0.0,0.0513,0.0,21,39,21
Execute,0.0,0.0,0.8095,21,39,21
Explosive Shot,0.1905,0.0,0.0,21,39,21
Explosive Trap,0.5238,0.0,0.0,21,39,21
Faceless Manipulator,0.0,0.1538,0.0,21,39,21
Faerie Dragon,0.2381,0.1795,0.1429,21,39,21
Fen Creeper,0.0,0.0513,0.0476,21,39,21
Feugen,0.0,0.0256,0.0476,21,39,21
Fiery War Axe,0.0,0.0,0.9048,21,39,21
Fireball,0.0,0.9487,0.0,21,39,21
Flamestrike,0.0,0.3077,0.0,21,39,21
Flare,0.5714,0.0,0.0,21,39,21
Flesheating Ghoul,0.0476,0.0,0.0,21,39,21
Freezing Trap,0.9524,0.0,0.0,21,39,21
Frost Elemental,0.0,0.0513,0.0,21,39,21
Frost Nova,0.0,0.3077,0.0,21,39,21
Frostbolt,0.0,0.9487,0.0,21,39,21
Frostwolf Grunt,0.0952,0.1026,0.0,21,39,21
Frostwolf Warlord,0.0,0.0513,0.0952,21,39,21
Frothing Berserker,0.0,0.0,0.5714,21,39,21
Gadgetzan Auctioneer,0.0,0.0513,0.0,21,39,21
Gnomish Inventor,0.0,0.0256,0.1429,21,39,21
Gorehowl,0.0,0.0,0.0476,21,39,21
Grommash Hellscream,0.0,0.0,0.1905,21,39,21
Gurubashi Berserker,0.0,0.0513,0.0476,21,39,21
Harvest Golem,0.0,0.2564,0.3333,21,39,21
Heroic Strike,0.0,0.0,0.2857,21,39,21
Houndmaster,0.4762,0.0,0.0,21,39,21
Hungry Crab,0.0,0.1026,0.0,21,39,21
Hunter's Mark,0.6667,0.0,0.0,21,39,21
Ice Barrier,0.0,0.5128,0.0,21,39,21
Ice Block,0.0,0.3333,0.0,21,39,21
Ice Lance,0.0,0.2564,0.0,21,39,21
Imp Master,0.0476,0.0256,0.0952,21,39,21
Injured Blademaster,0.0,0.0256,0.0,21,39,21
Inner Rage,0.0,0.0,0.2381,21,39,21
Ironbeak Owl,0.0476,0.0,0.0952,21,39,21
Ironforge Rifleman,0.1429,0.0,0.0,21,39,21
Ironfur Grizzly,0.0,0.1282,0.0,21,39,21
Kel'Thuzad,0.1905,0.0513,0.0,21,39,21
Kill Command,0.7143,0.0,0.0,21,39,21
King Krush,0.0476,0.0,0.0,21,39,21
Kirin Tor Mage,0.0,0.0256,0.0,21,39,21
Knife Juggler,0.2381,0.0769,0.0952,21,39,21
Kobold Geomancer,0.0,0.1795,0.0,21,39,21
Kor'kron Elite,0.0,0.0,0.4286,21,39,21
Leeroy Jenkins,0.7619,0.2308,0.2857,21,39,21
Leper Gnome,0.1429,0.2308,0.1905,21,39,21
Lightwarden,0.0,0.0,0.0952,21,39,21
Loatheb,0.0476,0.0,0.5238,21,39,21
Loot Hoarder,0.0,0.359,0.0,21,39,21
Lord of the Arena,0.0,0.0256,0.0952,21,39,21
Lorewalker Cho,0.0,0.0256,0.0,21,39,21
Mad Bomber,0.0952,0.1026,0.0476,21,39,21
Mad Scientist,0.7619,0.1795,0.0,21,39,21
Magma Rager,0.0,0.0256,0.0,21,39,21
Mana Addict,0.0,0.1026,0.0,21,39,21
Mana Wyrm,0.0,0.6154,0.0,21,39,21
Master Swordsmith,0.0,0.0256,0.0952,21,39,21
