class,card,mode,mean_delta_wr,host_deltas,games_per_side
HUNTER,Baron Rivendare,addition,-0.0235,-0.057|-0.034|+0.017|-0.014|-0.029,2700
HUNTER,Dancing Swords,addition,-0.0235,-0.032|-0.052|+0.000|-0.019|-0.014,2700
HUNTER,Deathlord,addition,-0.0193,-0.052|-0.017|+0.007|-0.019|-0.016,2700
HUNTER,Echoing Ooze,addition,-0.0057,-0.059|+0.009|+0.031|+0.020|-0.031,2700
HUNTER,Feugen,addition,-0.0126,-0.052|-0.018|+0.025|-0.042|+0.023,2700
HUNTER,Haunted Creeper,addition,0.0339,+0.015|+0.028|+0.033|+0.024|+0.069,2700
HUNTER,Kel'Thuzad,addition,-0.0065,-0.026|-0.044|+0.003|-0.019|+0.054,2700
HUNTER,Loatheb,addition,0.0106,-0.041|+0.009|+0.067|+0.020|-0.003,2700
HUNTER,Mad Scientist,addition,0.027,+0.007|+0.006|+0.048|+0.012|+0.062,2700
HUNTER,Maexxna,addition,0.0054,-0.027|-0.020|+0.019|-0.003|+0.058,2700
HUNTER,Nerub'ar Weblord,addition,0.0131,-0.011|-0.044|+0.040|+0.045|+0.036,2700
HUNTER,Nerubian Egg,addition,-0.0163,-0.070|-0.027|+0.000|+0.011|+0.005,2700
HUNTER,Shade of Naxxramas,addition,0.0211,-0.018|+0.000|+0.054|+0.046|+0.023,2700
HUNTER,Sludge Belcher,addition,0.0139,-0.019|-0.013|+0.031|-0.006|+0.077,2700
HUNTER,Spectral Knight,addition,0.0065,-0.022|-0.007|+0.030|-0.006|+0.038,2700
HUNTER,Stalagg,addition,-0.0202,-0.033|-0.035|-0.013|-0.013|-0.006,2700
HUNTER,Stoneskin Gargoyle,addition,-0.0341,-0.093|-0.061|-0.018|-0.010|+0.011,2700
HUNTER,Undertaker,addition,-0.0174,-0.015|-0.020|-0.041|-0.012|+0.001,2700
HUNTER,Unstable Ghoul,addition,-0.0322,-0.027|-0.041|-0.035|-0.031|-0.027,2700
HUNTER,Wailing Soul,addition,-0.0054,-0.011|-0.042|-0.010|-0.022|+0.058,2700
HUNTER,Zombie Chow,addition,-0.0007,-0.035|+0.002|+0.002|-0.008|+0.036,2700
HUNTER,Webspinner,addition,0.0191,-0.024|-0.002|+0.061|+0.026|+0.034,2700
