class,card,mode,mean_delta_wr,host_deltas,games_per_side
PALADIN,Baron Rivendare,addition,-0.0169,-0.031|-0.019|-0.004|-0.025|-0.006,2700
PALADIN,Dancing Swords,addition,-0.0209,-0.067|+0.018|-0.049|+0.013|-0.019,2700
PALADIN,Deathlord,addition,0.0006,-0.039|+0.071|+0.009|-0.030|-0.009,2700
PALADIN,Echoing Ooze,addition,0.0046,-0.030|+0.019|-0.007|+0.072|-0.031,2700
PALADIN,Feugen,addition,0.0091,-0.037|+0.073|+0.024|-0.043|+0.028,2700
PALADIN,Haunted Creeper,addition,0.0109,-0.011|+0.031|+0.015|-0.007|+0.028,2700
PALADIN,Kel'Thuzad,addition,-0.0235,-0.065|+0.001|-0.003|-0.045|-0.006,2700
PALADIN,Loatheb,addition,0.0239,-0.013|+0.081|-0.009|+0.050|+0.011,2700
PALADIN,Mad Scientist,addition,-0.0083,-0.056|+0.031|+0.017|-0.001|-0.033,2700
PALADIN,Maexxna,addition,-0.0094,-0.048|+0.029|-0.002|-0.009|-0.017,2700
PALADIN,Nerub'ar Weblord,addition,-0.002,-0.044|+0.014|+0.000|+0.011|+0.009,2700
PALADIN,Nerubian Egg,addition,-0.0141,-0.061|+0.012|-0.040|+0.004|+0.015,2700
PALADIN,Shade of Naxxramas,addition,0.0246,-0.043|+0.090|+0.013|+0.046|+0.017,2700
PALADIN,Sludge Belcher,addition,0.0243,+0.009|+0.044|+0.005|+0.017|+0.047,2700
PALADIN,Spectral Knight,addition,0.0011,-0.042|+0.047|+0.007|-0.015|+0.007,2700
PALADIN,Stalagg,addition,-0.0083,-0.044|-0.015|+0.031|-0.007|-0.007,2700
PALADIN,Stoneskin Gargoyle,addition,-0.0217,-0.041|-0.014|+0.010|-0.015|-0.049,2700
PALADIN,Undertaker,addition,-0.0002,-0.028|+0.053|+0.006|-0.017|-0.016,2700
PALADIN,Unstable Ghoul,addition,-0.0281,-0.029|-0.024|-0.023|-0.056|-0.009,2700
PALADIN,Wailing Soul,addition,-0.003,-0.004|-0.010|+0.017|+0.006|-0.024,2700
PALADIN,Zombie Chow,addition,0.0013,-0.020|+0.032|-0.002|+0.002|-0.006,2700
PALADIN,Avenge,addition,-0.02,-0.035|+0.002|-0.031|-0.021|-0.014,2700
