class,card,mode,mean_delta_wr,host_deltas,games_per_side
PRIEST,Baron Rivendare,addition,-0.0156,+0.049|-0.038|-0.031|-0.050|-0.008,2700
PRIEST,Dancing Swords,addition,-0.0143,+0.005|+0.023|-0.015|-0.065|-0.019,2700
PRIEST,Deathlord,addition,-0.0078,+0.006|+0.000|+0.006|-0.060|+0.008,2700
PRIEST,Echoing Ooze,addition,-0.0194,-0.007|-0.006|-0.018|-0.062|-0.004,2700
PRIEST,Feugen,addition,0.0313,+0.060|+0.037|+0.043|-0.034|+0.051,2700
PRIEST,Haunted Creeper,addition,-0.0119,+0.005|-0.011|-0.019|-0.070|+0.037,2700
PRIEST,Kel'Thuzad,addition,-0.0041,+0.029|+0.022|-0.021|-0.062|+0.012,2700
PRIEST,Loatheb,addition,0.0248,+0.029|+0.021|+0.042|-0.041|+0.073,2700
PRIEST,Mad Scientist,addition,-0.0331,-0.025|-0.038|-0.013|-0.081|-0.008,2700
PRIEST,Maexxna,addition,-0.018,-0.001|+0.014|-0.008|-0.087|-0.007,2700
PRIEST,Nerub'ar Weblord,addition,-0.0219,-0.027|-0.028|-0.010|-0.085|+0.041,2700
PRIEST,Nerubian Egg,addition,-0.0206,-0.029|-0.040|+0.003|-0.074|+0.037,2700
PRIEST,Shade of Naxxramas,addition,0.0028,+0.008|-0.002|+0.015|-0.037|+0.030,2700
PRIEST,Sludge Belcher,addition,0.0204,+0.068|+0.006|+0.019|-0.003|+0.011,2700
PRIEST,Spectral Knight,addition,-0.0006,+0.021|+0.001|-0.006|-0.028|+0.009,2700
PRIEST,Stalagg,addition,-0.0165,+0.017|-0.021|-0.033|-0.047|+0.003,2700
PRIEST,Stoneskin Gargoyle,addition,-0.0315,-0.027|-0.045|-0.017|-0.039|-0.030,2700
PRIEST,Undertaker,addition,-0.0224,-0.016|+0.013|-0.051|-0.075|+0.017,2700
PRIEST,Unstable Ghoul,addition,-0.0126,-0.005|+0.012|+0.024|-0.081|-0.014,2700
PRIEST,Wailing Soul,addition,0.0,-0.025|+0.008|-0.010|-0.023|+0.050,2700
PRIEST,Zombie Chow,addition,0.0022,+0.021|-0.020|+0.020|-0.050|+0.040,2700
PRIEST,Dark Cultist,addition,0.0131,+0.077|+0.012|+0.007|-0.044|+0.013,2700
