class,card,mode,mean_delta_wr,host_deltas,games_per_side
SHAMAN,Baron Rivendare,addition,-0.027,-0.057|-0.036|+0.029|-0.004|-0.067,2700
SHAMAN,Dancing Swords,addition,-0.0241,+0.024|-0.092|+0.011|-0.023|-0.041,2700
SHAMAN,Deathlord,addition,-0.0163,-0.013|-0.027|+0.059|-0.027|-0.074,2700
SHAMAN,Echoing Ooze,addition,0.0019,+0.022|-0.019|+0.044|+0.001|-0.039,2700
SHAMAN,Feugen,addition,-0.0052,-0.015|+0.014|+0.048|-0.049|-0.024,2700
SHAMAN,Haunted Creeper,addition,0.0189,+0.026|-0.008|+0.043|+0.038|-0.004,2700
SHAMAN,Kel'Thuzad,addition,-0.0137,-0.030|-0.005|+0.011|-0.036|-0.009,2700
SHAMAN,Loatheb,addition,-0.0039,+0.019|-0.042|+0.052|-0.025|-0.024,2700
SHAMAN,Mad Scientist,addition,-0.0146,-0.020|-0.058|+0.046|-0.010|-0.031,2700
SHAMAN,Maexxna,addition,-0.0217,+0.007|-0.055|+0.006|-0.010|-0.057,2700
SHAMAN,Nerub'ar Weblord,addition,0.0072,-0.000|+0.004|+0.057|+0.014|-0.039,2700
SHAMAN,Nerubian Egg,addition,-0.0131,-0.022|-0.047|+0.041|+0.005|-0.042,2700
SHAMAN,Shade of Naxxramas,addition,0.0046,+0.020|-0.010|+0.042|-0.012|-0.017,2700
SHAMAN,Sludge Belcher,addition,0.0126,+0.009|-0.010|+0.057|-0.006|+0.013,2700
SHAMAN,Spectral Knight,addition,0.0104,+0.026|-0.029|+0.068|-0.006|-0.006,2700
SHAMAN,Stalagg,addition,-0.0328,-0.031|-0.036|+0.002|-0.035|-0.063,2700
SHAMAN,Stoneskin Gargoyle,addition,-0.0215,-0.017|-0.060|+0.030|-0.018|-0.043,2700
SHAMAN,Undertaker,addition,-0.0263,-0.026|-0.014|+0.019|-0.021|-0.089,2700
SHAMAN,Unstable Ghoul,addition,-0.0131,+0.017|-0.027|+0.030|-0.023|-0.062,2700
SHAMAN,Wailing Soul,addition,-0.0263,-0.013|-0.017|-0.008|-0.023|-0.070,2700
SHAMAN,Zombie Chow,addition,-0.0093,+0.004|-0.003|+0.020|-0.029|-0.039,2700
SHAMAN,Reincarnate,addition,-0.0487,-0.045|-0.077|-0.006|-0.045|-0.070,2700
