class,card,mode,mean_delta_wr,host_deltas,games_per_side
WARLOCK,Baron Rivendare,addition,-0.0141,-0.067|+0.000|-0.039|+0.017|+0.019,2700
WARLOCK,Dancing Swords,addition,0.0065,-0.045|+0.013|-0.018|+0.017|+0.066,2700
WARLOCK,Deathlord,addition,-0.015,-0.094|+0.043|-0.048|-0.010|+0.035,2700
WARLOCK,Echoing Ooze,addition,0.0078,-0.056|+0.044|-0.057|+0.044|+0.065,2700
WARLOCK,Feugen,addition,-0.0004,-0.076|+0.036|+0.006|-0.002|+0.034,2700
WARLOCK,Haunted Creeper,addition,0.0433,-0.034|+0.083|+0.028|+0.040|+0.100,2700
WARLOCK,Kel'Thuzad,addition,0.002,-0.073|+0.042|-0.034|-0.007|+0.083,2700
WARLOCK,Loatheb,addition,0.015,-0.022|+0.045|-0.031|+0.015|+0.069,2700
WARLOCK,Mad Scientist,addition,-0.0078,-0.063|+0.015|-0.012|-0.026|+0.047,2700
WARLOCK,Maexxna,addition,-0.0106,-0.091|+0.006|-0.035|-0.003|+0.069,2700
WARLOCK,Nerub'ar Weblord,addition,-0.0104,-0.087|+0.029|-0.033|-0.026|+0.066,2700
WARLOCK,Nerubian Egg,addition,0.013,-0.094|+0.071|-0.010|+0.039|+0.059,2700
WARLOCK,Shade of Naxxramas,addition,0.0048,-0.042|+0.054|-0.037|-0.016|+0.065,2700
WARLOCK,Sludge Belcher,addition,0.0241,-0.008|+0.048|-0.026|+0.014|+0.093,2700
WARLOCK,Spectral Knight,addition,0.038,-0.004|+0.071|+0.039|-0.005|+0.088,2700
WARLOCK,Stalagg,addition,-0.023,-0.056|+0.000|-0.067|-0.025|+0.032,2700
WARLOCK,Stoneskin Gargoyle,addition,-0.0278,-0.120|+0.028|-0.021|-0.051|+0.026,2700
WARLOCK,Undertaker,addition,-0.0139,-0.074|+0.035|-0.039|-0.010|+0.019,2700
WARLOCK,Unstable Ghoul,addition,-0.0141,-0.083|+0.004|-0.043|-0.010|+0.062,2700
WARLOCK,Wailing Soul,addition,0.0006,-0.095|+0.033|-0.028|+0.033|+0.059,2700
WARLOCK,Zombie Chow,addition,-0.0017,-0.087|-0.017|-0.006|+0.006|+0.094,2700
WARLOCK,Voidcaller,addition,-0.002,-0.065|+0.050|-0.017|+0.008|+0.013,2700
