class,card,mode,mean_delta_wr,host_deltas,games_per_side
WARRIOR,Baron Rivendare,addition,-0.0141,-0.060|+0.022|-0.011|-0.019|-0.002,2700
WARRIOR,Dancing Swords,addition,-0.0309,-0.101|-0.024|-0.026|-0.022|+0.019,2700
WARRIOR,Deathlord,addition,-0.0069,-0.085|+0.026|+0.056|-0.020|-0.010,2700
WARRIOR,Echoing Ooze,addition,0.0052,-0.069|+0.043|+0.037|+0.006|+0.009,2700
WARRIOR,Feugen,addition,-0.0026,-0.067|+0.026|+0.024|-0.036|+0.040,2700
WARRIOR,Haunted Creeper,addition,0.0167,-0.046|+0.044|+0.043|-0.005|+0.047,2700
WARRIOR,Kel'Thuzad,addition,-0.0146,-0.068|+0.039|+0.002|-0.068|+0.021,2700
WARRIOR,Loatheb,addition,0.0004,-0.049|+0.030|+0.019|-0.006|+0.008,2700
WARRIOR,Mad Scientist,addition,-0.0307,-0.086|+0.011|+0.018|-0.075|-0.021,2700
WARRIOR,Maexxna,addition,-0.0206,-0.069|+0.017|-0.013|-0.037|-0.001,2700
WARRIOR,Nerub'ar Weblord,addition,-0.0193,-0.082|+0.017|+0.020|-0.031|-0.020,2700
WARRIOR,Nerubian Egg,addition,-0.0022,-0.048|+0.006|+0.026|+0.010|-0.005,2700
WARRIOR,Shade of Naxxramas,addition,0.0096,-0.046|+0.039|+0.039|-0.015|+0.031,2700
WARRIOR,Sludge Belcher,addition,0.0204,-0.051|+0.069|+0.011|+0.004|+0.069,2700
WARRIOR,Spectral Knight,addition,0.0015,-0.057|+0.040|+0.042|-0.037|+0.020,2700
WARRIOR,Stalagg,addition,-0.0106,-0.074|+0.033|+0.028|-0.015|-0.025,2700
WARRIOR,Stoneskin Gargoyle,addition,-0.0502,-0.120|-0.018|-0.025|-0.059|-0.029,2700
WARRIOR,Undertaker,addition,-0.012,-0.056|+0.015|+0.031|-0.042|-0.008,2700
WARRIOR,Unstable Ghoul,addition,0.0074,-0.068|+0.046|+0.009|-0.017|+0.066,2700
WARRIOR,Wailing Soul,addition,-0.0094,-0.065|+0.035|+0.020|-0.022|-0.016,2700
WARRIOR,Zombie Chow,addition,0.0041,-0.031|+0.031|+0.030|-0.041|+0.031,2700
WARRIOR,Death's Bite,addition,0.0052,-0.054|+0.043|+0.036|+0.009|-0.008,2700
