class,card,mode,mean_delta_wr,host_deltas,games_per_side
HUNTER,Zombie Chow,addition,-0.0152,-0.011|-0.035|-0.011|+0.015|-0.033,2700
HUNTER,Undertaker,addition,-0.0174,-0.019|-0.056|+0.000|+0.022|-0.035,2700
HUNTER,Echoing Ooze,addition,-0.0074,-0.006|-0.028|-0.036|+0.013|+0.019,2700
HUNTER,Haunted Creeper,addition,0.0257,+0.036|+0.015|-0.007|+0.054|+0.031,2700
HUNTER,Mad Scientist,addition,0.002,+0.010|-0.046|+0.011|+0.009|+0.026,2700
HUNTER,Nerub'ar Weblord,addition,-0.0037,+0.006|-0.039|-0.009|+0.028|-0.005,2700
HUNTER,Nerubian Egg,addition,-0.0056,-0.022|-0.026|+0.020|+0.015|-0.015,2700
HUNTER,Unstable Ghoul,addition,-0.0122,+0.007|-0.004|-0.039|-0.006|-0.020,2700
HUNTER,Dancing Swords,addition,-0.0217,-0.018|-0.031|-0.031|-0.026|-0.002,2700
HUNTER,Deathlord,addition,-0.0059,+0.013|-0.013|-0.039|+0.018|-0.008,2700
HUNTER,Shade of Naxxramas,addition,-0.0093,-0.026|-0.046|+0.007|+0.015|+0.004,2700
HUNTER,Stoneskin Gargoyle,addition,-0.0096,-0.013|-0.041|-0.026|+0.017|+0.015,2700
HUNTER,Baron Rivendare,addition,-0.0206,-0.013|-0.054|-0.002|-0.004|-0.031,2700
HUNTER,Wailing Soul,addition,-0.0093,-0.015|-0.043|-0.015|+0.011|+0.015,2700
HUNTER,Feugen,addition,-0.0035,-0.011|-0.025|+0.008|+0.022|-0.012,2700
HUNTER,Stalagg,addition,-0.0263,-0.019|-0.048|-0.017|-0.028|-0.020,2700
HUNTER,Loatheb,addition,0.0174,-0.013|-0.002|+0.043|+0.019|+0.041,2700
HUNTER,Sludge Belcher,addition,0.0106,+0.017|-0.020|-0.007|+0.041|+0.023,2700
HUNTER,Spectral Knight,addition,-0.0076,+0.048|-0.048|-0.022|-0.001|-0.015,2700
HUNTER,Maexxna,addition,-0.0209,+0.038|-0.048|+0.004|-0.039|-0.059,2700
HUNTER,Kel'Thuzad,addition,-0.0263,-0.026|-0.076|-0.024|+0.000|-0.006,2700
HUNTER,Webspinner,addition,0.0287,+0.053|+0.035|+0.000|+0.018|+0.038,2700
MAGE,Zombie Chow,addition,0.0013,-0.011|+0.011|+0.009|+0.022|-0.025,2700
MAGE,Undertaker,addition,-0.0163,+0.016|-0.019|-0.019|+0.001|-0.061,2700
MAGE,Echoing Ooze,addition,-0.0041,-0.010|+0.020|+0.011|-0.019|-0.023,2700
MAGE,Haunted Creeper,addition,0.0089,-0.022|+0.035|+0.007|+0.026|-0.002,2700
MAGE,Mad Scientist,addition,-0.013,-0.048|-0.015|+0.041|-0.015|-0.028,2700
MAGE,Nerub'ar Weblord,addition,-0.0111,-0.002|+0.033|-0.013|+0.003|-0.077,2700
MAGE,Nerubian Egg,addition,-0.0056,-0.010|-0.020|+0.019|+0.034|-0.050,2700
MAGE,Unstable Ghoul,addition,0.0039,-0.039|+0.026|+0.031|+0.007|-0.006,2700
MAGE,Dancing Swords,addition,-0.0126,-0.013|+0.015|-0.013|-0.024|-0.028,2700
MAGE,Deathlord,addition,0.0028,-0.019|+0.030|+0.030|-0.007|-0.019,2700
MAGE,Shade of Naxxramas,addition,-0.0002,+0.000|+0.000|+0.019|-0.003|-0.017,2700
MAGE,Stoneskin Gargoyle,addition,-0.028,-0.021|-0.057|-0.023|-0.022|-0.016,2700
MAGE,Baron Rivendare,addition,-0.0167,-0.027|+0.000|-0.023|+0.004|-0.037,2700
MAGE,Wailing Soul,addition,-0.0211,-0.040|+0.009|+0.002|-0.005|-0.072,2700
MAGE,Feugen,addition,-0.0152,-0.039|-0.010|+0.023|-0.031|-0.019,2700
MAGE,Stalagg,addition,-0.0152,-0.030|-0.004|-0.026|-0.007|-0.009,2700
MAGE,Loatheb,addition,0.0074,+0.020|+0.015|+0.046|-0.004|-0.041,2700
MAGE,Sludge Belcher,addition,0.0124,+0.002|+0.015|+0.043|+0.025|-0.022,2700
MAGE,Spectral Knight,addition,-0.0063,-0.013|+0.015|-0.007|+0.006|-0.031,2700
MAGE,Maexxna,addition,-0.0157,-0.040|-0.006|+0.009|-0.037|-0.006,2700
MAGE,Kel'Thuzad,addition,-0.0181,-0.027|-0.001|+0.007|-0.048|-0.022,2700
MAGE,Duplicate,addition,-0.032,-0.012|-0.043|-0.037|-0.022|-0.046,2700
WARRIOR,Zombie Chow,addition,-0.0152,-0.044|-0.043|+0.019|-0.015|+0.007,2700
WARRIOR,Undertaker,addition,-0.0246,-0.037|-0.020|-0.029|-0.059|+0.022,2700
WARRIOR,Echoing Ooze,addition,-0.0165,-0.028|-0.015|-0.009|-0.064|+0.033,2700
WARRIOR,Haunted Creeper,addition,0.0044,-0.028|+0.020|-0.006|-0.022|+0.057,2700
WARRIOR,Mad Scientist,addition,-0.0194,-0.030|+0.000|+0.002|-0.064|-0.006,2700
WARRIOR,Nerub'ar Weblord,addition,-0.0348,-0.063|+0.008|+0.001|-0.094|-0.026,2700
WARRIOR,Nerubian Egg,addition,-0.0215,-0.069|+0.007|-0.028|-0.031|+0.013,2700
WARRIOR,Unstable Ghoul,addition,-0.007,-0.048|-0.006|+0.017|-0.028|+0.030,2700
WARRIOR,Dancing Swords,addition,-0.0296,-0.043|+0.004|-0.027|-0.068|-0.015,2700
WARRIOR,Deathlord,addition,-0.0135,-0.013|+0.000|-0.002|-0.075|+0.022,2700
WARRIOR,Shade of Naxxramas,addition,-0.0204,-0.063|-0.011|-0.007|-0.045|+0.025,2700
WARRIOR,Stoneskin Gargoyle,addition,-0.0296,-0.057|-0.026|-0.013|-0.065|+0.013,2700
WARRIOR,Baron Rivendare,addition,-0.0294,-0.043|-0.024|-0.020|-0.070|+0.010,2700
WARRIOR,Wailing Soul,addition,-0.0215,-0.043|+0.007|-0.030|-0.057|+0.015,2700
WARRIOR,Feugen,addition,-0.012,-0.039|-0.019|-0.018|-0.020|+0.035,2700
WARRIOR,Stalagg,addition,-0.01,+0.007|-0.003|-0.019|-0.047|+0.011,2700
WARRIOR,Loatheb,addition,-0.0065,-0.020|-0.013|+0.013|-0.081|+0.069,2700
WARRIOR,Sludge Belcher,addition,0.0137,+0.000|+0.037|+0.013|-0.015|+0.033,2700
WARRIOR,Spectral Knight,addition,-0.02,-0.043|+0.024|-0.019|-0.059|-0.004,2700
WARRIOR,Maexxna,addition,-0.0141,-0.030|-0.013|-0.006|-0.043|+0.020,2700
WARRIOR,Kel'Thuzad,addition,-0.0074,-0.039|+0.022|-0.013|-0.020|+0.013,2700
WARRIOR,Death's Bite,addition,-0.02,-0.061|-0.022|+0.030|-0.074|+0.028,2700
HUNTER,Starving Buzzard,removal-negated,-0.0307,-0.002|+0.013|+0.043|+0.081|+0.019,2700
HUNTER,Leeroy Jenkins,removal-negated,0.0119,+0.011|+0.015|-0.035|-0.032|-0.018,2700
MAGE,Leeroy Jenkins,removal-negated,0.0039,-0.012|+0.008|-0.003|-0.033|+0.020,2700
WARRIOR,Leeroy Jenkins,removal-negated,0.0056,-0.025|+0.030|+0.006|-0.069|+0.031,2700
