class,card,mode,mean_delta_wr,host_deltas,games_per_side
HUNTER,Zombie Chow,addition,-0.0154,-0.036|-0.052|-0.029|+0.044|-0.004,2700
HUNTER,Undertaker,addition,-0.0139,-0.044|-0.055|+0.006|-0.004|+0.028,2700
HUNTER,Echoing Ooze,addition,0.0019,-0.000|-0.043|-0.004|+0.021|+0.034,2700
HUNTER,Haunted Creeper,addition,0.022,+0.027|-0.011|+0.019|+0.040|+0.036,2700
HUNTER,Mad Scientist,addition,0.0231,+0.019|-0.026|-0.002|+0.058|+0.066,2700
HUNTER,Nerub'ar Weblord,addition,-0.0067,-0.021|-0.047|-0.049|+0.043|+0.042,2700
HUNTER,Nerubian Egg,addition,-0.0211,-0.066|-0.056|-0.017|+0.018|+0.015,2700
HUNTER,Unstable Ghoul,addition,-0.0176,-0.051|-0.048|-0.054|+0.040|+0.025,2700
HUNTER,Dancing Swords,addition,-0.025,-0.053|-0.062|-0.031|+0.021|+0.000,2700
HUNTER,Deathlord,addition,-0.0074,-0.023|-0.053|-0.015|+0.026|+0.028,2700
HUNTER,Shade of Naxxramas,addition,0.0076,-0.014|-0.066|+0.004|+0.064|+0.050,2700
HUNTER,Stoneskin Gargoyle,addition,-0.043,-0.058|-0.102|-0.044|-0.031|+0.020,2700
HUNTER,Baron Rivendare,addition,-0.0176,-0.038|-0.041|-0.017|-0.001|+0.008,2700
HUNTER,Wailing Soul,addition,-0.0076,-0.000|-0.065|-0.024|+0.021|+0.030,2700
HUNTER,Feugen,addition,-0.0106,-0.022|-0.028|-0.048|+0.016|+0.030,2700
HUNTER,Stalagg,addition,-0.0324,-0.066|-0.060|-0.056|+0.006|+0.013,2700
HUNTER,Loatheb,addition,0.0098,-0.053|-0.009|+0.000|+0.068|+0.044,2700
HUNTER,Sludge Belcher,addition,0.0091,-0.030|-0.017|+0.017|+0.040|+0.035,2700
HUNTER,Spectral Knight,addition,0.0056,-0.012|-0.039|+0.005|+0.017|+0.057,2700
HUNTER,Maexxna,addition,-0.0202,-0.036|-0.050|-0.008|-0.012|+0.006,2700
HUNTER,Kel'Thuzad,addition,-0.0083,-0.024|-0.044|-0.037|+0.024|+0.039,2700
HUNTER,Webspinner,addition,0.0276,+0.005|-0.007|-0.007|+0.084|+0.064,2700
MAGE,Zombie Chow,addition,-0.0089,-0.042|-0.033|+0.014|+0.041|-0.024,2700
MAGE,Undertaker,addition,-0.0013,+0.012|-0.019|-0.001|+0.037|-0.035,2700
MAGE,Echoing Ooze,addition,-0.022,-0.041|-0.024|-0.023|+0.015|-0.037,2700
MAGE,Haunted Creeper,addition,-0.0426,-0.055|-0.075|-0.010|-0.017|-0.056,2700
MAGE,Mad Scientist,addition,-0.008,-0.032|-0.026|+0.010|+0.008|+0.000,2700
MAGE,Nerub'ar Weblord,addition,-0.01,-0.033|+0.000|+0.031|+0.006|-0.054,2700
MAGE,Nerubian Egg,addition,-0.0224,-0.044|-0.050|+0.008|+0.013|-0.039,2700
MAGE,Unstable Ghoul,addition,-0.01,-0.037|-0.019|-0.019|+0.025|+0.000,2700
MAGE,Dancing Swords,addition,-0.0293,-0.025|-0.052|-0.019|-0.031|-0.019,2700
MAGE,Deathlord,addition,-0.0069,-0.017|-0.022|-0.008|+0.020|-0.007,2700
MAGE,Shade of Naxxramas,addition,-0.0137,+0.019|-0.013|-0.033|+0.001|-0.042,2700
MAGE,Stoneskin Gargoyle,addition,-0.0537,-0.069|-0.074|-0.033|-0.025|-0.067,2700
MAGE,Baron Rivendare,addition,-0.0346,-0.047|-0.011|-0.060|-0.005|-0.050,2700
MAGE,Wailing Soul,addition,-0.028,-0.025|-0.041|-0.061|+0.007|-0.020,2700
MAGE,Feugen,addition,-0.0085,-0.035|-0.026|+0.006|+0.002|+0.011,2700
MAGE,Stalagg,addition,-0.0302,-0.038|-0.055|-0.049|+0.007|-0.017,2700
MAGE,Loatheb,addition,-0.0046,-0.007|-0.007|-0.018|+0.009|+0.000,2700
MAGE,Sludge Belcher,addition,0.0074,+0.015|-0.013|-0.001|+0.047|-0.011,2700
MAGE,Spectral Knight,addition,-0.0031,+0.028|-0.039|+0.003|+0.015|-0.022,2700
MAGE,Maexxna,addition,-0.0452,-0.080|-0.044|-0.056|-0.018|-0.029,2700
MAGE,Kel'Thuzad,addition,-0.0285,-0.054|-0.026|-0.012|-0.033|-0.018,2700
MAGE,Duplicate,addition,-0.0552,-0.091|-0.033|-0.063|-0.024|-0.065,2700
WARRIOR,Zombie Chow,addition,-0.032,-0.072|-0.022|-0.012|-0.034|-0.019,2700
WARRIOR,Undertaker,addition,-0.0194,-0.052|-0.011|-0.040|-0.011|+0.017,2700
WARRIOR,Echoing Ooze,addition,-0.0083,-0.058|+0.013|+0.036|-0.053|+0.020,2700
WARRIOR,Haunted Creeper,addition,-0.0098,-0.067|+0.013|+0.002|-0.029|+0.031,2700
WARRIOR,Mad Scientist,addition,-0.02,-0.029|-0.027|+0.002|-0.052|+0.006,2700
WARRIOR,Nerub'ar Weblord,addition,-0.0278,-0.080|+0.000|+0.015|-0.058|-0.016,2700
WARRIOR,Nerubian Egg,addition,-0.0083,-0.028|+0.004|+0.026|-0.026|-0.018,2700
WARRIOR,Unstable Ghoul,addition,0.0024,-0.015|+0.020|+0.012|-0.009|+0.004,2700
WARRIOR,Dancing Swords,addition,-0.0391,-0.083|-0.028|-0.009|-0.051|-0.024,2700
WARRIOR,Deathlord,addition,-0.0076,-0.011|+0.013|-0.002|-0.054|+0.016,2700
WARRIOR,Shade of Naxxramas,addition,-0.0161,-0.044|-0.020|-0.006|-0.043|+0.032,2700
WARRIOR,Stoneskin Gargoyle,addition,-0.033,-0.044|-0.054|-0.007|-0.074|+0.015,2700
WARRIOR,Baron Rivendare,addition,-0.0376,-0.044|-0.028|-0.023|-0.083|-0.009,2700
WARRIOR,Wailing Soul,addition,-0.0194,-0.030|-0.026|-0.026|-0.029|+0.013,2700
WARRIOR,Feugen,addition,-0.0094,-0.022|+0.018|-0.019|-0.036|+0.013,2700
WARRIOR,Stalagg,addition,-0.0185,-0.027|+0.004|-0.022|-0.043|-0.005,2700
WARRIOR,Loatheb,addition,-0.0117,-0.026|-0.002|+0.022|-0.056|+0.004,2700
WARRIOR,Sludge Belcher,addition,0.0004,-0.006|+0.004|-0.002|+0.001|+0.005,2700
WARRIOR,Spectral Knight,addition,-0.0244,-0.024|+0.024|-0.024|-0.091|-0.007,2700
