class,card,mode,mean_delta_wr,host_deltas,games_per_side
HUNTER,Zombie Chow,addition,-0.0152,-0.011|-0.035|-0.011|+0.015|-0.033,2700
HUNTER,Undertaker,addition,-0.0174,-0.019|-0.056|+0.000|+0.022|-0.035,2700
HUNTER,Echoing Ooze,addition,-0.0074,-0.006|-0.028|-0.036|+0.013|+0.019,2700
HUNTER,Haunted Creeper,addition,0.0257,+0.036|+0.015|-0.007|+0.054|+0.031,2700
HUNTER,Mad Scientist,addition,0.002,+0.010|-0.046|+0.011|+0.009|+0.026,2700
HUNTER,Nerub'ar Weblord,addition,-0.0037,+0.006|-0.039|-0.009|+0.028|-0.005,2700
HUNTER,Nerubian Egg,addition,-0.0056,-0.022|-0.026|+0.020|+0.015|-0.015,2700
HUNTER,Unstable Ghoul,addition,-0.0122,+0.007|-0.004|-0.039|-0.006|-0.020,2700
HUNTER,Dancing Swords,addition,-0.0217,-0.018|-0.031|-0.031|-0.026|-0.002,2700
HUNTER,Deathlord,addition,-0.0059,+0.013|-0.013|-0.039|+0.018|-0.008,2700
HUNTER,Shade of Naxxramas,addition,-0.0093,-0.026|-0.046|+0.007|+0.015|+0.004,2700
HUNTER,Stoneskin Gargoyle,addition,-0.0096,-0.013|-0.041|-0.026|+0.017|+0.015,2700
HUNTER,Baron Rivendare,addition,-0.0206,-0.013|-0.054|-0.002|-0.004|-0.031,2700
HUNTER,Wailing Soul,addition,-0.0093,-0.015|-0.043|-0.015|+0.011|+0.015,2700
HUNTER,Feugen,addition,-0.0035,-0.011|-0.025|+0.008|+0.022|-0.012,2700
HUNTER,Stalagg,addition,-0.0263,-0.019|-0.048|-0.017|-0.028|-0.020,2700
HUNTER,Loatheb,addition,0.0174,-0.013|-0.002|+0.043|+0.019|+0.041,2700
HUNTER,Sludge Belcher,addition,0.0106,+0.017|-0.020|-0.007|+0.041|+0.023,2700
HUNTER,Spectral Knight,addition,-0.0076,+0.048|-0.048|-0.022|-0.001|-0.015,2700
HUNTER,Maexxna,addition,-0.0209,+0.038|-0.048|+0.004|-0.039|-0.059,2700
HUNTER,Kel'Thuzad,addition,-0.0263,-0.026|-0.076|-0.024|+0.000|-0.006,2700
HUNTER,Webspinner,addition,0.0287,+0.053|+0.035|+0.000|+0.018|+0.038,2700
