class,card,mode,mean_delta_wr,host_deltas,games_per_side
MAGE,Zombie Chow,addition,0.0041,-0.031|+0.037|+0.042|+0.005|-0.031,2700
MAGE,Undertaker,addition,0.0024,+0.020|+0.017|+0.008|-0.003|-0.031,2700
MAGE,Echoing Ooze,addition,-0.0204,-0.045|+0.020|+0.006|-0.035|-0.048,2700
MAGE,Haunted Creeper,addition,-0.0133,-0.048|-0.011|+0.019|-0.004|-0.023,2700
MAGE,Mad Scientist,addition,-0.01,-0.050|-0.007|+0.016|-0.010|+0.002,2700
MAGE,Nerub'ar Weblord,addition,-0.02,-0.046|+0.022|+0.001|-0.011|-0.066,2700
MAGE,Nerubian Egg,addition,-0.0089,-0.045|+0.019|+0.019|+0.007|-0.044,2700
MAGE,Unstable Ghoul,addition,-0.0135,-0.046|+0.026|-0.012|-0.022|-0.013,2700
MAGE,Dancing Swords,addition,-0.0293,-0.012|-0.022|-0.025|-0.061|-0.026,2700
MAGE,Deathlord,addition,-0.0052,-0.041|+0.020|+0.021|-0.021|-0.006,2700
MAGE,Shade of Naxxramas,addition,-0.0037,-0.054|+0.031|+0.034|-0.025|-0.006,2700
MAGE,Stoneskin Gargoyle,addition,-0.0515,-0.066|-0.057|-0.044|-0.039|-0.052,2700
MAGE,Baron Rivendare,addition,-0.0226,-0.031|-0.017|-0.031|+0.017|-0.052,2700
MAGE,Wailing Soul,addition,-0.0357,-0.049|-0.035|-0.038|-0.026|-0.031,2700
MAGE,Feugen,addition,-0.018,-0.017|-0.041|-0.008|-0.026|+0.002,2700
MAGE,Stalagg,addition,-0.0231,-0.052|+0.006|-0.027|-0.025|-0.018,2700
MAGE,Loatheb,addition,-0.0007,+0.010|-0.022|+0.027|-0.039|+0.020,2700
MAGE,Sludge Belcher,addition,0.0015,-0.044|+0.046|+0.038|-0.017|-0.017,2700
MAGE,Spectral Knight,addition,-0.0176,-0.034|+0.028|-0.016|-0.042|-0.024,2700
MAGE,Maexxna,addition,-0.0433,-0.071|-0.035|-0.053|-0.046|-0.011,2700
MAGE,Kel'Thuzad,addition,-0.0311,-0.042|-0.019|-0.042|-0.050|-0.004,2700
MAGE,Duplicate,addition,-0.0402,-0.044|-0.015|-0.045|-0.035|-0.061,2700
