class,card,mode,mean_delta_wr,host_deltas,games_per_side
HUNTER,Zombie Chow,addition,0.0337,+0.083|-0.013|+0.019|+0.044|+0.035,2700
HUNTER,Undertaker,addition,0.023,+0.026|+0.015|+0.011|+0.037|+0.026,2700
HUNTER,Echoing Ooze,addition,0.0559,+0.111|+0.044|+0.026|+0.037|+0.061,2700
HUNTER,Haunted Creeper,addition,0.037,+0.113|+0.006|+0.037|-0.009|+0.039,2700
HUNTER,Mad Scientist,addition,0.053,+0.102|+0.024|+0.054|+0.020|+0.065,2700
HUNTER,Nerub'ar Weblord,addition,0.033,+0.069|+0.020|+0.006|+0.007|+0.063,2700
HUNTER,Nerubian Egg,addition,0.0163,+0.046|-0.011|+0.020|+0.002|+0.024,2700
HUNTER,Unstable Ghoul,addition,0.043,+0.117|+0.009|+0.041|+0.031|+0.017,2700
HUNTER,Dancing Swords,addition,0.0248,+0.094|+0.030|+0.056|-0.050|-0.006,2700
HUNTER,Deathlord,addition,0.0174,+0.044|-0.035|+0.056|-0.007|+0.030,2700
HUNTER,Shade of Naxxramas,addition,0.0115,+0.070|-0.031|+0.013|+0.000|+0.006,2700
HUNTER,Stoneskin Gargoyle,addition,0.0063,+0.043|+0.000|+0.015|-0.030|+0.004,2700
HUNTER,Baron Rivendare,addition,0.0152,+0.050|-0.002|+0.048|-0.009|-0.011,2700
HUNTER,Wailing Soul,addition,0.0085,+0.061|+0.009|+0.000|-0.020|-0.007,2700
HUNTER,Feugen,addition,0.0337,+0.022|+0.004|+0.070|+0.013|+0.059,2700
HUNTER,Stalagg,addition,-0.0019,-0.015|-0.019|+0.020|-0.007|+0.011,2700
HUNTER,Loatheb,addition,0.0204,+0.059|-0.002|-0.022|+0.020|+0.046,2700
HUNTER,Sludge Belcher,addition,0.0648,+0.096|+0.044|+0.067|+0.054|+0.063,2700
HUNTER,Spectral Knight,addition,0.0207,+0.052|+0.000|+0.026|-0.009|+0.035,2700
HUNTER,Maexxna,addition,-0.0063,+0.037|-0.026|-0.007|-0.039|+0.004,2700
HUNTER,Kel'Thuzad,addition,0.0141,+0.054|-0.006|+0.013|-0.009|+0.019,2700
HUNTER,Webspinner,addition,0.0515,+0.080|+0.033|+0.052|+0.056|+0.037,2700
MAGE,Zombie Chow,addition,-0.0193,-0.024|-0.031|-0.039|+0.007|-0.009,2700
MAGE,Undertaker,addition,-0.0052,-0.035|+0.006|-0.041|+0.046|-0.002,2700
MAGE,Echoing Ooze,addition,-0.0089,-0.041|+0.019|-0.046|-0.013|+0.037,2700
MAGE,Haunted Creeper,addition,-0.0115,-0.057|-0.019|-0.033|+0.061|-0.009,2700
MAGE,Mad Scientist,addition,0.0089,+0.015|-0.041|-0.017|+0.019|+0.069,2700
MAGE,Nerub'ar Weblord,addition,-0.0156,-0.011|-0.022|-0.080|+0.019|+0.017,2700
MAGE,Nerubian Egg,addition,-0.0319,-0.026|-0.033|-0.059|-0.017|-0.024,2700
MAGE,Unstable Ghoul,addition,-0.0033,-0.015|-0.002|-0.039|+0.033|+0.006,2700
MAGE,Dancing Swords,addition,-0.0204,-0.041|-0.054|-0.024|+0.026|-0.009,2700
MAGE,Deathlord,addition,-0.0122,-0.009|-0.037|-0.035|+0.024|-0.004,2700
MAGE,Shade of Naxxramas,addition,-0.0056,-0.017|-0.054|-0.011|+0.054|+0.000,2700
MAGE,Stoneskin Gargoyle,addition,-0.0193,-0.052|-0.009|-0.050|+0.015|+0.000,2700
MAGE,Baron Rivendare,addition,-0.0278,-0.026|-0.065|-0.056|+0.000|+0.007,2700
MAGE,Wailing Soul,addition,-0.0133,-0.026|-0.044|-0.022|-0.011|+0.037,2700
MAGE,Feugen,addition,-0.0237,-0.046|-0.026|-0.044|+0.007|-0.009,2700
MAGE,Stalagg,addition,-0.02,+0.009|-0.039|-0.070|+0.017|-0.017,2700
MAGE,Loatheb,addition,-0.0015,-0.007|-0.026|-0.046|+0.037|+0.035,2700
MAGE,Sludge Belcher,addition,0.0274,+0.017|-0.004|-0.004|+0.074|+0.054,2700
MAGE,Spectral Knight,addition,-0.0059,-0.033|+0.015|-0.002|-0.002|-0.007,2700
MAGE,Maexxna,addition,-0.027,-0.031|-0.011|-0.037|-0.044|-0.011,2700
MAGE,Kel'Thuzad,addition,-0.0189,+0.011|-0.067|-0.007|+0.022|-0.054,2700
MAGE,Duplicate,addition,-0.03,-0.039|-0.072|-0.052|+0.039|-0.026,2700
WARRIOR,Zombie Chow,addition,0.0163,+0.059|+0.050|+0.013|-0.039|-0.002,2700
WARRIOR,Undertaker,addition,0.0048,+0.043|+0.048|-0.011|-0.043|-0.013,2700
WARRIOR,Echoing Ooze,addition,0.0037,+0.041|+0.070|-0.019|-0.017|-0.057,2700
WARRIOR,Haunted Creeper,addition,0.0089,+0.072|+0.033|-0.011|-0.026|-0.024,2700
WARRIOR,Mad Scientist,addition,0.0104,+0.039|+0.020|-0.004|+0.009|-0.013,2700
WARRIOR,Nerub'ar Weblord,addition,-0.0019,+0.024|+0.052|-0.006|+0.011|-0.091,2700
WARRIOR,Nerubian Egg,addition,0.0111,+0.028|+0.059|+0.017|+0.006|-0.054,2700
WARRIOR,Unstable Ghoul,addition,0.0067,+0.022|-0.007|+0.080|-0.028|-0.033,2700
WARRIOR,Dancing Swords,addition,-0.0167,+0.052|+0.009|-0.011|-0.067|-0.067,2700
WARRIOR,Deathlord,addition,-0.0122,+0.017|+0.057|-0.037|-0.039|-0.059,2700
WARRIOR,Shade of Naxxramas,addition,0.0052,+0.026|+0.037|+0.015|-0.022|-0.030,2700
WARRIOR,Stoneskin Gargoyle,addition,-0.02,+0.007|+0.030|+0.006|-0.070|-0.072,2700
WARRIOR,Baron Rivendare,addition,-0.0078,+0.019|+0.024|-0.015|+0.004|-0.070,2700
WARRIOR,Wailing Soul,addition,-0.0022,+0.015|+0.054|-0.022|-0.024|-0.033,2700
WARRIOR,Feugen,addition,0.0026,+0.031|+0.041|+0.006|+0.017|-0.081,2700
WARRIOR,Stalagg,addition,0.0144,-0.011|+0.067|+0.024|+0.026|-0.033,2700
WARRIOR,Loatheb,addition,0.023,+0.004|+0.091|+0.037|-0.002|-0.015,2700
WARRIOR,Sludge Belcher,addition,0.0422,+0.096|+0.083|+0.030|+0.020|-0.019,2700
WARRIOR,Spectral Knight,addition,0.0067,+0.020|+0.052|-0.022|+0.017|-0.033,2700
WARRIOR,Maexxna,addition,-0.0237,+0.033|+0.017|+0.000|-0.065|-0.104,2700
WARRIOR,Kel'Thuzad,addition,-0.0181,-0.030|+0.072|-0.069|-0.050|-0.015,2700
WARRIOR,Death's Bite,addition,-0.0322,-0.004|+0.000|-0.020|-0.057|-0.080,2700
