class,card,mode,mean_delta_wr,host_deltas,games_per_side
HUNTER,Zombie Chow,addition,-0.0044,-0.009|-0.039|+0.046|-0.043|+0.022,2700
HUNTER,Undertaker,addition,-0.0022,+0.013|-0.009|+0.037|-0.050|-0.002,2700
HUNTER,Echoing Ooze,addition,0.0152,+0.072|+0.004|-0.015|+0.026|-0.011,2700
HUNTER,Haunted Creeper,addition,0.0252,+0.033|+0.024|+0.057|-0.004|+0.015,2700
HUNTER,Mad Scientist,addition,0.0393,+0.054|+0.022|+0.043|+0.041|+0.037,2700
HUNTER,Nerub'ar Weblord,addition,-0.0137,+0.028|-0.019|+0.004|-0.059|-0.022,2700
HUNTER,Nerubian Egg,addition,-0.0096,-0.009|-0.006|+0.039|-0.065|-0.007,2700
HUNTER,Unstable Ghoul,addition,-0.0041,-0.020|-0.041|+0.057|-0.035|+0.019,2700
HUNTER,Dancing Swords,addition,0.0126,+0.041|+0.024|+0.057|-0.057|-0.002,2700
HUNTER,Deathlord,addition,0.0237,+0.070|+0.035|+0.035|-0.004|-0.019,2700
HUNTER,Shade of Naxxramas,addition,-0.0048,+0.030|-0.022|+0.017|-0.052|+0.004,2700
HUNTER,Stoneskin Gargoyle,addition,0.0007,-0.007|-0.035|+0.056|-0.020|+0.011,2700
HUNTER,Baron Rivendare,addition,-0.0359,-0.013|-0.041|-0.011|-0.061|-0.054,2700
HUNTER,Wailing Soul,addition,-0.013,-0.004|-0.007|+0.009|-0.013|-0.050,2700
HUNTER,Feugen,addition,0.0067,+0.037|+0.007|+0.024|-0.013|-0.022,2700
HUNTER,Stalagg,addition,-0.0059,-0.015|+0.000|+0.007|-0.009|-0.013,2700
HUNTER,Loatheb,addition,-0.0167,+0.000|-0.007|+0.009|-0.054|-0.031,2700
HUNTER,Sludge Belcher,addition,0.02,+0.035|+0.019|+0.059|-0.009|-0.004,2700
HUNTER,Spectral Knight,addition,-0.0063,-0.013|+0.000|+0.019|-0.033|-0.004,2700
HUNTER,Maexxna,addition,-0.0263,-0.054|-0.022|+0.000|-0.065|+0.009,2700
HUNTER,Kel'Thuzad,addition,-0.0174,-0.004|-0.037|-0.020|-0.028|+0.002,2700
HUNTER,Webspinner,addition,0.0056,+0.004|+0.020|+0.046|-0.024|-0.019,2700
MAGE,Zombie Chow,addition,0.0174,-0.004|+0.043|+0.017|+0.002|+0.030,2700
MAGE,Undertaker,addition,0.0189,+0.013|+0.024|+0.026|+0.041|-0.009,2700
MAGE,Echoing Ooze,addition,0.01,-0.024|+0.006|+0.052|+0.007|+0.009,2700
MAGE,Haunted Creeper,addition,0.0311,+0.011|+0.019|+0.057|+0.030|+0.039,2700
MAGE,Mad Scientist,addition,0.04,+0.057|+0.002|+0.102|+0.030|+0.009,2700
MAGE,Nerub'ar Weblord,addition,-0.0233,-0.020|-0.035|-0.028|-0.024|-0.009,2700
MAGE,Nerubian Egg,addition,0.0156,+0.019|+0.031|+0.022|+0.024|-0.019,2700
MAGE,Unstable Ghoul,addition,0.0019,-0.030|+0.028|+0.020|+0.015|-0.024,2700
MAGE,Dancing Swords,addition,0.0004,+0.009|-0.006|+0.019|-0.011|-0.009,2700
MAGE,Deathlord,addition,0.0211,+0.013|-0.015|+0.078|+0.011|+0.019,2700
MAGE,Shade of Naxxramas,addition,0.0011,+0.013|+0.007|+0.002|+0.000|-0.017,2700
MAGE,Stoneskin Gargoyle,addition,0.0067,+0.002|+0.037|+0.013|-0.035|+0.017,2700
MAGE,Baron Rivendare,addition,-0.0096,+0.013|-0.022|-0.015|+0.030|-0.054,2700
MAGE,Wailing Soul,addition,0.0107,-0.020|+0.015|+0.046|-0.020|+0.033,2700
MAGE,Feugen,addition,0.013,-0.024|+0.026|+0.054|-0.004|+0.013,2700
MAGE,Stalagg,addition,0.0322,+0.004|+0.031|+0.069|+0.031|+0.026,2700
MAGE,Loatheb,addition,0.0074,-0.006|+0.022|+0.044|-0.011|-0.013,2700
MAGE,Sludge Belcher,addition,0.037,+0.011|+0.024|+0.070|+0.052|+0.028,2700
MAGE,Spectral Knight,addition,0.0044,+0.009|+0.017|+0.044|-0.031|-0.017,2700
MAGE,Maexxna,addition,0.0011,-0.009|+0.017|+0.007|-0.007|-0.002,2700
MAGE,Kel'Thuzad,addition,0.0011,+0.009|+0.000|+0.000|+0.009|-0.013,2700
MAGE,Duplicate,addition,-0.013,-0.030|-0.007|-0.009|+0.013|-0.031,2700
WARRIOR,Zombie Chow,addition,-0.0048,+0.028|+0.007|-0.022|+0.009|-0.046,2700
WARRIOR,Undertaker,addition,0.0178,+0.076|+0.000|-0.017|+0.004|+0.026,2700
WARRIOR,Echoing Ooze,addition,0.0085,+0.065|-0.011|+0.024|-0.009|-0.026,2700
WARRIOR,Haunted Creeper,addition,0.0207,+0.059|+0.026|-0.006|+0.000|+0.024,2700
WARRIOR,Mad Scientist,addition,0.0137,+0.048|-0.007|+0.004|+0.015|+0.009,2700
