class,card,mode,mean_delta_wr,host_deltas,games_per_side
HUNTER,Zombie Chow,addition,-0.0126,+0.037|-0.054|-0.030|+0.030|-0.046,2700
HUNTER,Undertaker,addition,0.0037,+0.057|-0.017|-0.017|+0.009|-0.015,2700
HUNTER,Echoing Ooze,addition,-0.0133,+0.043|-0.041|-0.054|-0.009|-0.006,2700
HUNTER,Haunted Creeper,addition,-0.0611,-0.028|-0.076|-0.094|-0.050|-0.057,2700
HUNTER,Mad Scientist,addition,0.0174,+0.072|-0.015|+0.024|-0.017|+0.022,2700
HUNTER,Nerub'ar Weblord,addition,-0.0059,+0.020|-0.015|-0.046|+0.011|+0.000,2700
HUNTER,Nerubian Egg,addition,-0.0811,-0.044|-0.078|-0.104|-0.069|-0.111,2700
HUNTER,Unstable Ghoul,addition,-0.0037,+0.030|-0.007|-0.019|+0.015|-0.037,2700
HUNTER,Dancing Swords,addition,-0.0189,+0.028|-0.030|-0.024|+0.004|-0.072,2700
HUNTER,Deathlord,addition,0.02,+0.056|+0.002|+0.000|+0.037|+0.006,2700
HUNTER,Shade of Naxxramas,addition,0.0141,+0.015|+0.006|+0.004|+0.037|+0.009,2700
HUNTER,Stoneskin Gargoyle,addition,-0.0578,-0.031|-0.039|-0.089|-0.035|-0.094,2700
HUNTER,Baron Rivendare,addition,-0.0289,+0.004|-0.043|-0.028|+0.019|-0.096,2700
HUNTER,Wailing Soul,addition,-0.0137,+0.013|-0.039|+0.017|-0.006|-0.054,2700
HUNTER,Feugen,addition,-0.0219,-0.002|-0.026|-0.072|+0.011|-0.020,2700
HUNTER,Stalagg,addition,0.0011,+0.024|+0.024|-0.035|+0.002|-0.009,2700
HUNTER,Loatheb,addition,-0.0311,+0.006|-0.026|-0.046|-0.050|-0.039,2700
HUNTER,Sludge Belcher,addition,0.0011,+0.015|-0.026|+0.006|+0.004|+0.007,2700
HUNTER,Spectral Knight,addition,-0.0141,+0.007|-0.030|-0.030|-0.017|-0.002,2700
HUNTER,Maexxna,addition,-0.0304,-0.004|-0.054|-0.050|-0.015|-0.030,2700
HUNTER,Kel'Thuzad,addition,-0.0267,+0.035|-0.052|-0.044|-0.044|-0.028,2700
HUNTER,Webspinner,addition,-0.0081,+0.004|-0.009|-0.015|+0.019|-0.039,2700
MAGE,Zombie Chow,addition,-0.0048,-0.017|+0.026|-0.065|+0.024|+0.007,2700
MAGE,Undertaker,addition,0.0007,-0.017|+0.006|-0.069|+0.043|+0.041,2700
MAGE,Echoing Ooze,addition,-0.0219,-0.031|-0.007|-0.100|+0.030|+0.000,2700
MAGE,Haunted Creeper,addition,-0.0289,-0.059|+0.015|-0.074|-0.015|-0.011,2700
MAGE,Mad Scientist,addition,0.0185,+0.020|+0.009|+0.054|-0.002|+0.011,2700
MAGE,Nerub'ar Weblord,addition,-0.0204,-0.020|-0.041|-0.069|+0.026|+0.002,2700
MAGE,Nerubian Egg,addition,-0.0719,-0.056|-0.091|-0.107|-0.039|-0.067,2700
MAGE,Unstable Ghoul,addition,-0.0141,-0.035|+0.002|-0.044|-0.009|+0.017,2700
MAGE,Dancing Swords,addition,-0.0367,-0.056|-0.024|-0.098|-0.002|-0.004,2700
MAGE,Deathlord,addition,0.0167,+0.002|+0.056|-0.013|+0.024|+0.015,2700
MAGE,Shade of Naxxramas,addition,-0.0044,-0.067|-0.002|-0.017|+0.052|+0.011,2700
MAGE,Stoneskin Gargoyle,addition,-0.0589,-0.067|-0.031|-0.113|-0.037|-0.046,2700
MAGE,Baron Rivendare,addition,-0.0007,-0.002|+0.011|-0.022|+0.026|-0.017,2700
MAGE,Wailing Soul,addition,-0.02,-0.041|-0.006|-0.096|+0.026|+0.017,2700
MAGE,Feugen,addition,-0.0122,-0.028|-0.007|-0.033|-0.006|+0.013,2700
MAGE,Stalagg,addition,-0.0207,-0.002|-0.019|-0.061|+0.028|-0.050,2700
MAGE,Loatheb,addition,0.0078,+0.019|-0.028|-0.022|+0.033|+0.037,2700
MAGE,Sludge Belcher,addition,0.017,+0.015|-0.002|-0.024|+0.052|+0.044,2700
MAGE,Spectral Knight,addition,-0.0056,+0.009|+0.011|-0.061|+0.017|-0.004,2700
MAGE,Maexxna,addition,0.0011,-0.013|+0.024|-0.033|+0.033|-0.006,2700
MAGE,Kel'Thuzad,addition,-0.0211,-0.011|+0.015|-0.078|-0.019|-0.013,2700
MAGE,Duplicate,addition,-0.043,-0.022|-0.031|-0.107|-0.022|-0.031,2700
WARRIOR,Zombie Chow,addition,-0.017,-0.022|+0.026|-0.024|-0.028|-0.037,2700
WARRIOR,Undertaker,addition,-0.0156,-0.026|+0.026|-0.037|-0.046|+0.006,2700
WARRIOR,Echoing Ooze,addition,-0.0067,-0.011|+0.035|-0.011|-0.050|+0.004,2700
WARRIOR,Haunted Creeper,addition,-0.0348,-0.065|-0.007|-0.028|-0.006|-0.069,2700
WARRIOR,Mad Scientist,addition,-0.0181,-0.030|+0.028|-0.033|-0.033|-0.022,2700
WARRIOR,Nerub'ar Weblord,addition,-0.0241,-0.059|+0.043|-0.044|-0.022|-0.037,2700
WARRIOR,Nerubian Egg,addition,-0.083,-0.087|-0.006|-0.104|-0.081|-0.137,2700
WARRIOR,Unstable Ghoul,addition,-0.0011,+0.022|+0.059|-0.057|-0.020|-0.009,2700
