class,card,mode,mean_delta_wr,host_deltas,games_per_side
HUNTER,Zombie Chow,addition,-0.0141,-0.028|-0.024|-0.011|+0.007|-0.015,2700
HUNTER,Undertaker,addition,0.0104,-0.033|-0.037|+0.031|+0.035|+0.056,2700
HUNTER,Echoing Ooze,addition,-0.0011,-0.015|-0.033|+0.007|+0.024|+0.011,2700
HUNTER,Haunted Creeper,addition,0.0304,+0.006|-0.019|+0.046|+0.063|+0.056,2700
HUNTER,Mad Scientist,addition,0.03,+0.020|-0.024|+0.013|+0.069|+0.072,2700
HUNTER,Nerub'ar Weblord,addition,-0.0248,-0.024|-0.033|-0.063|+0.009|-0.013,2700
HUNTER,Nerubian Egg,addition,-0.0074,-0.037|-0.017|+0.024|-0.007|+0.000,2700
HUNTER,Unstable Ghoul,addition,0.0122,-0.013|-0.006|+0.028|+0.044|+0.007,2700
HUNTER,Dancing Swords,addition,-0.0022,-0.011|-0.057|+0.013|+0.043|+0.002,2700
HUNTER,Deathlord,addition,0.0267,+0.039|+0.011|+0.028|+0.039|+0.017,2700
HUNTER,Shade of Naxxramas,addition,0.0185,-0.026|+0.002|+0.030|+0.065|+0.022,2700
HUNTER,Stoneskin Gargoyle,addition,0.0033,-0.013|-0.026|+0.028|+0.015|+0.013,2700
HUNTER,Baron Rivendare,addition,-0.0259,-0.024|-0.067|-0.043|+0.015|-0.011,2700
HUNTER,Wailing Soul,addition,-0.0307,-0.059|-0.033|-0.015|-0.037|-0.009,2700
HUNTER,Feugen,addition,0.0033,-0.013|-0.017|+0.015|+0.031|+0.000,2700
HUNTER,Stalagg,addition,0.0181,+0.013|+0.019|+0.033|+0.007|+0.019,2700
HUNTER,Loatheb,addition,-0.0056,+0.006|-0.043|-0.007|-0.006|+0.022,2700
HUNTER,Sludge Belcher,addition,0.03,+0.041|-0.022|+0.056|+0.026|+0.050,2700
HUNTER,Spectral Knight,addition,0.003,+0.017|-0.026|-0.015|+0.020|+0.019,2700
HUNTER,Maexxna,addition,-0.0126,-0.007|-0.037|-0.020|-0.015|+0.017,2700
HUNTER,Kel'Thuzad,addition,-0.0056,+0.004|-0.028|-0.017|+0.030|-0.017,2700
HUNTER,Webspinner,addition,0.0085,+0.020|+0.006|-0.013|+0.019|+0.011,2700
MAGE,Zombie Chow,addition,0.0185,+0.028|-0.002|+0.004|+0.007|+0.056,2700
MAGE,Undertaker,addition,0.0307,+0.033|+0.024|+0.044|+0.011|+0.041,2700
MAGE,Echoing Ooze,addition,0.007,-0.009|-0.039|+0.022|+0.031|+0.030,2700
MAGE,Haunted Creeper,addition,0.0252,+0.019|+0.006|+0.059|+0.030|+0.013,2700
MAGE,Mad Scientist,addition,0.0367,+0.052|+0.006|+0.070|+0.057|-0.002,2700
MAGE,Nerub'ar Weblord,addition,-0.043,-0.044|-0.054|-0.061|-0.041|-0.015,2700
MAGE,Nerubian Egg,addition,0.0222,+0.002|-0.006|+0.048|+0.022|+0.044,2700
MAGE,Unstable Ghoul,addition,0.0093,+0.015|-0.011|-0.006|+0.050|-0.002,2700
MAGE,Dancing Swords,addition,-0.0026,+0.002|-0.024|-0.017|+0.009|+0.017,2700
MAGE,Deathlord,addition,0.0152,+0.020|+0.007|+0.009|+0.030|+0.009,2700
MAGE,Shade of Naxxramas,addition,-0.0107,+0.006|-0.030|-0.030|-0.007|+0.007,2700
MAGE,Stoneskin Gargoyle,addition,-0.0119,-0.011|-0.011|-0.041|+0.002|+0.002,2700
MAGE,Baron Rivendare,addition,-0.0067,-0.004|-0.020|-0.002|+0.028|-0.035,2700
MAGE,Wailing Soul,addition,-0.0,-0.002|-0.004|+0.009|+0.006|-0.009,2700
MAGE,Feugen,addition,0.0263,+0.057|-0.033|+0.048|+0.035|+0.024,2700
MAGE,Stalagg,addition,0.0074,+0.006|-0.041|+0.037|+0.028|+0.007,2700
MAGE,Loatheb,addition,0.0119,+0.002|-0.019|+0.017|+0.056|+0.004,2700
MAGE,Sludge Belcher,addition,0.0404,+0.057|+0.004|+0.052|+0.046|+0.043,2700
MAGE,Spectral Knight,addition,0.017,+0.039|-0.022|+0.017|+0.031|+0.020,2700
MAGE,Maexxna,addition,-0.0056,-0.007|-0.039|-0.035|+0.031|+0.022,2700
MAGE,Kel'Thuzad,addition,0.0007,-0.020|-0.002|-0.020|+0.030|+0.017,2700
MAGE,Duplicate,addition,-0.0044,+0.011|+0.006|+0.000|-0.019|-0.020,2700
WARRIOR,Zombie Chow,addition,-0.0048,+0.019|+0.037|-0.015|-0.015|-0.050,2700
WARRIOR,Undertaker,addition,0.0081,+0.102|+0.006|-0.039|-0.017|-0.011,2700
WARRIOR,Echoing Ooze,addition,0.0096,+0.065|+0.043|-0.033|-0.004|-0.022,2700
WARRIOR,Haunted Creeper,addition,0.0207,+0.085|+0.030|-0.002|-0.022|+0.013,2700
WARRIOR,Mad Scientist,addition,0.0244,+0.078|+0.050|+0.019|-0.041|+0.017,2700
WARRIOR,Nerub'ar Weblord,addition,0.0019,+0.033|+0.022|-0.052|-0.033|+0.039,2700
WARRIOR,Nerubian Egg,addition,-0.0022,+0.050|+0.011|-0.033|-0.011|-0.028,2700
WARRIOR,Unstable Ghoul,addition,0.0319,+0.120|-0.004|+0.041|+0.000|+0.002,2700
WARRIOR,Dancing Swords,addition,0.01,+0.037|+0.046|-0.033|-0.006|+0.006,2700
WARRIOR,Deathlord,addition,0.0474,+0.113|+0.074|+0.020|+0.006|+0.024,2700
WARRIOR,Shade of Naxxramas,addition,0.0115,+0.056|+0.052|-0.020|-0.024|-0.006,2700
WARRIOR,Stoneskin Gargoyle,addition,0.0178,+0.104|+0.078|-0.028|-0.020|-0.044,2700
WARRIOR,Baron Rivendare,addition,-0.0144,+0.043|-0.017|-0.041|-0.031|-0.026,2700
WARRIOR,Wailing Soul,addition,0.0115,+0.091|+0.033|-0.015|-0.019|-0.033,2700
WARRIOR,Feugen,addition,0.0537,+0.139|+0.046|+0.026|+0.011|+0.046,2700
WARRIOR,Stalagg,addition,0.03,+0.050|+0.083|-0.011|+0.031|-0.004,2700
WARRIOR,Loatheb,addition,0.017,+0.078|+0.056|-0.024|+0.000|-0.024,2700
WARRIOR,Sludge Belcher,addition,0.053,+0.104|+0.080|+0.022|+0.019|+0.041,2700
WARRIOR,Spectral Knight,addition,0.007,+0.057|+0.024|-0.026|+0.009|-0.030,2700
WARRIOR,Maexxna,addition,0.0256,+0.076|+0.078|+0.000|-0.022|-0.004,2700
WARRIOR,Kel'Thuzad,addition,0.0115,+0.050|+0.033|+0.002|-0.033|+0.006,2700
WARRIOR,Death's Bite,addition,-0.0044,+0.039|-0.019|-0.024|-0.004|-0.015,2700
