era,readout,levels_mae,movers_mae,staples_mae,overpred_rate,movers_spearman,direction_rate,overall_spearman,n_overpred_total,n_ceiling_total,buzzard_hunter
naxx_launch,a_final_unique,0.1116,0.1456,0.2352,0.0118,0.6232,0.6591,0.4451,4,4,1.0
naxx_launch,b_final_bins,0.1101,0.1447,0.2323,0.0118,0.6187,0.6545,0.4531,4,4,1.0
naxx_launch,c_final_softmax_T0.005,0.2346,0.3176,0.6674,0.1711,0.5135,0.6417,0.4604,55,50,1.0
naxx_launch,c_final_softmax_T0.01,0.2232,0.3013,0.6271,0.1538,0.5142,0.6417,0.4609,49,24,1.0
naxx_launch,c_final_softmax_T0.02,0.1995,0.2775,0.5574,0.1024,0.5138,0.6468,0.4143,34,11,1.0
naxx_launch,c_final_softmax_T0.05,0.1642,0.2376,0.4419,0.0344,0.5255,0.5881,0.3729,12,4,1.0
naxx_launch,c_final_softmax_T0.1,0.1464,0.2061,0.3667,0.0178,0.5223,0.604,0.3722,6,4,1.0
naxx_launch,c_final_softmax_T0.2,0.1265,0.1739,0.2962,0.0118,0.5713,0.6267,0.4025,4,4,1.0
naxx_launch,c_final_softmax_T0.5,0.1145,0.1523,0.2424,0.0118,0.6014,0.6467,0.4317,4,4,1.0
naxx_launch,d_pooled_last1,0.1116,0.1456,0.2352,0.0118,0.6232,0.6591,0.4451,4,4,1.0
naxx_launch,d_pooled_last3,0.1107,0.1447,0.2308,0.0116,0.621,0.6591,0.4413,4,3,0.95
naxx_launch,d_pooled_last5,0.1089,0.143,0.2309,0.0085,0.6181,0.6503,0.4448,3,2,0.88
naxx_launch,d_pooled_last10,0.1056,0.1416,0.2343,0.0055,0.632,0.6662,0.442,2,2,0.9118
naxx_launch,d_pooled_last25,0.0936,0.1295,0.2048,0.0085,0.6836,0.7255,0.5029,3,2,0.9538
naxx_launch,d_coarsen3,0.1428,0.1786,0.298,0.0217,0.5871,0.6014,0.4155,7,7,1.0
naxx_launch,d_coarsen5,0.1622,0.2101,0.346,0.0288,0.4967,0.5399,0.3568,9,10,1.0
