mode,period,class,variant,buzzard,real_buzzard,n_scored,levels_mae,max_abs_err,n_overpred,overpred_rate,n_pred_ge95,overpred_precision,n_at_ceiling,movers_mae,staples_mae,n_staples,movers_spearman,n_movers,direction_hits,direction_rate,overall_spearman
anchored,p1_naxx_early,HUNTER,raw,1.0,0.7859,105,0.1019,0.5091,3,0.0286,3,1.0,3,0.163,0.2095,19,0.7274,36,18,0.5,0.5257
anchored,p1_naxx_early,HUNTER,massmatch,0.9301,0.7859,105,0.0803,0.4912,0,0.0,0,0.0,0,0.1396,0.2107,17,0.7274,36,25,0.6944,0.5257
anchored,p1_naxx_early,HUNTER,quantile,0.9088,0.7859,105,0.0799,0.5026,0,0.0,0,0.0,0,0.1445,0.1843,19,0.7274,36,23,0.6389,0.5257
anchored,p1_naxx_early,MAGE,raw,0.0,0.0,124,0.1284,0.6797,1,0.0081,1,1.0,1,0.178,0.3346,11,0.3773,55,22,0.4,0.4217
anchored,p1_naxx_early,MAGE,massmatch,0.0,0.0,124,0.1048,0.5607,1,0.0081,1,1.0,0,0.154,0.2902,9,0.3773,55,32,0.5818,0.4217
anchored,p1_naxx_early,MAGE,quantile,0.0,0.0,124,0.1119,0.5813,1,0.0081,2,0.5,0,0.1667,0.2869,11,0.3773,55,28,0.5091,0.4217
anchored,p1_naxx_early,WARRIOR,raw,0.0,0.0,120,0.0988,0.5861,1,0.0083,1,1.0,1,0.1496,0.1688,14,0.502,42,23,0.5476,0.5078
anchored,p1_naxx_early,WARRIOR,massmatch,0.0,0.0,120,0.0847,0.571,1,0.0083,1,1.0,0,0.1407,0.1806,13,0.502,42,26,0.619,0.5078
anchored,p1_naxx_early,WARRIOR,quantile,0.0,0.0,120,0.0908,0.5806,0,0.0,0,0.0,0,0.1523,0.1695,14,0.502,42,22,0.5238,0.5078
anchored,p2_naxx_late,HUNTER,raw,0.5333,0.528,105,0.0983,0.4133,0,0.0,0,0.0,0,0.1461,0.166,17,0.6716,29,17,0.5862,0.5687
anchored,p2_naxx_late,HUNTER,massmatch,0.3928,0.528,105,0.091,0.4974,0,0.0,0,0.0,0,0.16,0.236,15,0.6716,29,16,0.5517,0.5687
