card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abomination,0.0,0.0,0.3,15,16,20
Abusive Sergeant,0.2,0.25,0.0,15,16,20
Acidic Swamp Ooze,0.0,0.1875,0.0,15,16,20
Acolyte of Pain,0.1333,0.3125,0.85,15,16,20
Alexstrasza,0.0,0.25,0.6,15,16,20
Amani Berserker,0.0,0.8125,0.2,15,16,20
Ancient Watcher,0.0,0.0625,0.0,15,16,20
Animal Companion,1.0,0.0,0.0,15,16,20
Arathi Weaponsmith,0.0,0.0,0.2,15,16,20
Arcane Explosion,0.0,0.1875,0.0,15,16,20
Arcane Golem,0.0,0.125,0.05,15,16,20
Arcane Intellect,0.0,0.375,0.0,15,16,20
Arcane Missiles,0.0,0.6875,0.0,15,16,20
Arcane Shot,0.3333,0.0,0.0,15,16,20
Arcanite Reaper,0.0,0.0,0.2,15,16,20
Archmage Antonidas,0.0,0.0625,0.0,15,16,20
Argent Commander,0.0,0.0,0.25,15,16,20
Argent Squire,0.0,0.1875,0.0,15,16,20
Armorsmith,0.0,0.0,0.75,15,16,20
Azure Drake,0.0,0.5,0.15,15,16,20
Baron Geddon,0.0,0.0,0.45,15,16,20
Battle Rage,0.0,0.0,0.05,15,16,20
Big Game Hunter,0.0,0.25,0.25,15,16,20
Blizzard,0.0,0.0625,0.0,15,16,20
Blood Knight,0.0,0.0625,0.0,15,16,20
Bloodfen Raptor,0.0,0.0,0.05,15,16,20
Bloodmage Thalnos,0.0,0.25,0.15,15,16,20
Bloodsail Raider,0.0,0.0,0.25,15,16,20
Bluegill Warrior,0.0,0.1875,0.0,15,16,20
Boulderfist Ogre,0.0,0.0,0.05,15,16,20
Brawl,0.0,0.0,0.45,15,16,20
Cairne Bloodhoof,0.0,0.25,0.7,15,16,20
Charge,0.0,0.0,0.05,15,16,20
Chillwind Yeti,0.0,0.0,0.05,15,16,20
Cleave,0.0,0.0,0.5,15,16,20
Coldlight Seer,0.0667,0.0,0.0,15,16,20
Commanding Shout,0.0,0.0,0.05,15,16,20
Cone of Cold,0.0,0.1875,0.0,15,16,20
Counterspell,0.0,0.5,0.0,15,16,20
Crazed Alchemist,0.0667,0.0,0.0,15,16,20
Cruel Taskmaster,0.0,0.0,0.8,15,16,20
Dalaran Mage,0.0,0.0,0.1,15,16,20
Dancing Swords,0.2,0.0,0.0,15,16,20
Dark Iron Dwarf,0.0,0.1875,0.05,15,16,20
Darkscale Healer,0.0,0.25,0.0,15,16,20
Deadly Shot,0.7333,0.0,0.0,15,16,20
Dire Wolf Alpha,0.4,0.0,0.0,15,16,20
Dread Corsair,0.0,0.1875,0.05,15,16,20
Eaglehorn Bow,0.6,0.0,0.0,15,16,20
Earthen Ring Farseer,0.0667,0.0625,0.05,15,16,20
Elven Archer,0.0,0.125,0.0,15,16,20
Ethereal Arcanist,0.0,0.25,0.0,15,16,20
Execute,0.0,0.0,0.9,15,16,20
Explosive Shot,0.4667,0.0,0.0,15,16,20
Explosive Trap,0.8,0.0,0.0,15,16,20
Faceless Manipulator,0.0,0.25,0.15,15,16,20
Faerie Dragon,0.0667,0.1875,0.05,15,16,20
Feugen,0.0,0.0,0.15,15,16,20
Fiery War Axe,0.0,0.0,1.0,15,16,20
Fireball,0.0,1.0,0.0,15,16,20
Flamestrike,0.0,0.625,0.0,15,16,20
Flare,0.7333,0.0,0.0,15,16,20
Flesheating Ghoul,0.0,0.0,0.05,15,16,20
Freezing Trap,0.5333,0.0,0.0,15,16,20
Frostbolt,0.0,1.0,0.0,15,16,20
Frostwolf Warlord,0.0,0.0,0.05,15,16,20
Frothing Berserker,0.0,0.0,0.75,15,16,20
Gadgetzan Auctioneer,0.1333,0.0,0.35,15,16,20
Gladiator's Longbow,0.0667,0.0,0.0,15,16,20
Gnomish Inventor,0.0,0.0,0.05,15,16,20
Goldshire Footman,0.1333,0.0,0.0,15,16,20
Gorehowl,0.0,0.0,0.3,15,16,20
Grommash Hellscream,0.0,0.0,0.55,15,16,20
Gurubashi Berserker,0.0,0.1875,0.0,15,16,20
Harvest Golem,0.0,0.375,0.05,15,16,20
Haunted Creeper,0.0667,0.0,0.0,15,16,20
Heroic Strike,0.0,0.0,0.1,15,16,20
Houndmaster,0.5333,0.0,0.0,15,16,20
Hunter's Mark,0.6667,0.0,0.0,15,16,20
Ice Block,0.0,0.1875,0.0,15,16,20
Imp Master,0.0,0.0,0.05,15,16,20
Inner Rage,0.0,0.0,0.45,15,16,20
Ironbeak Owl,0.1333,0.0,0.0,15,16,20
Ironforge Rifleman,0.0,0.0625,0.0,15,16,20
Ironfur Grizzly,0.1333,0.0,0.0,15,16,20
Jungle Panther,0.0667,0.0,0.0,15,16,20
Kel'Thuzad,0.1333,0.125,0.0,15,16,20
Kill Command,1.0,0.0,0.0,15,16,20
Kirin Tor Mage,0.0,0.5,0.0,15,16,20
Knife Juggler,0.2,0.1875,0.0,15,16,20
Kobold Geomancer,0.0,0.1875,0.0,15,16,20
Kor'kron Elite,0.0,0.0,0.2,15,16,20
Leeroy Jenkins,0.4,0.1875,0.15,15,16,20
Leper Gnome,0.1333,0.1875,0.15,15,16,20
Lightwarden,0.0,0.0,0.05,15,16,20
Loot Hoarder,0.0,0.0,0.05,15,16,20
