card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abomination,0.1538,0.0345,0.0,13,29,28
Abusive Sergeant,0.2308,0.0,0.1071,13,29,28
Acolyte of Pain,0.0,0.4138,0.6429,13,29,28
Alarm-o-Bot,0.0,0.0345,0.0357,13,29,28
Alexstrasza,0.0,0.1379,0.25,13,29,28
Amani Berserker,0.0,0.3448,0.1786,13,29,28
Ancient Brewmaster,0.0,0.069,0.0357,13,29,28
Animal Companion,0.8462,0.0,0.0,13,29,28
Arcane Explosion,0.0,0.2069,0.0,13,29,28
Arcane Golem,0.0,0.0,0.0714,13,29,28
Arcane Intellect,0.0,0.6897,0.0,13,29,28
Arcane Missiles,0.0,0.4483,0.0,13,29,28
Arcane Shot,0.4615,0.0,0.0,13,29,28
Arcanite Reaper,0.0,0.0,0.25,13,29,28
Archmage Antonidas,0.0,0.1379,0.0,13,29,28
Argent Commander,0.0,0.069,0.0714,13,29,28
Armorsmith,0.0,0.0,0.7857,13,29,28
Azure Drake,0.0,0.5517,0.1071,13,29,28
Baron Rivendare,0.3077,0.0,0.0,13,29,28
Battle Rage,0.0,0.0,0.2143,13,29,28
Big Game Hunter,0.0,0.069,0.1071,13,29,28
Blizzard,0.0,0.2759,0.0,13,29,28
Blood Knight,0.0,0.0,0.1786,13,29,28
Bloodfen Raptor,0.0,0.1034,0.0,13,29,28
Bloodmage Thalnos,0.0,0.3103,0.0357,13,29,28
Bluegill Warrior,0.0,0.0345,0.0714,13,29,28
Booty Bay Bodyguard,0.0,0.0345,0.0,13,29,28
Brawl,0.0,0.0,0.6071,13,29,28
Cairne Bloodhoof,0.2308,0.0,0.3214,13,29,28
Charge,0.0,0.0,0.2143,13,29,28
Chillwind Yeti,0.0,0.1034,0.0,13,29,28
Cleave,0.0,0.0,0.2857,13,29,28
Coldlight Seer,0.0,0.0,0.0357,13,29,28
Cone of Cold,0.0,0.1034,0.0,13,29,28
Core Hound,0.0,0.0,0.0357,13,29,28
Counterspell,0.0,0.2069,0.0,13,29,28
Crazed Alchemist,0.0769,0.0,0.0357,13,29,28
Cruel Taskmaster,0.0,0.0,0.8929,13,29,28
Cult Master,0.0,0.1379,0.0,13,29,28
Dalaran Mage,0.0,0.0,0.1429,13,29,28
Deadly Shot,0.3077,0.0,0.0,13,29,28
Death's Bite,0.0,0.0,0.3214,13,29,28
Defender of Argus,0.0,0.3448,0.1071,13,29,28
Dire Wolf Alpha,0.2308,0.0,0.0714,13,29,28
Doomsayer,0.0,0.069,0.0,13,29,28
Dragonling Mechanic,0.0,0.0,0.0357,13,29,28
Dread Corsair,0.0,0.0,0.0357,13,29,28
Duplicate,0.0,0.1724,0.0,13,29,28
Eaglehorn Bow,0.4615,0.0,0.0,13,29,28
Earthen Ring Farseer,0.0,0.2069,0.1429,13,29,28
Elven Archer,0.0,0.0345,0.0357,13,29,28
Ethereal Arcanist,0.0,0.2414,0.0,13,29,28
Execute,0.0,0.0,0.9643,13,29,28
Explosive Shot,0.1538,0.0,0.0,13,29,28
Explosive Trap,0.7692,0.0,0.0,13,29,28
Faceless Manipulator,0.0,0.0,0.1429,13,29,28
Faerie Dragon,0.0,0.2414,0.0,13,29,28
Fen Creeper,0.0769,0.0,0.0,13,29,28
Feugen,0.1538,0.1379,0.0,13,29,28
Fiery War Axe,0.0,0.0,0.6071,13,29,28
Fireball,0.0,0.8966,0.0,13,29,28
Flamestrike,0.0,0.9655,0.0,13,29,28
Flare,0.7692,0.0,0.0,13,29,28
Flesheating Ghoul,0.3077,0.0,0.0714,13,29,28
Freezing Trap,0.6923,0.0,0.0,13,29,28
Frost Nova,0.0,0.2414,0.0,13,29,28
Frostbolt,0.0,0.7931,0.0,13,29,28
Frostwolf Warlord,0.0,0.0345,0.0,13,29,28
Frothing Berserker,0.0,0.0,0.2143,13,29,28
Gadgetzan Auctioneer,0.0,0.1724,0.2143,13,29,28
Gladiator's Longbow,0.1538,0.0,0.0,13,29,28
Gnomish Inventor,0.0769,0.1034,0.1071,13,29,28
Gorehowl,0.0,0.0,0.0357,13,29,28
Grimscale Oracle,0.0,0.0,0.1071,13,29,28
Grommash Hellscream,0.0,0.0,0.75,13,29,28
Gurubashi Berserker,0.1538,0.0,0.0,13,29,28
Harrison Jones,0.0,0.0,0.1071,13,29,28
Harvest Golem,0.0,0.4138,0.0,13,29,28
Haunted Creeper,0.6154,0.0,0.0357,13,29,28
Heroic Strike,0.0,0.0,0.0714,13,29,28
Houndmaster,0.6154,0.0,0.0,13,29,28
Hungry Crab,0.0769,0.0345,0.0,13,29,28
Hunter's Mark,0.8462,0.0,0.0,13,29,28
Ice Barrier,0.0,0.6897,0.0,13,29,28
Ice Block,0.0,0.3448,0.0,13,29,28
Ice Lance,0.0,0.3103,0.0,13,29,28
Imp Master,0.0,0.0,0.0357,13,29,28
Injured Blademaster,0.0,0.1034,0.0,13,29,28
Inner Rage,0.0,0.0,0.4286,13,29,28
Ironbeak Owl,0.2308,0.1379,0.0357,13,29,28
Kel'Thuzad,0.1538,0.0,0.1429,13,29,28
Kill Command,0.6923,0.0,0.0,13,29,28
King Krush,0.3077,0.0,0.0,13,29,28
Kirin Tor Mage,0.0,0.3793,0.0,13,29,28
Knife Juggler,0.0769,0.1379,0.0714,13,29,28
Kobold Geomancer,0.0,0.1724,0.0714,13,29,28
Kor'kron Elite,0.0,0.0,0.5,13,29,28
Leeroy Jenkins,0.3846,0.069,0.25,13,29,28
Leper Gnome,0.4615,0.3793,0.0,13,29,28
Lightwarden,0.0,0.0345,0.0,13,29,28
Loatheb,0.1538,0.0,0.1786,13,29,28
Loot Hoarder,0.2308,0.1034,0.0,13,29,28
Mad Scientist,0.5385,0.2759,0.0357,13,29,28
Maexxna,0.0,0.069,0.0,13,29,28
Mana Addict,0.0,0.0345,0.0,13,29,28
Mana Wyrm,0.0,0.4483,0.0,13,29,28
Millhouse Manastorm,0.0,0.1379,0.1071,13,29,28
Mind Control Tech,0.0,0.0,0.1071,13,29,28
Mirror Entity,0.0,0.3793,0.0,13,29,28
Mirror Image,0.0,0.5517,0.0,13,29,28
Misdirection,0.3077,0.0,0.0,13,29,28
Molten Giant,0.0,0.0,0.25,13,29,28
Mortal Strike,0.0,0.0,0.2143,13,29,28
Mountain Giant,0.0,0.0,0.2857,13,29,28
