card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abomination,0.0,0.0333,0.0357,23,30,28
Abusive Sergeant,0.0,0.1667,0.0714,23,30,28
Acidic Swamp Ooze,0.0,0.1667,0.1071,23,30,28
Acolyte of Pain,0.2174,0.3333,0.6429,23,30,28
Alexstrasza,0.0,0.2333,0.3214,23,30,28
Amani Berserker,0.0435,0.3667,0.0,23,30,28
Ancient Mage,0.0435,0.0,0.0,23,30,28
Animal Companion,0.8261,0.0,0.0,23,30,28
Arathi Weaponsmith,0.0,0.0,0.1429,23,30,28
Arcane Explosion,0.0,0.0333,0.0,23,30,28
Arcane Golem,0.0435,0.0333,0.0,23,30,28
Arcane Intellect,0.0,0.6,0.0,23,30,28
Arcane Missiles,0.0,0.0333,0.0,23,30,28
Arcane Shot,0.3478,0.0,0.0,23,30,28
Arcanite Reaper,0.0,0.0,0.2143,23,30,28
Archmage,0.0435,0.0,0.0357,23,30,28
Archmage Antonidas,0.0,0.1667,0.0,23,30,28
Argent Commander,0.0,0.1,0.0714,23,30,28
Argent Squire,0.0,0.0333,0.1786,23,30,28
Armorsmith,0.0,0.0,0.6429,23,30,28
Azure Drake,0.0,0.2,0.2143,23,30,28
Baron Geddon,0.0,0.0,0.1071,23,30,28
Baron Rivendare,0.0435,0.0,0.0,23,30,28
Battle Rage,0.0,0.0,0.0714,23,30,28
Big Game Hunter,0.0,0.0333,0.1786,23,30,28
Blizzard,0.0,0.3333,0.0,23,30,28
Bloodmage Thalnos,0.0435,0.2333,0.0,23,30,28
Bloodsail Raider,0.0435,0.0,0.3571,23,30,28
Bluegill Warrior,0.0435,0.0333,0.0,23,30,28
Boulderfist Ogre,0.087,0.0,0.0357,23,30,28
Brawl,0.0,0.0,0.4643,23,30,28
Cairne Bloodhoof,0.0,0.2,0.1429,23,30,28
Chillwind Yeti,0.0,0.3333,0.1071,23,30,28
Cleave,0.0,0.0,0.0714,23,30,28
Coldlight Oracle,0.0,0.0,0.0357,23,30,28
Coldlight Seer,0.0,0.0,0.0357,23,30,28
Commanding Shout,0.0,0.0,0.0714,23,30,28
Cone of Cold,0.0,0.1333,0.0,23,30,28
Counterspell,0.0,0.3333,0.0,23,30,28
Crazed Alchemist,0.0435,0.0,0.0,23,30,28
Cruel Taskmaster,0.0,0.0,1.0,23,30,28
Cult Master,0.1739,0.0,0.0714,23,30,28
Dalaran Mage,0.0,0.0333,0.0,23,30,28
Dancing Swords,0.0435,0.2333,0.0357,23,30,28
Dark Iron Dwarf,0.0,0.0,0.1071,23,30,28
Deadly Shot,0.5217,0.0,0.0,23,30,28
Death's Bite,0.0,0.0,0.6071,23,30,28
Deathlord,0.0,0.0333,0.0,23,30,28
Defender of Argus,0.2609,0.1667,0.1071,23,30,28
Dire Wolf Alpha,0.2609,0.0333,0.1786,23,30,28
Doomsayer,0.0,0.2333,0.0,23,30,28
Duplicate,0.0,0.4,0.0,23,30,28
Eaglehorn Bow,0.7391,0.0,0.0,23,30,28
Earthen Ring Farseer,0.0435,0.0,0.0,23,30,28
Echoing Ooze,0.0435,0.0,0.0,23,30,28
Elite Tauren Chieftain,0.0,0.0,0.1071,23,30,28
Elven Archer,0.0,0.0,0.0714,23,30,28
Emperor Cobra,0.0435,0.0333,0.0357,23,30,28
Ethereal Arcanist,0.0,0.0333,0.0,23,30,28
