card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abomination,0.0,0.0526,0.0,13,19,22
Acidic Swamp Ooze,0.0,0.0,0.0455,13,19,22
Acolyte of Pain,0.1538,0.2105,0.6364,13,19,22
Alexstrasza,0.0,0.1053,0.3636,13,19,22
Amani Berserker,0.0,0.1579,0.2727,13,19,22
Ancient Mage,0.0,0.0526,0.0455,13,19,22
Ancient Watcher,0.0769,0.0,0.0909,13,19,22
Animal Companion,1.0,0.0,0.0,13,19,22
Arcane Golem,0.3077,0.1053,0.0,13,19,22
Arcane Intellect,0.0,0.5789,0.0,13,19,22
Arcanite Reaper,0.0,0.0,0.1818,13,19,22
Archmage Antonidas,0.0,0.1579,0.0,13,19,22
Armorsmith,0.0,0.0,0.5455,13,19,22
Azure Drake,0.0,0.1053,0.0909,13,19,22
Baron Geddon,0.0,0.0,0.1364,13,19,22
Battle Rage,0.0,0.0,0.4091,13,19,22
Big Game Hunter,0.0,0.1053,0.1818,13,19,22
Blizzard,0.0,0.2632,0.0,13,19,22
Blood Knight,0.1538,0.0,0.0,13,19,22
Bloodmage Thalnos,0.0,0.5263,0.0,13,19,22
Bloodsail Corsair,0.0,0.0526,0.0,13,19,22
Bloodsail Raider,0.0769,0.0,0.0,13,19,22
Brawl,0.0,0.0,0.3636,13,19,22
Cairne Bloodhoof,0.5385,0.1053,0.3182,13,19,22
Chillwind Yeti,0.1538,0.2105,0.0,13,19,22
Cleave,0.0,0.0,0.1364,13,19,22
Coldlight Oracle,0.0,0.1579,0.0,13,19,22
Coldlight Seer,0.0,0.0526,0.0,13,19,22
Commanding Shout,0.0,0.0,0.0455,13,19,22
Cone of Cold,0.0,0.1053,0.0,13,19,22
Counterspell,0.0,0.4737,0.0,13,19,22
Crazed Alchemist,0.0,0.0,0.0455,13,19,22
Cruel Taskmaster,0.0,0.0,0.6364,13,19,22
Dark Iron Dwarf,0.0,0.0,0.0455,13,19,22
Darkscale Healer,0.0,0.0526,0.0,13,19,22
Deadly Shot,0.1538,0.0,0.0,13,19,22
Death's Bite,0.0,0.0,0.4545,13,19,22
Deathlord,0.0,0.0,0.3636,13,19,22
Defender of Argus,0.3846,0.0,0.4091,13,19,22
Dire Wolf Alpha,0.0,0.0,0.3636,13,19,22
Doomsayer,0.0,0.2105,0.0,13,19,22
Dragonling Mechanic,0.0,0.0,0.0455,13,19,22
Duplicate,0.0,0.2632,0.0,13,19,22
Eaglehorn Bow,1.0,0.0,0.0,13,19,22
Earthen Ring Farseer,0.2308,0.0,0.0,13,19,22
Echoing Ooze,0.0,0.0526,0.0455,13,19,22
Elite Tauren Chieftain,0.1538,0.0,0.0909,13,19,22
Elven Archer,0.0,0.0526,0.0,13,19,22
Emperor Cobra,0.1538,0.0,0.0,13,19,22
Ethereal Arcanist,0.0,0.0526,0.0,13,19,22
Execute,0.0,0.0,1.0,13,19,22
Explosive Shot,0.2308,0.0,0.0,13,19,22
Explosive Trap,0.8462,0.0,0.0,13,19,22
Faceless Manipulator,0.0,0.2105,0.2273,13,19,22
Faerie Dragon,0.0,0.0,0.0909,13,19,22
Fen Creeper,0.0,0.2105,0.0,13,19,22
Feugen,0.0,0.1053,0.0,13,19,22
