card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abomination,0.0,0.0,0.1818,12,17,22
Abusive Sergeant,0.0833,0.0588,0.0,12,17,22
Acidic Swamp Ooze,0.0,0.1765,0.0,12,17,22
Acolyte of Pain,0.0833,0.1176,0.7727,12,17,22
Alexstrasza,0.0,0.1176,0.3182,12,17,22
Amani Berserker,0.0,0.6471,0.3182,12,17,22
Ancient Watcher,0.0,0.0,0.0455,12,17,22
Angry Chicken,0.0,0.0588,0.0,12,17,22
Animal Companion,1.0,0.0,0.0,12,17,22
Arathi Weaponsmith,0.0,0.0,0.3182,12,17,22
Arcane Explosion,0.0,0.1765,0.0,12,17,22
Arcane Golem,0.0,0.1765,0.0455,12,17,22
Arcane Intellect,0.0,0.4706,0.0,12,17,22
Arcane Missiles,0.0,0.8824,0.0,12,17,22
Arcane Shot,0.75,0.0,0.0,12,17,22
Arcanite Reaper,0.0,0.0,0.3182,12,17,22
Archmage Antonidas,0.0,0.0588,0.0,12,17,22
Argent Commander,0.0,0.1176,0.2273,12,17,22
Argent Squire,0.0,0.2353,0.0455,12,17,22
Armorsmith,0.0,0.0,0.6818,12,17,22
Azure Drake,0.0,0.8235,0.3182,12,17,22
Baron Geddon,0.0,0.1765,0.1364,12,17,22
Battle Rage,0.0,0.0,0.0455,12,17,22
Big Game Hunter,0.0,0.1765,0.2273,12,17,22
Bloodfen Raptor,0.0,0.1176,0.0455,12,17,22
Bloodmage Thalnos,0.0,0.5882,0.1364,12,17,22
Bloodsail Corsair,0.0,0.0,0.0455,12,17,22
Bloodsail Raider,0.0,0.0,0.2273,12,17,22
Boulderfist Ogre,0.0,0.0,0.1818,12,17,22
Brawl,0.0,0.0,0.5,12,17,22
Cairne Bloodhoof,0.0,0.1176,0.3182,12,17,22
Chillwind Yeti,0.0,0.1765,0.0455,12,17,22
Cleave,0.0,0.0,0.3182,12,17,22
Coldlight Oracle,0.0,0.0588,0.0,12,17,22
Core Hound,0.0,0.1176,0.0,12,17,22
Counterspell,0.0,0.1176,0.0,12,17,22
Cruel Taskmaster,0.0,0.0,0.9545,12,17,22
Dalaran Mage,0.0,0.0,0.3182,12,17,22
Dark Iron Dwarf,0.0,0.0,0.0909,12,17,22
Deadly Shot,0.9167,0.0,0.0,12,17,22
Deathlord,0.0,0.0588,0.0,12,17,22
Demolisher,0.0,0.0,0.3182,12,17,22
Dire Wolf Alpha,0.3333,0.1765,0.0,12,17,22
Doomsayer,0.0,0.2941,0.0,12,17,22
Dread Corsair,0.0,0.0,0.0909,12,17,22
Eaglehorn Bow,0.8333,0.0,0.0,12,17,22
Earthen Ring Farseer,0.0,0.4706,0.1818,12,17,22
Elven Archer,0.0,0.1765,0.0,12,17,22
Execute,0.0,0.0,0.9091,12,17,22
Explosive Shot,0.5,0.0,0.0,12,17,22
Explosive Trap,0.9167,0.0,0.0,12,17,22
Faceless Manipulator,0.0,0.1176,0.0,12,17,22
Faerie Dragon,0.0833,0.1765,0.0,12,17,22
Fen Creeper,0.0,0.2941,0.0,12,17,22
Feugen,0.0833,0.0,0.0,12,17,22
Fiery War Axe,0.0,0.0,0.9091,12,17,22
Fireball,0.0,1.0,0.0,12,17,22
Flamestrike,0.0,0.3529,0.0,12,17,22
Flare,0.8333,0.0,0.0,12,17,22
Flesheating Ghoul,0.0,0.0,0.1364,12,17,22
Freezing Trap,0.75,0.0,0.0,12,17,22
Frostbolt,0.0,1.0,0.0,12,17,22
Frostwolf Grunt,0.0,0.1176,0.0,12,17,22
Frothing Berserker,0.0,0.0,0.6364,12,17,22
Gadgetzan Auctioneer,0.5833,0.1176,0.1364,12,17,22
Gnomish Inventor,0.0,0.0,0.0455,12,17,22
Goldshire Footman,0.0833,0.0,0.0,12,17,22
Gorehowl,0.0,0.0,0.3182,12,17,22
Grommash Hellscream,0.0,0.0,0.6364,12,17,22
Gurubashi Berserker,0.0,0.0588,0.0,12,17,22
Harrison Jones,0.0,0.0,0.0909,12,17,22
Harvest Golem,0.0,0.4118,0.1818,12,17,22
Haunted Creeper,0.0,0.1176,0.0,12,17,22
Heroic Strike,0.0,0.0,0.0455,12,17,22
Houndmaster,0.25,0.0,0.0,12,17,22
Hunter's Mark,0.75,0.0,0.0,12,17,22
Ice Block,0.0,0.2353,0.0,12,17,22
Ice Lance,0.0,0.3529,0.0,12,17,22
Imp Master,0.0,0.0588,0.0455,12,17,22
Injured Blademaster,0.0,0.3529,0.0,12,17,22
Inner Rage,0.0,0.0,0.1364,12,17,22
Ironbeak Owl,0.25,0.0,0.0,12,17,22
Ironfur Grizzly,0.0833,0.0,0.0,12,17,22
Kel'Thuzad,0.4167,0.0,0.0,12,17,22
Kill Command,1.0,0.0,0.0,12,17,22
Kirin Tor Mage,0.0,0.1765,0.0,12,17,22
Knife Juggler,0.0833,0.4706,0.0909,12,17,22
Kobold Geomancer,0.0,0.1765,0.0,12,17,22
Kor'kron Elite,0.0,0.0,0.2727,12,17,22
Leeroy Jenkins,0.25,0.1765,0.3182,12,17,22
Leper Gnome,0.25,0.3529,0.1818,12,17,22
Lightwarden,0.0,0.0,0.0455,12,17,22
Loatheb,0.0833,0.0,0.0909,12,17,22
Loot Hoarder,0.0,0.4118,0.0455,12,17,22
Lorewalker Cho,0.0,0.0588,0.0,12,17,22
