card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abomination,0.0,0.0,0.25,16,14,24
Abusive Sergeant,0.125,0.0714,0.0,16,14,24
Acidic Swamp Ooze,0.0625,0.1429,0.0,16,14,24
Acolyte of Pain,0.0625,0.0714,0.75,16,14,24
Alexstrasza,0.0,0.0714,0.2917,16,14,24
Amani Berserker,0.0,0.7143,0.25,16,14,24
Ancient Mage,0.0625,0.0,0.0,16,14,24
Animal Companion,1.0,0.0,0.0,16,14,24
Arathi Weaponsmith,0.0,0.0,0.2083,16,14,24
Arcane Explosion,0.0,0.1429,0.0,16,14,24
Arcane Golem,0.0,0.0714,0.0833,16,14,24
Arcane Intellect,0.0,0.2143,0.0,16,14,24
Arcane Missiles,0.0,0.8571,0.0,16,14,24
Arcane Shot,0.375,0.0,0.0,16,14,24
Arcanite Reaper,0.0,0.0,0.1667,16,14,24
Archmage,0.0,0.0,0.0417,16,14,24
Archmage Antonidas,0.0,0.2143,0.0,16,14,24
Argent Commander,0.0,0.0,0.0833,16,14,24
Argent Squire,0.0,0.2143,0.1667,16,14,24
Armorsmith,0.0,0.0,0.7083,16,14,24
Azure Drake,0.0,0.8571,0.4167,16,14,24
Baron Geddon,0.0,0.2857,0.0,16,14,24
Battle Rage,0.0,0.0,0.0417,16,14,24
Big Game Hunter,0.0,0.0,0.2917,16,14,24
Blood Knight,0.3125,0.0,0.0,16,14,24
Bloodfen Raptor,0.0,0.0714,0.125,16,14,24
Bloodmage Thalnos,0.0625,0.5714,0.0,16,14,24
Bloodsail Corsair,0.0,0.0,0.0417,16,14,24
Bloodsail Raider,0.0,0.0,0.1667,16,14,24
Boulderfist Ogre,0.0,0.0,0.1667,16,14,24
Brawl,0.0,0.0,0.4583,16,14,24
Cairne Bloodhoof,0.0,0.0714,0.25,16,14,24
Chillwind Yeti,0.0,0.0714,0.0,16,14,24
Cleave,0.0,0.0,0.4167,16,14,24
Coldlight Oracle,0.0,0.0,0.0417,16,14,24
Coldlight Seer,0.0,0.0,0.0833,16,14,24
Core Hound,0.0,0.1429,0.0,16,14,24
Cruel Taskmaster,0.0,0.0,0.9167,16,14,24
Dalaran Mage,0.0,0.0714,0.125,16,14,24
Dark Iron Dwarf,0.125,0.0714,0.0833,16,14,24
Deadly Shot,0.6875,0.0,0.0,16,14,24
Deathlord,0.0,0.0714,0.0,16,14,24
Demolisher,0.0,0.0,0.3333,16,14,24
Dire Wolf Alpha,0.5,0.1429,0.0,16,14,24
Doomsayer,0.0,0.2857,0.0,16,14,24
Dread Corsair,0.0625,0.0,0.125,16,14,24
Eaglehorn Bow,0.625,0.0,0.0,16,14,24
Earthen Ring Farseer,0.0,0.3571,0.2917,16,14,24
Echoing Ooze,0.1875,0.0,0.0,16,14,24
Elven Archer,0.0,0.1429,0.0,16,14,24
Execute,0.0,0.0,0.9583,16,14,24
Explosive Shot,0.1875,0.0,0.0,16,14,24
Explosive Trap,0.6875,0.0,0.0,16,14,24
Faceless Manipulator,0.0,0.0714,0.0417,16,14,24
Faerie Dragon,0.0,0.1429,0.0,16,14,24
Fen Creeper,0.0,0.2143,0.0,16,14,24
Feugen,0.0,0.1429,0.0417,16,14,24
Fiery War Axe,0.0,0.0,0.875,16,14,24
Fireball,0.0,1.0,0.0,16,14,24
Flamestrike,0.0,0.3571,0.0,16,14,24
Flare,0.5625,0.0,0.0,16,14,24
Flesheating Ghoul,0.0,0.0,0.1667,16,14,24
Freezing Trap,0.5625,0.0,0.0,16,14,24
Frostbolt,0.0,1.0,0.0,16,14,24
Frostwolf Grunt,0.0,0.0714,0.0,16,14,24
Frothing Berserker,0.0,0.0,0.5,16,14,24
Gadgetzan Auctioneer,0.3125,0.0714,0.0,16,14,24
Goldshire Footman,0.25,0.0,0.0,16,14,24
Gorehowl,0.0,0.0,0.0833,16,14,24
Grommash Hellscream,0.0,0.0,0.625,16,14,24
Gurubashi Berserker,0.0,0.0714,0.0,16,14,24
Harrison Jones,0.0,0.0,0.2083,16,14,24
Harvest Golem,0.0,0.2857,0.1667,16,14,24
Haunted Creeper,0.0625,0.0,0.0,16,14,24
Houndmaster,0.375,0.0,0.0,16,14,24
Hunter's Mark,0.4375,0.0,0.0,16,14,24
Ice Barrier,0.0,0.0714,0.0,16,14,24
Ice Block,0.0,0.4286,0.0,16,14,24
Ice Lance,0.0,0.2857,0.0,16,14,24
Imp Master,0.0,0.0714,0.0833,16,14,24
Injured Blademaster,0.0,0.2143,0.0,16,14,24
Inner Rage,0.0,0.0,0.0833,16,14,24
Ironbeak Owl,0.0625,0.0714,0.0,16,14,24
Ironfur Grizzly,0.0625,0.0,0.1667,16,14,24
Kel'Thuzad,0.125,0.0,0.0,16,14,24
Kill Command,1.0,0.0,0.0,16,14,24
King Krush,0.0625,0.0,0.0,16,14,24
Kirin Tor Mage,0.0,0.3571,0.0,16,14,24
Knife Juggler,0.25,0.1429,0.1667,16,14,24
Kobold Geomancer,0.0,0.1429,0.0,16,14,24
Kor'kron Elite,0.0,0.0,0.125,16,14,24
Leeroy Jenkins,0.3125,0.1429,0.3333,16,14,24
Leper Gnome,0.3125,0.2857,0.1667,16,14,24
Lightwarden,0.0,0.1429,0.0833,16,14,24
Loatheb,0.0625,0.0,0.1667,16,14,24
Loot Hoarder,0.0,0.3571,0.0833,16,14,24
Mad Bomber,0.0,0.0714,0.0,16,14,24
Mad Scientist,0.125,0.0714,0.0,16,14,24
Mana Addict,0.0,0.1429,0.0,16,14,24
Mana Wyrm,0.0,0.9286,0.0,16,14,24
Master Swordsmith,0.0,0.1429,0.0417,16,14,24
Millhouse Manastorm,0.0,0.0,0.1667,16,14,24
Mirror Entity,0.0,0.1429,0.0,16,14,24
Mirror Image,0.0,0.4286,0.0,16,14,24
Misdirection,0.625,0.0,0.0,16,14,24
Multi-Shot,0.25,0.0,0.0,16,14,24
Murloc Raider,0.0,0.0,0.0833,16,14,24
Nat Pagle,0.0,0.1429,0.0,16,14,24
Nerub'ar Weblord,0.125,0.0,0.0,16,14,24
Nerubian Egg,0.0,0.0,0.2083,16,14,24
Nightblade,0.0,0.2857,0.0,16,14,24
Pint-Sized Summoner,0.0,0.0714,0.0417,16,14,24
Polymorph,0.0,0.7857,0.0,16,14,24
Priestess of Elune,0.125,0.0,0.0,16,14,24
Pyroblast,0.0,0.3571,0.0,16,14,24
Raging Worgen,0.0,0.2143,0.0833,16,14,24
Ragnaros the Firelord,0.0,0.7143,0.2083,16,14,24
Ravenholdt Assassin,0.0,0.0,0.0833,16,14,24
Razorfen Hunter,0.0,0.0,0.1667,16,14,24
Reckless Rocketeer,0.0,0.2143,0.0,16,14,24
River Crocolisk,0.0625,0.0,0.0,16,14,24
Savannah Highmane,0.375,0.0,0.0,16,14,24
Scavenging Hyena,0.6875,0.0,0.0,16,14,24
